"","description","costA","costB","ward","program","year","cost"
"1","ON W SHAKESPEARE AVE FROM 2537 W TO N MAPLEWOOD AVE (2600 W) 0.00 ","7,476.00",NA,"1","Alley Apron Menu",2015,7476
"2","ON W CORTLAND ST FROM 2652 W TO N TALMAN AVE (2630 W) 1.00 ","9,034.00",NA,"1","Alley Apron Menu",2015,9034
"3","ON N MAPLEWOOD AVE FROM 2150 N TO W SHAKESPEARE AVE (2150 N) 0.00 ","10,619.00",NA,"1","Alley Apron Menu",2015,10619
"4","N HERMITAGE AVE & W HADDON AVE&N PAULINA ST & W CORTEZ ST 1.00 ","30,538.00",NA,"1","Alley Resurfacing Menu",2015,30538
"5","N DAMEN AVE & N MILWAUKEE AVE&N HONORE ST & N WICKER PARK AVE 1.00 ","28,795.00",NA,"1","Alley Resurfacing Menu",2015,28795
"6","N HUMBOLDT BLVD & W CORTLAND ST&N RICHMOND ST & W BLOOMINGDALE AVE 1.00 ","1,400.00",NA,"1","Alley Speed Hump Menu",2015,1400
"7","N BELL AVE & W HIRSCH ST&N OAKLEY BLVD & W POTOMAC AVE 1.00 ","399.00",NA,"1","Alley Speed Hump Menu",2015,399
"8","W HURON ST & N DAMEN AVE&W ERIE ST & N WOLCOTT AVE 1.00 ","700.00",NA,"1","Alley Speed Hump Menu",2015,700
"9","N CLAREMONT AVE & W HIRSCH ST&N OAKLEY BLVD & W POTOMAC AVE 1.00 ","700.00",NA,"1","Alley Speed Hump Menu",2015,700
"10","ON W LYNDALE ST FROM N MAPLEWOOD AVE (2560 W) TO N WASHTENAW AVE 0.00 ","4,473.00",NA,"1","Curb & Gutter Menu",2015,4473
"11","N CALIFORNIA AVE & W ALTGELD ST 1.00 ","600.00",NA,"1","In-Road ""State Law Stop For Pedestrians"" Signs",2015,600
"12","ON N WOOD ST FROM W AUGUSTA BLVD (1000 N) TO W HUBBARD ST (440 N) 1.00 ","65,059.00",NA,"1","Miscellaneous CDOT Projects",2015,65059
"13","ON W ERIE ST FROM N PAULINA ST (1700 W) TO N WOOD ST (1800 W) 0.00 ","7,515.00",NA,"1","Sidewalk Menu",2015,7515
