"","description","costA","costB","ward","program","year","cost"
"14","ON N HERMITAGE AVE FROM W WALTON ST (900 N) TO W AUGUSTA BLVD (1000 N) 0.00 ","2,189.00",NA,"1","Sidewalk Menu",2015,2189
"15","ON W DIVISION ST FROM N HONORE ST (1200 N) TO N WOOD ST (1200 N) 0.00 ","17,810.00",NA,"1","Sidewalk Menu",2015,17810
"16","ON N GREENVIEW AVE FROM W CHESTNUT ST (900 N) TO W PEARSON ST (850 N) 0.00 ","19,709.00",NA,"1","Sidewalk Menu",2015,19709
"17","ON N HUMBOLDT BLVD FROM W CORTLAND ST (1900 N) TO W ARMITAGE AVE (2000 0.00 ","2,793.00",NA,"1","Sidewalk Menu",2015,2793
"18","ON N FRANCISCO AVE FROM W FULLERTON AVE (2400 N) TO W ALTGELD ST (2500 N) 0.00 ","4,508.00",NA,"1","Sidewalk Menu",2015,4508
"19","ON N MILWAUKEE AVE FROM N CALIFORNIA AVE (2300 N) TO W MEDILL AVE (2350 0.00 ","5,987.00",NA,"1","Sidewalk Menu",2015,5987
"20","ON W AUGUSTA BLVD FROM N ASHLAND AVE (1600 W) TO N MARSHFIELD AVE (1640 0.00 ","27,099.00",NA,"1","Sidewalk Menu",2015,27099
"21","ON W SUPERIOR ST FROM N WOLCOTT AVE (1900 W) TO N DAMEN AVE (2000 W) 0.00 ","1,092.00",NA,"1","Sidewalk Menu",2015,1092
"22","W DIVISION ST & N WOOD ST sidewalk change order - PM: JC 0.00 ","2,039.00",NA,"1","Sidewalk Menu",2015,2039
"23","ON W CORTEZ ST FROM N PAULINA ST (1700 W) TO N HERMITAGE AVE (1740 W) 0.00 ","10,340.00",NA,"1","Sidewalk Menu",2015,10340
"24","1910 W SUPERIOR ST - 0.00 ","386.00",NA,"1","Sidewalk Menu",2015,386
"25","ON W CHESTNUT ST FROM N NOBLE ST (1400 W) TO N GREENVIEW AVE (1500 W) 1.00 ","48,098.00",NA,"1","Street Resurfacing Menu",2015,48098
"26","ON N WOLCOTT AVE FROM W THOMAS ST (1100 N) TO W DIVISION ST (1200 N) 1.00 ","24,004.00",NA,"1","Street Resurfacing Menu",2015,24004
"27","ON N PAULINA ST FROM N MILWAUKEE AVE (1320 N) TO W DIVISION ST (1200 N) 2.00 ","74,832.00",NA,"1","Street Resurfacing Menu",2015,74832
"28","ON W POTOMAC AVE FROM N WOLCOTT AVE (1900 W) TO N DAMEN AVE (2000 W) 1.00 ","51,841.00",NA,"1","Street Resurfacing Menu",2015,51841
"29","ON W THOMAS ST FROM N WASHTENAW AVE (2700 W) TO N CALIFORNIA AVE (2800 1.00 ","47,267.00",NA,"1","Street Resurfacing Menu (1-5)",2015,47267
"30","ON W ELLEN ST FROM N HERMITAGE AVE (1720 W) TO N WOOD ST (1800 W) 1.00 ","49,465.00",NA,"1","Street Resurfacing Menu (1-5)",2015,49465
"31","ON N BELL AVE FROM W HIRSCH ST (1400 N) TO W LE MOYNE ST (1500 N) 1.00 ","50,597.00",NA,"1","Street Resurfacing Menu (1-5)",2015,50597
"32","ON W SCHILLER ST FROM N DAMEN AVE (2000 W) TO N WICKER PARK AVE (1900 W) 2.00 ","3,700.00",NA,"1","Street Speed Hump Menu",2015,3700
"33","ON N HUMBOLDT BLVD E FROM W BLOOMINGDALE AVE (1800 N) TO W CORTLAND 2.00 ","3,700.00",NA,"1","Street Speed Hump Menu",2015,3700
"34","W CHICAGO AVE & N HOYNE AVE 0.50 ","175,000.00",NA,"1","Traffic Signal Modernization Menu",2015,175000
"35","W FULLERTON AVE & N ROCKWELL ST signal modification estimate - PM: MS/SP - 2014 & 15 funds SS entered ","19,240.00",NA,"1","Traffic Signal Modernization Menu",2015,19240
"36","2402 N WASHTENAW AVE Haas Park Fieldhouse (part of ","2M contribution) - ","445,000.00","1","Chicago Park District",2015,445000
"37","2554 W MOFFAT ST Lucy Flower Park-park improvement - ","90,000.00",NA,"1","Chicago Park District",2015,90000
"38","W NORTH AVE & N HOYNE AVE 0.00 ","17,962.00",NA,"2","Curb & Gutter Menu",2015,17962
"39","N DAMEN AVE & W THOMAS ST 1.00 ","600.00",NA,"2","In-Road ""State Law Stop For Pedestrians"" Signs",2015,600
"40","N DAMEN AVE & W IOWA ST 1.00 ","600.00",NA,"2","In-Road ""State Law Stop For Pedestrians"" Signs",2015,600
"41","179 E CHESTNUT ST 1.00 ","350.00",NA,"2","In-Road ""State Law Stop For Pedestrians"" Signs",2015,350
"42","","3,033.00",NA,"2","Sidewalk Menu",2015,3033
"43","1502 N HOYNE AVE 0.00 ","5,952.00",NA,"2","Sidewalk Menu",2015,5952
"44","ON W HADDON AVE FROM N MILWAUKEE AVE (1500 W) TO N ASHLAND AVE (1600 1.00 ","46,801.00",NA,"2","Street Resurfacing Menu",2015,46801
"45","ON W WILLOW ST FROM N CLYBOURN AVE (1000 W) TO N KINGSBURY ST (1100 W) 2.00 ","49,322.00",NA,"2","Street Resurfacing Menu",2015,49322
"46","ON N WOOD ST FROM W LEMOYNE ST (1510 N) TO W NORTH AVE (1600 N) 2.00 ","77,006.00",NA,"2","Street Resurfacing Menu",2015,77006
"47","1319 W WEBSTER AVE 0.30 ","20,879.00",NA,"2","Street Resurfacing Menu",2015,20879
"48","ON W CORTEZ ST FROM N DAMEN AVE (2000 W) TO N HOYNE AVE (2100 W) 1.00 ","41,211.00",NA,"2","Street Resurfacing Menu",2015,41211
"49","ON W LILL AVE FROM N SOUTHPORT AVE (1400 W) TO N GREENVIEW AVE (1500 W) 1.00 ","44,157.00",NA,"2","Street Resurfacing Menu",2015,44157
"50","ON N OAKLEY AVE FROM W AUGUSTA BLVD (1000 N) TO W CORTEZ ST (1030 N) 1.00 ","22,261.00",NA,"2","Street Resurfacing Menu",2015,22261
"51","ON W BEACH AVE FROM N DEAN ST (1740 W) TO N WOOD ST (1800 W) 1.00 ","35,705.00",NA,"2","Street Resurfacing Menu",2015,35705
"52","ON N LEAVITT ST FROM W HADDON AVE (1140 N) TO W CORTEZ ST (1030 N) 4.00 ","73,943.00",NA,"2","Street Resurfacing Menu",2015,73943
"53","ON N WINCHESTER AVE FROM W THOMAS ST (1100 N) TO W CHICAGO AVE (800 N) 3.00 ","153,358.00",NA,"2","Street Resurfacing Menu",2015,153358
"54","ON N BOSWORTH AVE FROM W DIVISION ST (1200 N) TO W BLACKHAWK ST (1400 N) 1.00 ","147,132.00",NA,"2","Street Resurfacing Menu",2015,147132
"55","ON W CHESTNUT ST FROM N NOBLE ST (1400 W) TO N GREENVIEW AVE (1500 W) 1.00 ","48,098.00",NA,"2","Street Resurfacing Menu",2015,48098
"56","ON N HOYNE AVE FROM W HADDON AVE (1140 N) TO W CORTEZ ST (1030 N) 2.00 ","87,027.00",NA,"2","Street Resurfacing Menu",2015,87027
"57","ON W POTOMAC AVE FROM N HOYNE AVE (2100 W) TO N LEAVITT ST (2200 W) 1.00 ","60,177.00",NA,"2","Street Resurfacing Menu",2015,60177
"58","ON N ADA ST FROM W EVERGREEN AVE (1340 N) TO W BLACKHAWK ST (1400 N) 1.00 ","34,281.00",NA,"2","Street Resurfacing Menu",2015,34281
"59","ON N WAYNE AVE FROM W WEBSTER AVE (2200 N) TO W BELDEN AVE (2300 N) 1.00 ","51,951.00",NA,"2","Street Resurfacing Menu",2015,51951
"60","ON W WALTON ST FROM N LEAVITT ST (2200 W) TO N OAKLEY BLVD (2300 W) 1.00 ","48,624.00",NA,"2","Street Resurfacing Menu (1-5)",2015,48624
"61","ON W BLACKHAWK ST FROM N CLEAVER ST (1430 W) TO N ADA ST (1360 W) 2.00 ","50,566.00",NA,"2","Street Resurfacing Menu (1-5)",2015,50566
"62","W CHICAGO AVE & N HOYNE AVE - In conjunction with the 1st Ward 0.50 ","175,000.00",NA,"2","Traffic Signal Modernization Menu",2015,175000
"63","S WELLS ST & W PERSHING RD&S DAN RYAN 39TH ST ER & S WENTWORTH AVE 1.00 ","19,410.00",NA,"3","Alley Resurfacing Menu",2015,19410
"64","E 24TH PL & S STATE ST&E 24TH ST & S WABASH AVE ","5,808.00",NA,"3","Alley Resurfacing Menu (1-1)",2015,5808
"65","W 47TH ST & S PRINCETON AVE&W 48TH PL & S SHIELDS AVE 1.00 ","86,000.00",NA,"3","Concrete Alley Menu",2015,86000
"66","E 18TH ST & S PRAIRIE AVE&E CULLERTON ST & S CALUMET AVE 1.00 ","130,227.00",NA,"3","Concrete Alley Menu",2015,130227
"67","ON S STATE ST FROM W 35TH ST (3500 S) TO W 36TH ST (3600 S) 0.00 ","4,907.00",NA,"3","Curb & Gutter Menu",2015,4907
"68","ON S CALUMET AVE FROM E CULLERTON ST (2000 S) TO E 21ST ST (2100 S) 0.00 ","14,725.00",NA,"3","Curb & Gutter Menu",2015,14725
"69","ON S INDIANA AVE FROM E CULLERTON ST (2000 S) TO E 21ST ST (2100 S) 0.00 ","19,657.00",NA,"3","Curb & Gutter Menu",2015,19657
"70","4300 S PRAIRIE AVE No parking signs - various locations - PM: MM/GB ","2,297.00",NA,"3","Miscellaneous Other Projects",2015,2297
"71","S DR MARTIN LUTHER KING JR DR & E 48TH ST decorative baskets ","2,300.00",NA,"3","Miscellaneous Other Projects",2015,2300
"72","S ST LAWRENCE AVE & E 47TH ST decorative trash baskets ","2,300.00",NA,"3","Miscellaneous Other Projects",2015,2300
"73","ON W 18TH ST FROM S CLARK ST (120 W) TO S STATE ST (0 E) 0.00 ","16,751.00",NA,"3","Sidewalk Menu",2015,16751
"74","ON S FEDERAL ST FROM W 29TH ST (2940 S) TO W 30TH ST (3000 S) 0.00 ","22,122.00",NA,"3","Sidewalk Menu",2015,22122
"75","ON W 18TH ST FROM S DEARBORN ST (40 W) TO S STATE ST (0 E) 0.00 ","8,494.00",NA,"3","Sidewalk Menu",2015,8494
"76","ON E 42ND ST FROM S PRINCETON AVE (300 W) TO S SHIELDS AVE (350 W) 1.00 ","45,852.00",NA,"3","Street Resurfacing Menu",2015,45852
"77","ON S CALUMET AVE FROM E 51ST ST (5100 S) TO E 53RD ST (5300 S) 1.00 ","135,170.00",NA,"3","Street Resurfacing Menu",2015,135170
"78","ON S PRAIRIE AVE FROM E 51ST ST (5100 S) TO E 53RD ST (5300 S) 1.00 ","121,686.00",NA,"3","Street Resurfacing Menu (1-5)",2015,121686
"79","ON S CALUMET AVE FROM E 50TH ST (5000 S) TO E 51ST ST (5100 S) 1.00 ","56,518.00",NA,"3","Street Resurfacing Menu (1-5)",2015,56518
"80","ON S PRINCETON AVE FROM W 45TH ST (4500 S) TO W 47TH ST (4700 S) 5.00 ","135,475.00",NA,"3","Street Resurfacing Menu (1-5)",2015,135475
"81","S CLARK ST & W 18TH ST - 1.00 ","70,000.00",NA,"3","Left-Turn Arrow Menu",2015,70000
"82","ON S DR MARTIN LUTHER KING JR DR FROM E 48TH ST (4800 S) TO E 46TH ST (4600 S) Service Drive Locations. Current W.O # : 11530302 - 14.00 ","7,200.00",NA,"3","Street Light Pole Painting Menu",2015,7200
"83","ON S DR MARTIN LUTHER KING JR DR FROM E 48TH ST (4800 S) TO E 51ST ST (5100 S) . Current W.O # : 11530302 - 78.00 ","23,400.00",NA,"3","Street Light Pole Painting Menu",2015,23400
"84","ON S PRINCETON AVE FROM W ROOT ST (4130 S) TO W 43RD ST (4300 S) . Current W.O # : 11530303 - 10.00 ","4,000.00",NA,"3","Street Light Upgrade Menu",2015,4000
"85","ON S DR MARTIN LUTHER KING JR DR FROM E 48TH ST (4800 S) TO E 51ST ST (5100 S) . Current W.O # : 11530302 - 2.00 ","5,700.00",NA,"3","Traffic Signal Pole Painting Menu",2015,5700
"86","ON S CALUMET AVE FROM 1900 S TO E 18TH ST (1800 S) Ped. 'gas' style poles 1.00 ","60,000.00",NA,"3","Street Light Residential Staggered Piggy Back Menu",2015,60000
"87","ON S PRAIRIE AVE FROM E PERSHING RD (3900 S) TO E 43RD ST (4300 S) Prairie Ave from 39th St to 43rd St 4.00 ","320,000.00",NA,"3","Street Light Residential Staggered Piggy Back Menu",2015,320000
"88","S DREXEL BLVD & E 48TH ST&S COTTAGE GROVE AVE & E 49TH ST 1.00 ","51,563.00",NA,"4","Alley Resurfacing Menu",2015,51563
"89","S WABASH AVE & E 11TH ST&S MICHIGAN AVE & E ROOSEVELT RD 1.00 ","31,204.00",NA,"4","Alley Resurfacing Menu",2015,31204
"90","E JACKSON BLVD & S STATE ST&E VAN BUREN ST & S WABASH AVE 1.00 ","34,868.00",NA,"4","Alley Resurfacing Menu",2015,34868
"91","S DREXEL BLVD & E OAKWOOD BLVD&S ELLIS AVE & E 40TH ST 1.00 ","18,911.00",NA,"4","Alley Resurfacing Menu",2015,18911
"92","3932 S LAKE PARK AVE 1.00 ","17,487.00",NA,"4","Alley Resurfacing Menu",2015,17487
"93","E 46TH ST & S WOODLAWN AVE&E 47TH ST & S LAKE PARK AVE 1.00 ","7,616.00",NA,"4","Alley Resurfacing Menu",2015,7616
"94","S LAKE PARK AVE & E 43RD ST&S OAKENWALD AVE & E 44TH PL 1.00 ","42,896.00",NA,"4","Alley Resurfacing Menu (1-1)",2015,42896
"95","E PERSHING RD & S LANGLEY AVE&E OAKWOOD BLVD & S VINCENNES AVE 1.00 ","91,000.00",NA,"4","Concrete Alley Menu",2015,91000
"96","ON E 49TH ST FROM S GREENWOOD AVE (1100 E) TO S WOODLAWN AVE (1200 E) 0.00 ","49,706.00",NA,"4","Curb & Gutter Menu",2015,49706
"97","ON E 49TH ST FROM S DREXEL BLVD (900 E) TO S ELLIS AVE (999 E) 0.00 ","17,618.00",NA,"4","Curb & Gutter Menu",2015,17618
"98","ON S STATE ST FROM W POLK ST (730 S) TO W 9TH ST (900 S) 0.00 ","30,707.00",NA,"4","Curb & Gutter Menu",2015,30707
"99","1012 E 47TH ST 0.00 ","5,748.00",NA,"4","Curb & Gutter Menu",2015,5748
"100","ON S WOODLAWN AVE FROM E 49TH ST (4900 S) TO E 50TH ST (5000 S) 0.00 ","11,378.00",NA,"4","Sidewalk Menu",2015,11378
"101","ON S LAKE PARK AVE FROM E 42ND PL (4200 S) TO E 43RD ST (4299 S) 0.00 ","5,111.00",NA,"4","Sidewalk Menu",2015,5111
"102","ON E 49TH ST FROM S LANGLEY AVE (700 E) TO S COTTAGE GROVE AVE (800 E) 0.00 ","34,540.00",NA,"4","Sidewalk Menu",2015,34540
"103","ON E 48TH ST FROM S LANGLEY AVE (700 E) TO S EVANS AVE (730 E) 0.00 ","17,369.00",NA,"4","Sidewalk Menu",2015,17369
"104","1461 E HYDE PARK BLVD 0.00 ","9,444.00",NA,"4","Sidewalk Menu",2015,9444
"105","ON S UNIVERSITY AVE FROM E HYDE PARK BLVD (5100 S) TO E 52ND ST (5200 S) 0.00 ","10,088.00",NA,"4","Sidewalk Menu",2015,10088
"106","ON E 50TH ST FROM S ELLIS AVE (1000 E) TO S GREENWOOD AVE (1100 E) 0.00 ","36,195.00",NA,"4","Sidewalk Menu",2015,36195
"107","ON S HYDE PARK BLVD FROM S HARPER AVE (1500 E) TO S LAKE PARK AVE (1536 E) 1.00 ","20,628.00",NA,"4","Street Bump Outs Menu",2015,20628
"108","ON S ST LAWRENCE AVE FROM E 42ND ST (4200 S) TO E 43RD ST (4300 S) 2.00 ","38,919.00",NA,"4","Street Resurfacing Menu",2015,38919
"109","ON S LANGLEY AVE FROM E BOWEN AVE (4140 S) TO E 42ND ST (4200 S) 1.00 ","32,165.00",NA,"4","Street Resurfacing Menu",2015,32165
"110","ON E 42ND ST FROM S ST LAWRENCE AVE (600 E) TO S CHAMPLAIN AVE (640 E) 1.00 ","32,712.00",NA,"4","Street Resurfacing Menu",2015,32712
"111","ON E 52ND ST FROM S KENWOOD AVE (1350 E) TO S DORCHESTER AVE (1400 E) 1.00 ","44,463.00",NA,"4","Street Resurfacing Menu",2015,44463
"112","ON E 48TH ST FROM S GREENWOOD AVE (1100 E) TO S DORCHESTER AVE (1400 E) 4.00 ","98,172.00",NA,"4","Street Resurfacing Menu",2015,98172
"113","ON S CHICAGO BEACH DR FROM E 49TH DR (4900 S) TO E 50TH ST (4999 S) 1.00 ","45,221.00",NA,"4","Street Resurfacing Menu",2015,45221
"114","ON E 45TH ST FROM S DREXEL BLVD (860 E) TO S WOODLAWN AVE (1200 E) 5.00 ","210,065.00",NA,"4","Street Resurfacing Menu",2015,210065
"115","ON S RHODES AVE FROM E 33RD ST (3330 S) TO E 33RD PL (3350 S) 2.00 ","27,562.00",NA,"4","Street Resurfacing Menu (1-5)",2015,27562
"116","ON E 33RD ST FROM S VERNON AVE (420 E) TO S RHODES AVE (460 E) 2.00 ","67,247.00",NA,"4","Street Resurfacing Menu (1-5)",2015,67247
"117","ON E 52ND ST FROM S WOODLAWN AVE (1200 E) TO S KIMBARK AVE (1300 E) 1.00 ","33,798.00",NA,"4","Street Resurfacing Menu (1-5)",2015,33798
"118","S COTTAGE GROVE AVE & E 47TH ST 2.00 ","140,000.00",NA,"4","Left-Turn Arrow Menu",2015,140000
"119","ON E 47TH ST FROM S ST LAWRENCE AVE (600 E) TO S LANGLEY AVE (700 E) . Current W.O # : 11530400 - 12.00 ","3,600.00",NA,"4","Street Light Pole Painting Menu",2015,3600
"120","ON S UNIVERSITY AVE FROM E 44TH ST (4400 S) TO E 45TH ST (4500 S) . Current W.O # : 11530400 - 4.00 ","800.00",NA,"4","Street Light Pole Painting Menu",2015,800
"121","S COTTAGE GROVE AVE & E 38TH ST 0.00 ","600.00",NA,"4","In-Road ""State Law Stop For Pedestrians"" Signs",2015,600
"122","S COTTAGE GROVE AVE & E 38TH PL ","600.00",NA,"4","In-Road ""State Law Stop For Pedestrians"" Signs",2015,600
"123","S EAST END AVE & E 69TH ST&S CREGIER AVE & E 70TH ST 1.00 ","42,937.00",NA,"5","Alley Resurfacing Menu",2015,42937
"124","S KIMBARK AVE & E 55TH ST&S KENWOOD AVE & E 56TH ST 1.00 ","31,724.00",NA,"5","Alley Resurfacing Menu",2015,31724
"125","S EAST END AVE & E 70TH ST&S CORNELL AVE & E 71ST ST 1.00 ","35,325.00",NA,"5","Alley Resurfacing Menu",2015,35325
"126","E HYDE PARK BLVD & S GREENWOOD AVE&E 52ND ST & S ELLIS AVE 1.00 ","22,187.00",NA,"5","Alley Resurfacing Menu (1-1)",2015,22187
"127","E 57TH ST & S WOODLAWN AVE&E 58TH ST & S KIMBARK AVE 3.00 ","2,800.00",NA,"5","Alley Speed Hump Menu",2015,2800
"128","ON S CORNELL AVE FROM E 55TH ST (5500 S) TO E 56TH ST (5600 S) 0.00 ","58,797.00",NA,"5","Curb & Gutter Menu",2015,58797
"129","ON S STONY ISLAND AVE FROM E 59TH ST (5860 S) TO E 60TH ST (6000 S) 0.00 ","74,734.00",NA,"5","Curb & Gutter Menu",2015,74734
"130","ON S DANTE AVE FROM E 69TH ST (6900 S) TO E 69TH PL (6930 S) 0.00 ","6,842.00",NA,"5","Curb & Gutter Menu",2015,6842
"131","ON E 67TH ST FROM S JEFFERY BLVD (1999 E) TO S EUCLID AVE (1930 E) 0.00 ","86,481.00",NA,"5","Curb & Gutter Menu",2015,86481
"132","ON S CONSTANCE AVE FROM E 69TH ST (6900 S) TO E 70TH ST (7000 S) 0.00 ","7,677.00",NA,"5","Curb & Gutter Menu",2015,7677
"133","E 55TH ST & S KIMBARK AVE 2.00 ","950.00",NA,"5","In-Road ""State Law Stop For Pedestrians"" Signs",2015,950
"134","E 55TH ST & S HARPER AVE 1.00 ","350.00",NA,"5","In-Road ""State Law Stop For Pedestrians"" Signs",2015,350
"135","E 55TH ST & S UNIVERSITY AVE 1.00 ","350.00",NA,"5","In-Road ""State Law Stop For Pedestrians"" Signs",2015,350
"136","E 67TH ST & S ELLIS AVE 1.00 ","600.00",NA,"5","In-Road ""State Law Stop For Pedestrians"" Signs",2015,600
"137","E 55TH ST & S KENWOOD AVE 1.00 ","350.00",NA,"5","In-Road ""State Law Stop For Pedestrians"" Signs",2015,350
"138","S EAST END AVE & E HYDE PARK BLVD wrought iron can w/liner - PM: JA or IHC ","2,300.00",NA,"5","Miscellaneous Other Projects",2015,2300
"139","ON E 55TH ST FROM S BLACKSTONE AVE (1430 E) TO S HARPER AVE (1514 E) 0.00 ","32,677.00",NA,"5","Sidewalk Menu",2015,32677
"140","6745 S CONSTANCE AVE 0.00 ","7,367.00",NA,"5","Sidewalk Menu",2015,7367
"141","ON E 68TH ST FROM S CHAPPEL AVE (2030 E) TO S CLYDE AVE (2100 E) 0.00 ","23,527.00",NA,"5","Sidewalk Menu",2015,23527
"142","ON E 72ND ST FROM S JEFFERY BLVD (1999 E) TO S PAXTON AVE (2200 E) 0.00 ","45,296.00",NA,"5","Sidewalk Menu",2015,45296
"143","ON E 55TH ST FROM S GREENWOOD AVE (1098 E) TO S UNIVERSITY AVE (1150 E) 0.00 ","10,532.00",NA,"5","Sidewalk Menu",2015,10532
"144","ON S DORCHESTER AVE FROM E 67TH ST (6700 S) TO E 68TH ST (6800 S) 0.00 ","18,828.00",NA,"5","Sidewalk Menu",2015,18828
"145","ON S ELLIS AVE FROM E 54TH ST (5400 S) TO E 54TH PL (5453 S) 0.00 ","3,017.00",NA,"5","Sidewalk Menu",2015,3017
"146","ON S WOODLAWN AVE FROM E 54TH ST (5400 S) TO E 55TH ST (5500 S) 0.00 ","57,894.00",NA,"5","Sidewalk Menu",2015,57894
"147","ON S BENNETT AVE FROM E 69TH ST (6900 S) TO E 70TH ST (7000 S) 0.00 ","5,910.00",NA,"5","Sidewalk Menu",2015,5910
"148","ON E DREXEL SQUARE DR FROM S COTTAGE GROVE AVE (800 E) TO S DREXEL AVE 1.00 ","43,461.00",NA,"5","Street Resurfacing Menu",2015,43461
"149","ON E 68TH ST FROM S CHAPPEL AVE (2030 E) TO S CLYDE AVE (2100 E) 1.00 ","23,376.00",NA,"5","Street Resurfacing Menu",2015,23376
"150","ON S COTTAGE GROVE AVE FROM E 53RD ST (5300 S) TO E 55TH ST (5500 S) 2.00 ","168,353.00",NA,"5","Street Resurfacing Menu",2015,168353
"151","ON S OGLESBY AVE FROM E 70TH ST (7000 S) TO E 71ST ST (7060 S) 2.00 ","43,966.00",NA,"5","Street Resurfacing Menu",2015,43966
"152","ON S DORCHESTER AVE FROM E 67TH ST (6700 S) TO E 65TH ST (6500 S) 1.00 ","40,351.00",NA,"5","Street Resurfacing Menu (1-5)",2015,40351
"153","ON E 67TH PL FROM S DORCHESTER AVE (1400 E) TO S STONY ISLAND AVE (1600 E) 2.00 ","93,541.00",NA,"5","Street Resurfacing Menu (1-5)",2015,93541
"154","ON S KIMBARK AVE FROM E 70TH ST (7000 S) TO E 71ST ST (7100 S) 1.00 ","1,850.00",NA,"5","Street Speed Hump Menu",2015,1850
"155","ON E 66TH PL FROM S BLACKSTONE AVE (1500 E) TO S STONY ISLAND AVE (1600 E) 2.00 ","3,700.00",NA,"5","Street Speed Hump Menu",2015,3700
"156","ON E 66TH PL FROM S STONY ISLAND AVE (1600 E) TO S DORCHESTER AVE (1400 E) Upgrade Street Lighting 6.00 ","2,100.00",NA,"5","Street Light Upgrade Menu",2015,2100
"157","ON S OGLESBY AVE FROM E 67TH ST (6700 S) TO E 69TH ST (6900 S) S Oglesby Ave from E 67th St to E 69th St 2.00 ","156,000.00",NA,"5","Street Light Residential Staggered Piggy Back Menu",2015,156000
"158","S STONY ISLAND AVE & E 62ND ST 2.00 ","600.00",NA,"5","In-Road ""State Law Stop For Pedestrians"" Signs",2015,600
"159","S DR MARTIN LUTHER KING JR DR & E 78TH ST&S CALUMET AVE & E 79TH ST 1.00 ","27,230.00",NA,"6","Alley Resurfacing Menu (1-1)",2015,27230
"160","ON E 83RD ST FROM S EBERHART AVE (500 E) TO S RHODES AVE (530 E) 0.00 ","46,720.00",NA,"6","Curb & Gutter Menu",2015,46720
"161","ON E 83RD ST FROM S RHODES AVE (530 E) TO S RHODES AVE (530 E) 0.00 ","25,399.00",NA,"6","Curb & Gutter Menu",2015,25399
"162","7217 S MICHIGAN AVE 0.00 ","958.00",NA,"6","Curb & Gutter Menu",2015,958
"163","ON E 83RD ST FROM S STATE ST (0 E) TO S DR MARTIN LUTHER KING JR DR (400 E) 0.00 ","375,616.00",NA,"6","Curb & Gutter Menu",2015,375616
"164","ON E 83RD ST FROM S RHODES AVE (530 E) TO S ST LAWRENCE AVE (600 E) 0.00 ","74,368.00",NA,"6","Curb & Gutter Menu",2015,74368
"165","ON E 71ST ST FROM S ST LAWRENCE AVE (600 E) TO S CHAMPLAIN AVE (630 E) 0.00 ","25,621.00",NA,"6","Sidewalk Menu",2015,25621
"166","ON W 68TH ST FROM S UNION AVE (700 W) TO S LOWE AVE (620 W) 0.00 ","69,393.00",NA,"6","Sidewalk Menu",2015,69393
"167","ON S ST LAWRENCE AVE FROM E 71ST ST (7100 S) TO E 74TH ST (7400 S) 3.00 ","260,838.00",NA,"6","Street Resurfacing Menu",2015,260838
"168","ON S MICHIGAN AVE FROM E 73RD ST (7300 S) TO E 75TH ST (7500 S) 2.00 ","169,845.00",NA,"6","Street Resurfacing Menu",2015,169845
"169","ON E 80TH ST FROM S WABASH AVE (40 E) TO S DR MARTIN LUTHER KING JR DR (400 5.00 ","226,119.00",NA,"6","Street Resurfacing Menu",2015,226119
"170","ON S VAN VLISSINGEN RD FROM 10100 S TO E 101ST ST (10100 S) 1.00 ","9,092.00",NA,"7","Alley Apron Menu",2015,9092
"171","ON E 90TH ST FROM S OGLESBY AVE (2330 E) TO S YATES BLVD (2400 E) 0.00 ","2,661.00",NA,"7","Sidewalk Menu",2015,2661
