"","program","description","costA","ward","year","cost","costB"
"45","2 Tennis Court Resurfacing - 808 N Lake Shore Drive","808 N LAKE SHORE DR","$50,000.00","2",2022,50000,NA
"46","Alley Apron Menu ","2140 W LE MOYNE ST","$14,868.18","2",2022,14868.18,NA
"47","Alley Resurfacing Menu ","N RACINE AVE & W WEBSTER AVE&W DICKENS AVE & N MAGNOLIA AVE","$34,750.00","2",2022,34750,NA
"48","Alley Resurfacing Menu ","N SOUTHPORT AVE & W FULLERTON AVE&W ALTGELD ST & N JANSSEN AVE","$41,551.85","2",2022,41551.85,NA
"49","Alley Resurfacing Menu ","N WINCHESTER AVE & W THOMAS ST&W AUGUSTA BLVD & N WOLCOTT AVE","$38,827.00","2",2022,38827,NA
"50","Alley Resurfacing Menu ","W CHICAGO AVE & N CLARK ST&N DEARBORN ST & W CHESTNUT ST","$26,207.50","2",2022,26207.5,NA
"51","Alley Resurfacing Menu ","$33,277.44","$33,277.44","2",2022,33277.44,NA
"52","Alley Speed Hump Menu ","N HOYNE AVE & W HADDON AVE&W THOMAS ST & N LEAVITT ST","$2,100.00","2",2022,2100,NA
"53","Clover Park Pickle Ball Court Installation","2110 N SOUTHPORT AVE","$40,000.00","2",2022,40000,NA
"54","Curb & Gutter Menu ","2501 N WAYNE AVE","$45,000.00","2",2022,45000,NA
"55","Curb & Gutter Menu ","$20,369.04","$20,369.04","2",2022,20369.04,NA
"56","In-Road State Law Stop For Pedestrians Signs","N CLARK ST & W GERMANIA PL","$350.00","2",2022,350,NA
"57","In-Road State Law Stop For Pedestrians Signs","N MICHIGAN AVE & E CHESTNUT ST","$350.00","2",2022,350,NA
"58","In-Road State Law Stop For Pedestrians Signs","W FULLERTON AVE & N SURREY CT","$350.00","2",2022,350,NA
"59","Lake Shore Park Outdoor Fitness Center","808 N LAKE SHORE DR","$25,000.00","2",2022,25000,NA
"60","Miscellaneous CDOT Projects ","808 N LAKE SHORE DR","$38,234.16","2",2022,38234.16,NA
"61","Miscellaneous CDOT Projects ","861 N STATE ST","$660.00","2",2022,660,NA
"62","Miscellaneous CDOT Projects ","ON E CHICAGO AVE FROM N MICHIGAN AVE (140 E) TO N MIES VAN DER ROHE WAY (230 E)","$202,788.88","2",2022,202788.88,NA
"63","Miscellaneous CDOT Projects ","ON W DIVISION ST FROM N STATE ST (1 E) TO N DEARBORN ST (40 W)","$40,000.00","2",2022,40000,NA
"64","Miscellaneous CDOT Projects ","W CHICAGO AVE & N KINGSBURY ST","$660.00","2",2022,660,NA
"65","Sidewalk Menu ","1941 N CLYBOURN AVE","$14,878.86","2",2022,14878.86,NA
"66","Street Light Arterial Menu ","ON N STATE PKWY FROM E DIVISION ST (1199 N) TO E NORTH AVE (1600 N)","$150,000.00","2",2022,150000,NA
"67","Street Light Pole for High Definition Camera Menu ","1300 N CLEVELAND AVE","$3,500.00","2",2022,3500,NA
"68","Street Light Pole for High Definition Camera Menu ","1300 N STATE PKWY; N STATE PKWY & E GOETHE ST","$3,000.00","2",2022,3000,NA
"69","Street Light Upgrade Menu ","W PEARSON ST & N STATE ST","$750.00","2",2022,750,NA
"70","Street Resurfacing Menu ","ON E CHESTNUT ST FROM N MIES VAN DER ROHE WAY (200 E) TO N DEWITT PL (250 E)","$37,055.76","2",2022,37055.76,NA
"71","Street Resurfacing Menu ","ON N FREMONT ST FROM W BLACKHAWK ST (1500 N) TO W NORTH AVE (1600 N)","$46,586.96","2",2022,46586.96,NA
"72","Street Resurfacing Menu ","ON N JANSSEN AVE FROM W WEBSTER AVE (2200 N) TO W ALTGELD ST (2500 N)","$154,128.07","2",2022,154128.07,NA
"73","Street Resurfacing Menu ","ON N MAGNOLIA AVE FROM W DICKENS AVE (2100 N) TO W WEBSTER AVE (2200 N)","$55,511.13","2",2022,55511.13,NA
"74","Street Resurfacing Menu ","ON N SEDGWICK ST FROM W NORTH AVE (1600 N) TO W EUGENIE ST (1700 N)","$57,304.89","2",2022,57304.89,NA
"75","Street Resurfacing Menu ","ON N WAYNE AVE FROM W WEBSTER AVE (2200 N) TO W BELDEN AVE (2300 N)","$57,366.37","2",2022,57366.37,NA
"76","Street Resurfacing Menu ","ON W GOETHE ST FROM N WELLS ST (200 W) TO N CLARK ST (100 W)","$54,309.65","2",2022,54309.65,NA
"77","Street Speed Hump Menu ","ON N CLEVELAND AVE FROM W GOETHE ST (1260 N) TO W NORTH AVE (1600 N)","$9,400.00","2",2022,9400,NA
"78","Street Speed Hump Menu ","ON N STATE PKWY FROM W SCHILLER ST (1400 N) TO W BURTON PL (1500 N)","$2,350.00","2",2022,2350,NA
"79","Street Speed Hump Menu ","ON W ALTGELD ST FROM N JANSSEN AVE (1440 W) TO N GREENVIEW AVE (1500 W)","$2,350.00","2",2022,2350,NA
"80","Street Speed Hump Menu ","ON W ALTGELD ST FROM N SOUTHPORT AVE (1399 W) TO N JANSSEN AVE (1440 W)","$2,350.00","2",2022,2350,NA
"81","Alley Apron Menu ","ON E 42ND ST FROM S CALUMET AVE (340 E) TO S DR MARTIN LUTHER KING JR DR E (400 E)","$10,087.82","3",2022,10087.82,NA
"82","Alley Apron Menu ","ON E 42ND ST FROM S PRAIRIE AVE (300 E) TO S CALUMET AVE (340 E)","$27,682.86","3",2022,27682.86,NA
"83","Alley Apron Menu ","ON E 45TH ST FROM S WENTWORTH AVE (200 W) TO S WELLS ST (230 W)","$27,963.42","3",2022,27963.42,NA
"84","Alley Resurfacing Menu ","E 45TH ST & S DR MARTIN LUTHER KING JR DR&S VINCENNES AVE & E 45TH PL","$60,052.92","3",2022,60052.92,NA
"85","Alley Resurfacing Menu ","E 45TH ST & S PRAIRIE AVE&E 46TH ST & S CALUMET AVE","$79,217.66","3",2022,79217.66,NA
"86","Alley Resurfacing Menu ","E 49TH ST & S MICHIGAN AVE&S INDIANA AVE & E 50TH ST; 4906 S INDIANA AVE","$47,187.81","3",2022,47187.81,NA
"87","Alley Resurfacing Menu ","E 52ND ST & S INDIANA AVE&E 53RD ST & S PRAIRIE AVE","$40,924.59","3",2022,40924.59,NA
"88","Alley Resurfacing Menu ","S DR MARTIN LUTHER KING JR DR & E 49TH ST&E 50TH ST & S WASHINGTON PARK CT","$35,222.69","3",2022,35222.69,NA
"89","Alley Resurfacing Menu ","S INDIANA AVE & E 35TH ST&E 37TH ST & S PRAIRIE AVE","$70,149.95","3",2022,70149.95,NA
"90","Alley Resurfacing Menu ","S INDIANA AVE & E 46TH ST&E 47TH ST & S PRAIRIE AVE","$38,111.12","3",2022,38111.12,NA
"91","Alley Resurfacing Menu ","S MICHIGAN AVE & E 47TH ST&E 48TH ST & S INDIANA AVE","$42,697.20","3",2022,42697.2,NA
"92","Alley Resurfacing Menu ","W 44TH PL & S WENTWORTH AVE&S WELLS ST & W 45TH ST","$33,516.01","3",2022,33516.01,NA
"93","Alley Speed Hump Menu ","4314 S DR MARTIN LUTHER KING JR DR W","$700.00","3",2022,700,NA
"94","Alley Speed Hump Menu ","E 44TH PL & S VINCENNES AVE&S ST LAWRENCE AVE & E 44TH ST; 516-538 E 44TH PL","$700.00","3",2022,700,NA
"95","Alley Speed Hump Menu ","E 48TH ST & S MICHIGAN AVE&S INDIANA AVE & E 49TH ST; 4810 S INDIANA AVE","$700.00","3",2022,700,NA
"96","Alley Speed Hump Menu ","S CALUMET AVE & E 43RD ST&E 44TH ST & S DR MARTIN LUTHER KING JR DR W","$1,400.00","3",2022,1400,NA
"97","Collector Street - Miscellaneous Concrete ","ON W 48TH ST FROM S MICHIGAN AVE (100 E) TO S FORRESTVILLE AVE (540 E)","$9,464.00","3",2022,9464,NA
"98","Curb & Gutter Menu ","338 W SWANN ST","$16,918.55","3",2022,16918.55,NA
"99","Miscellaneous CDOT Projects ","221-231 E 43RD ST","$300.00","3",2022,300,NA
"100","Miscellaneous CDOT Projects ","4049 S MICHIGAN AVE","$150.00","3",2022,150,NA
"101","Miscellaneous CDOT Projects ","4207 S INDIANA AVE","$300.00","3",2022,300,NA
"102","Miscellaneous CDOT Projects ","4713 S VINCENNES AVE","$300.00","3",2022,300,NA
"103","Miscellaneous CDOT Projects ","4715 S WABASH AVE","$150.00","3",2022,150,NA
"104","Miscellaneous CDOT Projects ","4930 S PRAIRIE AVE","$300.00","3",2022,300,NA
"105","Miscellaneous CDOT Projects ","5160 S MICHIGAN AVE","$300.00","3",2022,300,NA
"106","Miscellaneous CDOT Projects ","5327 S CALUMET AVE","$300.00","3",2022,300,NA
"107","Miscellaneous CDOT Projects ","5327 S SHIELDS AVE","$150.00","3",2022,150,NA
"108","Pedestrian Refuge Island Menu ","S MICHIGAN AVE & E 21ST ST","$23,616.69","3",2022,23616.69,NA
"109","Sidewalk Menu ","1528 S WABASH AVE","$31,292.31","3",2022,31292.31,NA
"110","Sidewalk Menu ","1841 S CALUMET AVE","$2,103.35","3",2022,2103.35,NA
"111","Sidewalk Menu ","324 W 42ND ST","$4,632.64","3",2022,4632.64,NA
"112","Sidewalk Menu ","347 W 42ND ST","$19,835.80","3",2022,19835.8,NA
"113","Sidewalk Menu ","4448 S MICHIGAN AVE","$5,716.42","3",2022,5716.42,NA
"114","Speed Indicator Signs ","1808 S STATE ST","$11,000.00","3",2022,11000,NA
"115","Speed Indicator Signs ","S STATE ST & E 18TH ST; 1829 S STATE ST","$11,000.00","3",2022,11000,NA
"116","Street Bump Outs Menu ","E 44TH ST & S PRAIRIE AVE","$35,920.07","3",2022,35920.07,NA
"117","Street Light Residential Staggered Piggy Back Menu ","$21,757.68","$21,757.68","3",2022,21757.68,NA
"118","Street Light Upgrade Menu ","15 E 37TH ST","$500.00","3",2022,500,NA
"119","Street Light Upgrade Menu ","1600 S INDIANA AVE","$500.00","3",2022,500,NA
"120","Street Light Upgrade Menu ","3101 S MICHIGAN AVE","$500.00","3",2022,500,NA
"121","Street Light Upgrade Menu ","3933 S INDIANA AVE","$500.00","3",2022,500,NA
"122","Street Light Upgrade Menu ","4018 S INDIANA AVE","$500.00","3",2022,500,NA
"123","Street Light Upgrade Menu ","4810 S INDIANA AVE","$500.00","3",2022,500,NA
"124","Street Light Upgrade Menu ","4902 S INDIANA AVE","$500.00","3",2022,500,NA
"125","Street Light Upgrade Menu ","4910 S INDIANA AVE","$500.00","3",2022,500,NA
"126","Street Light Upgrade Menu ","4928 S INDIANA AVE","$500.00","3",2022,500,NA
"127","Street Resurfacing Menu ","200 W 51ST ST","$17,307.89","3",2022,17307.89,NA
"128","Street Resurfacing Menu ","ON E 14TH PL FROM S STATE ST (0 E) TO S WABASH AVE (50 E)","$39,202.06","3",2022,39202.06,NA
"129","Street Resurfacing Menu ","ON E 14TH ST FROM 238 E TO S MICHIGAN AVE (100 E)","$48,016.87","3",2022,48016.87,NA
"130","Street Resurfacing Menu ","ON E 30TH ST FROM S STATE ST (0 E) TO S WABASH AVE (40 E)","$32,745.79","3",2022,32745.79,NA
"131","Street Resurfacing Menu ","ON E 40TH ST FROM 340 E TO S DR MARTIN LUTHER KING JR DR E (400 E)","$10,851.80","3",2022,10851.8,NA
"132","Street Resurfacing Menu ","ON E 40TH ST FROM S PRAIRIE AVE (300 E) TO S DR MARTIN LUTHER KING JR DR W (400 E)","$42,001.45","3",2022,42001.45,NA
"133","Street Resurfacing Menu ","ON E 42ND ST FROM S PRAIRIE AVE (300 E) TO S DR MARTIN LUTHER KING JR DR E (400 E)","$52,056.02","3",2022,52056.02,NA
"134","Street Resurfacing Menu ","$62,153.54","$62,153.54","3",2022,62153.54,NA
"135","Street Resurfacing Menu ","ON S CALUMET AVE FROM E 18TH ST (1800 S) TO E CERMAK RD (2200 S)","$163,877.43","3",2022,163877.43,NA
"136","Street Resurfacing Menu ","ON S PRAIRIE AVE FROM E 47TH ST (4700 S) TO E 48TH ST (4800 S)","$85,392.04","3",2022,85392.04,NA
"137","Street Resurfacing Menu ","ON S PRINCETON AVE FROM W 38TH ST (3760 S) TO W PERSHING RD (3900 S)","$61,550.94","3",2022,61550.94,NA
"138","Street Resurfacing Menu ","ON S SHIELDS AVE FROM W 44TH PL (4430 S) TO W 45TH ST (4500 S)","$31,739.48","3",2022,31739.48,NA
"139","Street Resurfacing Menu ","ON S ST LAWRENCE AVE FROM E 44TH ST (4400 S) TO E 45TH ST (4500 S)","$72,737.33","3",2022,72737.33,NA
"140","Street Resurfacing Menu ","ON W 42ND PL FROM 351 W TO S PRINCETON AVE (300 W)","$52,295.79","3",2022,52295.79,NA
"141","Street Speed Hump Menu ","ON S PRINCETON AVE FROM W 44TH PL (4430 S) TO W 45TH ST (4500 S)","$2,350.00","3",2022,2350,NA
"142","Street Speed Hump Menu ","ON S PRINCETON AVE FROM W 45TH ST (4500 S) TO W 47TH ST (4700 S)","$9,400.00","3",2022,9400,NA
"143","1 PTZ Camera - 4021 S. Langley","4021 S LANGLEY AVE","$24,776.00","4",2022,24776,NA
"144","1 PTZ Camera - 4300 S. Evans","4300 S EVANS AVE","$24,776.00","4",2022,24776,NA
"145","1 PTZ Camera - Behind 4015 S. Vincennes","4015 S VINCENNES AVE","$24,776.00","4",2022,24776,NA
"146","1 PTZ Camera - Behind 618 S 41st Street","618 E 41ST ST","$24,776.00","4",2022,24776,NA
"147","ADA - Street Resurfacing Menu ","ON E 50TH PL FROM S ST LAWRENCE AVE (600 E) TO S CHAMPLAIN AVE (640 E)","$14,490.00","4",2022,14490,NA
"148","ADA - Street Resurfacing Menu ","ON S VERNON AVE FROM E 33RD ST (3300 S) TO E 33RD PL (3340 S)","$28,980.00","4",2022,28980,NA
"149","Alley Resurfacing Menu ","S GILES AVE & E 33RD BLVD&E 35TH ST & S PRAIRIE AVE","$57,728.00","4",2022,57728,NA
"150","Bus Pad ","4352 S COTTAGE GROVE AVE","$30,513.92","4",2022,30513.92,NA
"151","Bus Pad ","932 E HYDE PARK BLVD","$7,987.98","4",2022,7987.98,NA
"152","Chamberlain Triangle Park - Permanent Plantings","4227 S GREENWOOD AVE","$15,000.00","4",2022,15000,NA
"153","Concrete Alley Menu ","S GILES AVE & E 33RD BLVD&E 35TH ST & S CALUMET AVE","$306,863.82","4",2022,306863.82,NA
"154","Curb & Gutter Menu ","4406 S LAKE PARK AVE","$23,939.07","4",2022,23939.07,NA
"155","Kenwood Park Black Top Replacement","1330 E 50TH ST","$60,000.00","4",2022,60000,NA
"156","In-Road State Law Stop For Pedestrians Signs","S COTTAGE GROVE AVE & E 40TH ST","$20,374.34","4",2022,20374.34,NA
"157","Miscellaneous CDOT Projects ","4125 S DREXEL BLVD","$5,737.27","4",2022,5737.27,NA
"158","Miscellaneous CDOT Projects ","4859 S CHICAGO BEACH DR","$660.00","4",2022,660,NA
"159","Miscellaneous CDOT Projects ","604 E 42ND ST","$5,648.15","4",2022,5648.15,NA
"160","Miscellaneous CDOT Projects ","604 E BOWEN AVE","$11,494.04","4",2022,11494.04,NA
"161","Miscellaneous CDOT Projects ","620 E 41ST ST","$150.00","4",2022,150,NA
"162","Miscellaneous CDOT Projects ","622 E 41ST ST","$11,737.45","4",2022,11737.45,NA
"163","Miscellaneous CDOT Projects ","E 48TH ST & S GREENWOOD AVE","$19,896.74","4",2022,19896.74,NA
"164","Printers Row Fountain Restoration","632 S DEARBORN ST","$10,000.00","4",2022,10000,NA
"165","Sidewalk Menu ","4165 S ELLIS AVE","$12,554.84","4",2022,12554.84,NA
"166","Sidewalk Menu ","4201 S BERKELEY AVE","$24,718.58","4",2022,24718.58,NA
"167","Sidewalk Menu ","$25,030.88","$25,030.88","4",2022,25030.88,NA
"168","Sidewalk Menu ","ON E 44TH PL FROM S OAKENWALD AVE (1240 E) TO S LAKE PARK AVE (1200 E)","$50,000.00","4",2022,50000,NA
"169","Speed Indicator Signs ","$25,000.00","$25,000.00","4",2022,25000,NA
"170","Street Bump Outs Menu ","4584 S OAKENWALD AVE","$13,958.73","4",2022,13958.73,NA
"171","Street Cul-de-Sac Menu ","4950 S GREENWOOD AVE","$49,486.08","4",2022,49486.08,NA
"172","Street Light Residential Staggered Piggy Back Menu ","ON S ST LAWRENCE AVE FROM E 48TH ST (4800 S) TO E 49TH ST (4900 S)","$168,000.00","4",2022,168000,NA
"173","Street Resurfacing Menu ","800 S PARK TER; ON S PARK TER FROM 800 S TO W 9TH ST (900 S)","$54,018.98","4",2022,54018.98,NA
"174","Street Resurfacing Menu ","ON E 32ND ST FROM S VERNON AVE (440 E) TO S DR MARTIN LUTHER KING JR DR (400 E)","$23,825.01","4",2022,23825.01,NA
"175","Street Resurfacing Menu ","ON E 50TH PL FROM S ST LAWRENCE AVE (600 E) TO S CHAMPLAIN AVE (640 E)","$13,306.48","4",2022,13306.48,NA
"176","Street Resurfacing Menu ","ON S CHAMPLAIN AVE FROM E 46TH ST (4600 S) TO E 47TH ST (4700 S)","$22,281.63","4",2022,22281.63,NA
"177","Street Resurfacing Menu ","ON S FINANCIAL PL FROM W VAN BUREN ST (400 S) TO W CONGRESS PKWY (500 S)","$21,703.61","4",2022,21703.61,NA
"178","Street Resurfacing Menu ","ON S GILES AVE FROM E 33RD BLVD (3300 S) TO E 35TH ST (3500 S)","$121,635.73","4",2022,121635.73,NA
"179","Street Resurfacing Menu ","ON S KIMBARK AVE FROM 4730 S TO E 48TH ST (4800 S)","$21,866.79","4",2022,21866.79,NA
"180","Street Resurfacing Menu ","ON S ST LAWRENCE AVE FROM E 43RD ST (4300 S) TO E 44TH ST (4400 S)","$67,967.01","4",2022,67967.01,NA
"181","Street Resurfacing Menu ","ON S VERNON AVE FROM E 33RD ST (3300 S) TO E 33RD PL (3340 S)","$40,240.86","4",2022,40240.86,NA
"182","Street Speed Hump Menu ","$2,350.00","$2,350.00","4",2022,2350,NA
"183","Street Speed Hump Menu ","ON S GILES AVE FROM E 33RD BLVD (3300 S) TO E 35TH ST (3500 S)","$11,750.00","4",2022,11750,NA
"184","In-Road State Law Stop For Pedestrians Signs","S DORCHESTER AVE & S SOUTH CHICAGO AVE","$10,971.00","5",2022,10971,NA
"185","1 POD Camera SW Corner 5300 South Woodlawn Avenue","5300 S WOODLAWN AVE","$24,776.00","5",2022,24776,NA
"186","ADA - Street Resurfacing Menu ","ON E 69TH ST FROM S EAST END AVE (1700 E) TO S CREGIER AVE (1800 E)","$28,980.00","5",2022,28980,NA
"187","Arterial Street Bump Outs Menu ","5200 S HYDE PARK BLVD","$67,348.44","5",2022,67348.44,NA
"188","Concrete Alley Menu ","E 55TH ST & S HYDE PARK BLVD&S CORNELL AVE & E 56TH ST","$247,303.83","5",2022,247303.83,NA
"189","Curb & Gutter Menu ","ON S BLACKSTONE AVE FROM E 53RD ST (5300 S) TO E 54TH ST (5400 S)","$33,706.46","5",2022,33706.46,NA
"190","Floodlight Menu ","S KENWOOD AVE & E 68TH ST","$1,900.00","5",2022,1900,NA
"191","Miscellaneous CDOT Projects ","1465 E 69TH PL","$150.00","5",2022,150,NA
"192","Miscellaneous CDOT Projects ","1558 E MARQUETTE RD","$660.00","5",2022,660,NA
"193","Miscellaneous CDOT Projects ","$750.00","$750.00","5",2022,750,NA
"194","Speed Indicator Signs ","ON S SOUTH SHORE DR FROM E 67TH ST (6600 S) TO E 71ST ST (2400 E)","$28,000.00","5",2022,28000,NA
"195","Street Bump Outs Menu ","5201 S CORNELL AVE","$5,437.84","5",2022,5437.84,NA
"196","Street Light Residential Staggered Piggy Back Menu ","$430,000.00","$430,000.00","5",2022,430000,NA
"197","Street Resurfacing Menu ","ON E 54TH ST FROM S CORNELL AVE (1630 E) TO S SHORE DR (1800 E)","$60,522.95","5",2022,60522.95,NA
"198","Street Resurfacing Menu ","ON E 69TH ST FROM S CONSTANCE AVE (1830 E) TO S BENNETT AVE (1900 E)","$23,014.55","5",2022,23014.55,NA
"199","Street Resurfacing Menu ","ON E 69TH ST FROM S EAST END AVE (1700 E) TO S CREGIER AVE (1800 E)","$70,447.33","5",2022,70447.33,NA
"200","Street Resurfacing Menu ","ON S BLACKSTONE AVE FROM E 53RD ST (5300 S) TO E 54TH ST (5400 S)","$47,938.41","5",2022,47938.41,NA
"201","Street Resurfacing Menu ","ON S SHORE DR FROM E 53RD ST (5300 S) TO E 55TH ST (5500 S)","$319,734.85","5",2022,319734.85,NA
"202","1 PTZ Camera - NW 7558 S Calumet Ave","7558 S CALUMET AVE","$24,776.00","6",2022,24776,NA
"203","Alley Apron Menu ","7511 S ST LAWRENCE AVE","$12,388.76","6",2022,12388.76,NA
"204","Alley Apron Menu ","7512 S LANGLEY AVE; 7513 S LANGLEY AVE","$24,121.21","6",2022,24121.21,NA
"205","Collector Street - Miscellaneous Concrete ","ON S LANGLEY AVE FROM E 87TH ST (8700 S) TO E 93RD ST (9300 S)","$12,324.42","6",2022,12324.42,NA
"206","Curb & Gutter Menu ","7911-7931 S LANGLEY AVE","$23,080.56","6",2022,23080.56,NA
"207","Floodlight Menu ","E 75TH ST & S PRAIRIE AVE","$252.74","6",2022,252.74,NA
"208","Miscellaneous CDOT Projects ","501 E 78TH ST","$415.86","6",2022,415.86,NA
"209","Miscellaneous CDOT Projects ","ST; S DR MARTIN LUTHER KING JR DR & E 87TH ST; S DR MARTIN LUTHER KING JR DR & E","$15,529.43","6",2022,15529.43,NA
"210","Miscellaneous CDOT Projects ","S STATE ST & E 79TH ST; S STATE ST & E 87TH ST; S STATE ST & E 83RD ST","$15,600.00","6",2022,15600,NA
"211","Sidewalk Menu ","102 W 77TH ST","$5,440.63","6",2022,5440.63,NA
"212","Sidewalk Menu ","316 E 69TH PL","$3,697.83","6",2022,3697.83,NA
"213","Sidewalk Menu ","43 W 77TH PL; 49 W 77TH PL","$10,105.76","6",2022,10105.76,NA
"214","Sidewalk Menu ","52-56 W 77TH PL; 55 W 77TH PL","$24,006.99","6",2022,24006.99,NA
"215","Sidewalk Menu ","52 W 78TH PL","$4,129.76","6",2022,4129.76,NA
"216","Sidewalk Menu ","631-635 E 88TH ST","$6,662.63","6",2022,6662.63,NA
"217","Sidewalk Menu ","7240 S INDIANA AVE","$2,902.74","6",2022,2902.74,NA
"218","Sidewalk Menu ","7409 S GREEN ST","$6,769.07","6",2022,6769.07,NA
"219","Sidewalk Menu ","7445 S STATE ST","$24,797.58","6",2022,24797.58,NA
"220","Sidewalk Menu ","7519 S RHODES AVE; 7515 S RHODES AVE","$5,698.52","6",2022,5698.52,NA
"221","Sidewalk Menu ","7639-7643 S EBERHART AVE","$8,244.19","6",2022,8244.19,NA
"222","Sidewalk Menu ","7704 S EBERHART AVE","$2,233.03","6",2022,2233.03,NA
