"","program","description","costA","ward","year","cost","costB"
"1","1 PTZ Camera - NE N Milwaukee & W Francis Pl","N MILWAUKEE AVE & W FRANCIS PL","$24,776.00","1",2022,24776,NA
"2","Alley Resurfacing Menu ","$38,302.06","$38,302.06","1",2022,38302.06,NA
"3","Alley Resurfacing Menu ","1220 N PAULINA ST; N WOOD ST & W CRYSTAL ST&W DIVISION ST & N HERMITAGE AVE","$35,429.60","1",2022,35429.6,NA
"4","Alley Resurfacing Menu ","$35,815.98","$35,815.98","1",2022,35815.98,NA
"5","Alley Resurfacing Menu ","$32,806.97","$32,806.97","1",2022,32806.97,NA
"6","Alley Resurfacing Menu ","$10,883.82","$10,883.82","1",2022,10883.82,NA
"7","Alley Resurfacing Menu ","N ELK GROVE AVE & N WOOD ST&N HONORE ST & N MILWAUKEE AVE","$34,361.50","1",2022,34361.5,NA
"8","Alley Resurfacing Menu ","$25,614.21","$25,614.21","1",2022,25614.21,NA
"9","Alley Resurfacing Menu ","W DIVISION ST & N WOOD ST&N HONORE ST & W HADDON AVE","$7,273.67","1",2022,7273.67,NA
"10","Alley Speed Hump Menu ","$1,400.00","$1,400.00","1",2022,1400,NA
"11","Arterial Street Bump Outs Menu ","W DIVISION ST & N PAULINA ST","$136,714.06","1",2022,136714.06,NA
"12","Bike Lane/Marked Shared Lane Menu ","ON N WOOD ST FROM W GRAND AVE (500 N) TO W ELLEN ST (1300 N)","$300,000.00","1",2022,300000,NA
"13","Concrete Alley Menu ","W ARMITAGE AVE & N WHIPPLE ST&N ALBANY AVE & W CORTLAND ST","$320,000.00","1",2022,320000,NA
"14","CPS Turf Field - James Otis School","525 N ARMOUR ST","$30,000.00","1",2022,30000,NA
"15","Curb & Gutter Menu ","1651 W SUPERIOR ST","$6,296.36","1",2022,6296.36,NA
"16","Curb & Gutter Menu ","1656 W HURON ST","$32,339.16","1",2022,32339.16,NA
"17","Curb & Gutter Menu ","2759 N LEAVITT ST","$25,646.12","1",2022,25646.12,NA
"18","In-Road State Law Stop For Pedestrians Signs","N DAMEN AVE & W LE MOYNE ST","$600.00","1",2022,600,NA
"19","Pavement Markings Menu ","ON W CHICAGO AVE FROM N ASHLAND AVE (1600 W) TO N WESTERN AVE (2400 W)","$100,000.00","1",2022,100000,NA
"20","Pavement Markings Menu ","W PALMER BLVD & N SACRAMENTO AVE","$3,300.00","1",2022,3300,NA
"21","Sidewalk Menu ","1001-1027 N MARSHFIELD AVE","$36,340.46","1",2022,36340.46,NA
"22","Sidewalk Menu ","1111 N PAULINA ST","$3,172.43","1",2022,3172.43,NA
"23","Sidewalk Menu ","1500-1522 N MAPLEWOOD AVE","$19,773.85","1",2022,19773.85,NA
"24","Sidewalk Menu ","1501-1519 W FRY ST","$54,549.40","1",2022,54549.4,NA
"25","Sidewalk Menu ","1801-1811 N ALBANY AVE","$14,637.07","1",2022,14637.07,NA
"26","Sidewalk Menu ","1813-1817 W ELLEN ST","$9,284.24","1",2022,9284.24,NA
"27","Sidewalk Menu ","2348 W WALTON ST","$19,209.99","1",2022,19209.99,NA
"28","Sidewalk Menu ","2601 W HADDON AVE","$15,389.97","1",2022,15389.97,NA
"29","Sidewalk Menu ","2726 W CHANAY ST","$4,456.86","1",2022,4456.86,NA
"30","Sidewalk Menu ","801-835 N HERMITAGE AVE","$32,864.89","1",2022,32864.89,NA
"31","Street Resurfacing Menu ","ON N WOLCOTT AVE FROM W ELLEN ST (1300 N) TO N WICKER PARK AVE (1370 N)","$62,875.45","1",2022,62875.45,NA
"32","Street Speed Hump Menu ","ON W ERIE ST FROM N ASHLAND AVE (1600 W) TO N PAULINA ST (1700 W)","$4,700.00","1",2022,4700,NA
"33","Street Speed Hump Menu ","ON W OHIO ST FROM N WOLCOTT AVE (1900 W) TO N DAMEN AVE (2000 W)","$4,700.00","1",2022,4700,NA
"34","Street Speed Hump Menu ","ON W PRINDIVILLE ST FROM N MILWAUKEE AVE (2700 W) TO N STAVE ST (2800 W)","$2,350.00","1",2022,2350,NA
"35","Street Traffic Circle Menu ","W WABANSIA AVE & N WASHTENAW AVE","$14,135.87","1",2022,14135.87,NA
"36","1 LPR/Existing Camera - NE Michigan Ave and Superior","N MICHIGAN AVE & E SUPERIOR ST","$10,971.00","2",2022,10971,NA
"37","1 LPR/Existing Camera - NW Division St at State","W DIVISION ST & N STATE ST","$10,971.00","2",2022,10971,NA
"38","1 LPR/Existing Camera - SE Sedgwick and Evergreen","N SEDGWICK ST & W EVERGREEN AVE","$10,971.00","2",2022,10971,NA
"39","1 LPR/Existing Camera - SW LaSalle St at Chicago","N LA SALLE DR & W CHICAGO AVE","$10,971.00","2",2022,10971,NA
"40","1 POD Camera NW Corner 958 N Dearborn","958 N DEARBORN ST","$24,776.00","2",2022,24776,NA
"41","1 POD Camera NW Corner of State and Goethe","N STATE PKWY & W GOETHE ST","$24,776.00","2",2022,24776,NA
"42","1 PTZ Camera - NE Lake Shore Drive at E Pearson","E PEARSON ST & N LAKE SHORE DR","$24,776.00","2",2022,24776,NA
"43","1 PTZ Camera - NW 1100 N State","1100 N STATE ST","$24,776.00","2",2022,24776,NA
"44","1 PTZ Camera - NW Maple and State","N STATE ST & W MAPLE ST","$24,776.00","2",2022,24776,NA
