"","program","description","costA","ward","year","cost","costB"
"1","1 POD Camera: Noble & Huron (Split w/ Ward 27)","W HURON ST & N NOBLE ST","$12,388.00","1",2021,12388,NA
"2","In-Road State Law Stop For Pedestrians Signs","1933 N MILWAUKEE AVE; 1955 N DAMEN AVE","$21,942.00","1",2021,21942,NA
"3","Alley Resurfacing Menu ","1513 W GRAND AVE; W GRAND AVE & N ASHLAND AVE&N ARMOUR ST & W HUBBARD ST","$26,064.21","1",2021,26064.21,NA
"4","Alley Resurfacing Menu ","2346 W ALTGELD ST; W ALTGELD ST & N WESTERN AVE; 2342-2346 W ALTGELD ST","$15,244.45","1",2021,15244.45,NA
"5","Alley Resurfacing Menu ","$38,165.80","$38,165.80","1",2021,38165.8,NA
"6","Alley Resurfacing Menu ","$35,933.61","$35,933.61","1",2021,35933.61,NA
"7","Alley Resurfacing Menu ","N OAKLEY BLVD & W IOWA ST&W RICE ST & N WESTERN AVE; 850 N OAKLEY BLVD","$65,813.90","1",2021,65813.9,NA
"8","Alley Resurfacing Menu ","W RACE AVE & N DAMEN AVE&N WOLCOTT AVE & W GRAND AVE; 1927 W RACE AVE","$37,511.84","1",2021,37511.84,NA
"9","Arterial Street Bump Outs Menu ","W DIVISION ST & N PAULINA ST","$24,066.39","1",2021,24066.39,NA
"10","Bike Lane/Marked Shared Lane Menu ","ON W ERIE ST FROM N NOBLE ST (1400 W) TO N DAMEN AVE (2000 W)","$45,000.00","1",2021,45000,NA
"11","Bike Lane/Marked Shared Lane Menu ","ON W LYNDALE ST FROM N WESTERN AVE (2400 W) TO N ROCKWELL ST (2600 W)","$30,000.00","1",2021,30000,NA
"12","Curb & Gutter Menu ","1219 N WOLCOTT AVE","$3,527.32","1",2021,3527.32,NA
"13","Curb & Gutter Menu ","1400 N OAKLEY BLVD","$63,608.37","1",2021,63608.37,NA
"14","Curb & Gutter Menu ","1656 W HURON ST","$26,598.01","1",2021,26598.01,NA
"15","Curb & Gutter Menu ","1853 N KEDZIE AVE","$43,251.43","1",2021,43251.43,NA
"16","Curb & Gutter Menu ","2350 W CHARLESTON ST","$35,063.29","1",2021,35063.29,NA
"17","Curb & Gutter Menu ","2839 W FULLERTON AVE","$13,921.58","1",2021,13921.58,NA
"18","Curb & Gutter Menu ","ON N MOORMAN ST FROM N HERMITAGE AVE (1270 N) TO N PAULINA ST (1300 N)","$12,019.95","1",2021,12019.95,NA
"19","Curb & Gutter Menu ","ON W LYNDALE ST FROM N WESTERN AVE (2400 W) TO N ROCKWELL ST (2600 W)","$16,021.10","1",2021,16021.1,NA
"20","In-Road State Law Stop For Pedestrians Signs","N DAMEN AVE & W HURON ST","$1,200.00","1",2021,1200,NA
"21","In-Road State Law Stop For Pedestrians Signs","N DAMEN AVE & W LE MOYNE ST","$600.00","1",2021,600,NA
"22","In-Road State Law Stop For Pedestrians Signs","N CALIFORNIA AVE & W ARMITAGE AVE","$53,344.00","1",2021,53344,NA
"23","In-Road State Law Stop For Pedestrians Signs","N HUMBOLDT BLVD & W PALMER BLVD","$50,000.00","1",2021,50000,NA
"24","In-Road State Law Stop For Pedestrians Signs","W ARMITAGE AVE & N KEDZIE AVE","$50,000.00","1",2021,50000,NA
"25","Maplewood Park Field House","1640 N MAPLEWOOD AVE","$324,440.49","1",2021,324440.49,NA
"26","Miscellaneous CDOT Projects ","2400 S WESTERN AVE","$660.00","1",2021,660,NA
"27","Sidewalk Menu ","1947 N ROCKWELL ST","$97,271.71","1",2021,97271.71,NA
"28","Sidewalk Menu ","2656 W CORTLAND ST","$10,544.01","1",2021,10544.01,NA
"29","Sidewalk Menu ","529 N HARTLAND CT","$4,622.65","1",2021,4622.65,NA
"30","Sidewalk Menu ","N CALIFORNIA AVE & W MEDILL AVE","$78,540.60","1",2021,78540.6,NA
"31","Sidewalk Menu ","W MCLEAN AVE & N CAMPBELL AVE","$5,425.27","1",2021,5425.27,NA
"32","Street Resurfacing Menu ","1500 W WALTON ST","$53,111.55","1",2021,53111.55,NA
"33","Street Resurfacing Menu ","1750 W DIVISION ST","$20,349.41","1",2021,20349.41,NA
"34","Street Resurfacing Menu ","ON N OAKLEY AVE FROM W THOMAS ST (1100 N) TO W HADDON AVE (1130 N)","$36,741.96","1",2021,36741.96,NA
"35","Street Resurfacing Menu ","ON N WOOD ST FROM 1320 N TO N MILWAUKEE AVE (1400 N)","$12,382.97","1",2021,12382.97,NA
"36","Street Resurfacing Menu ","ON N WOOD ST FROM N ELK GROVE AVE (1500 N) TO W JULIAN ST (1440 N)","$7,669.70","1",2021,7669.7,NA
"37","Street Resurfacing Menu ","ON W LYNDALE ST FROM N WESTERN AVE (2400 W) TO N ROCKWELL ST (2600 W)","$124,604.42","1",2021,124604.42,NA
"38","Street Speed Hump Menu ","ON W BELDEN AVE FROM N TALMAN AVE (2630 W) TO N WASHTENAW AVE (2700 W)","$2,350.00","1",2021,2350,NA
"39","1 360 POD Camera: N Ashland & W Blackhawk","N ASHLAND AVE & W BLACKHAWK ST","$24,335.00","2",2021,24335,NA
"40","1 LPR W/ Existing Camera: SW Corner 1555 W Division","1555 W DIVISION ST","$10,971.00","2",2021,10971,NA
"41","1 POD Camera: 310 E Chicago Ave","310 E CHICAGO AVE","$24,776.00","2",2021,24776,NA
"42","In-Road State Law Stop For Pedestrians Signs","N LA SALLE DR & N CLARK ST","$24,776.00","2",2021,24776,NA
"43","1 POD Camera: E PEARSON AND MIES VAN DER ROHE","E PEARSON ST & N MIES VAN DER ROHE WAY","$24,776.00","2",2021,24776,NA
"44","2 POD Cameras: 2000 W Chicago Ave, 1300 N Cleveland","2000 W CHICAGO AVE; 1300 N CLEVELAND AVE","$49,552.00","2",2021,49552,NA
"45","Alley Apron Menu ","1401 N DEARBORN ST","$10,059.91","2",2021,10059.91,NA
"46","Alley Apron Menu ","50 W SCHILLER ST","$18,136.54","2",2021,18136.54,NA
"47","Floodlight Menu ","W EVERGREEN AVE & N NOBLE ST","$1,900.00","2",2021,1900,NA
"48","In-Road State Law Stop For Pedestrians Signs","W AUGUSTA BLVD & N HOYNE AVE","$600.00","2",2021,600,NA
"49","In-Road State Law Stop For Pedestrians Signs","W FULLERTON AVE & N LAKEWOOD AVE","$350.00","2",2021,350,NA
"50","In-Road State Law Stop For Pedestrians Signs","W FULLERTON AVE & N SURREY CT","$350.00","2",2021,350,NA
"51","Miscellaneous CDOT Projects ","N CLYBOURN AVE & N LAKEWOOD AVE","$69,368.96","2",2021,69368.96,NA
"52","Seneca Park Playlot Improvement","220 E CHICAGO AVE","$197,305.52","2",2021,197305.52,NA
"53","Sidewalk Menu ","$21,246.31","$21,246.31","2",2021,21246.31,NA
"54","Street Resurfacing Menu ","227 E CHESTNUT ST; 850 N DEWITT PL","$104,715.96","2",2021,104715.96,NA
"55","Street Resurfacing Menu ","$20,969.27","$20,969.27","2",2021,20969.27,NA
"56","Street Resurfacing Menu ","ON N ADA ST FROM 1299 N TO W CRYSTAL ST (1240 N)","$31,059.55","2",2021,31059.55,NA
