"","description","costA","costB","ward","program","year","cost"
"532","ON W 53RD ST FROM S SPAULDING AV (3300 W) TO S 1.00 ","1,850.00",NA,"14","Street Speed Hump Menu",2012,1850
"533","ON S AVERS AVE FROM W 45 ST (4500 S) TO W 48 ST (4800 S) 3.00 ","11,100.00",NA,"14","Street Speed Hump Menu",2012,11100
"534","ON S RIDGEWAY AVE FROM S ARCHER AV (4821 S) TO W 49 1.00 ","3,700.00",NA,"14","Street Speed Hump Menu",2012,3700
"535","ON S SAWYER AVE FROM W 53 ST (5300 S) TO W 54 ST (5400 1.00 ","3,700.00",NA,"14","Street Speed Hump Menu",2012,3700
"536","ON S TRUMBULL AVE FROM W 58 ST (5800 S) TO W 59 ST 1.00 ","3,700.00",NA,"14","Street Speed Hump Menu",2012,3700
"537","3716 W 49TH ST ","350.00",NA,"14","Street Light Upgrade",2012,350
"538","ON W MARQUETTE RD FROM 2814 W TO S CALIFORNIA AVE 1.00 ","2,230.00",NA,"15","Bollard Menu",2012,2230
"539","ON W 67TH PL FROM S DAMEN AV (2000 W) TO S HOYNE AV 0.00 ","4,102.00",NA,"15","Curb & Gutter Menu",2012,4102
"540","ON W 66TH ST FROM S ROCKWELL ST (2600 W) TO S 0.00 ","13,538.00",NA,"15","Curb & Gutter Menu",2012,13538
"541","ON S WOOD ST FROM W 58TH ST (5800 S) TO W 59TH ST 0.00 ","2,747.00",NA,"15","Sidewalk Menu",2012,2747
"542","ON S RICHMOND ST FROM W 66 ST (6600 S) TO W 0.00 ","6,045.00",NA,"15","Sidewalk Menu",2012,6045
"543","6558 S MARSHFIELD AVE Install Pole for Police camera ","3,500.00",NA,"15","Street Light Arterial",2012,3500
"544","ON 64 FROM S KEDZIE AV (3200 W) TO S HOMAN AV (3400 ","128,000.00",NA,"15","Street Light Residential",2012,128000
"545","ON WINCHESTER FROM W 63 ST (6300 S) TO W MARQUETTE ","256,000.00",NA,"15","Street Light Residential",2012,256000
"546","ON WOOD FROM W 63 ST (6300 S) TO W MARQUETTE RD ","275,000.00",NA,"15","Street Light Residential",2012,275000
"547","ON ARTESIAN FROM W 60 ST (6000 S) TO W 63 ST (6300 S) ","192,000.00",NA,"15","Street Light Residential",2012,192000
"548","ON PAULINA FROM W 59 ST (5900 S) TO W 61 ST (6100 S) ","128,000.00",NA,"15","Street Light Residential",2012,128000
"549","ON HONORE FROM W 59 ST (5900 S) TO W GARFIELD BV ","266,000.00",NA,"15","Street Light Residential",2012,266000
"550","6558 S. Marshfield ","22,500.00",NA,"15","High Definition Camera",2012,22500
"551","5701 S. Winchester ","20,000.00",NA,"15","High Definition Camera",2012,20000
"552","S BISHOP ST & S LAFLIN ST & W GARFIELD BLVD & W 56TH 0.00 ","32,408.00",NA,"16","Alley Resurfacing Menu",2012,32408
"553","S DAMEN AVE & S WINCHESTER AVE & W GARFIELD BLVD 0.00 ","32,810.00",NA,"16","Alley Resurfacing Menu",2012,32810
"554","W 59TH ST & S PEORIA ST & S GREEN ST & W 60TH ST 0.00 ","32,813.00",NA,"16","Alley Resurfacing Menu",2012,32813
"555","S THROOP ST & S ELIZABETH ST & W 57TH ST & W 56TH ST 0.00 ","40,154.00",NA,"16","Alley Resurfacing Menu",2012,40154
"556","W GARFIELD BLVD & S RACINE AVE & S MAY ST & W 56TH 0.00 ","38,627.00",NA,"16","Alley Resurfacing Menu",2012,38627
"557","S MAY ST & S RACINE AVE & W 65TH ST & W 64TH ST 0.00 ","41,419.00",NA,"16","Alley Resurfacing Menu",2012,41419
"558","S ALBANY AVE & S TROY ST & W 60TH ST & W 61ST ST 0.00 ","1,400.00",NA,"16","Alley Speed Hump Menu",2012,1400
"559","S ELIZABETH ST & S THROOP ST & W 56TH ST & W 57TH ST 0.00 ","1,400.00",NA,"16","Alley Speed Hump Menu",2012,1400
"560","ON W 49TH PL FROM S LOOMIS BV (1400 W) TO S LAFLIN ST 0.00 ","14,995.00",NA,"16","Curb & Gutter Menu",2012,14995
"561","Flower baskets- 63rd St., Halsted to Morgan ","47,200.00",NA,"16","Miscellaneous Other",2012,47200
"562","ON S ARTESIAN AVE FROM W 58 ST (5800 S) TO W 59 ST 0.00 ","43,790.00",NA,"16","Sidewalk Menu",2012,43790
"563","ON W 58TH ST FROM S ROCKWELL ST (2600 W) TO S 0.00 ","1,506.00",NA,"16","Sidewalk Menu",2012,1506
"564","ON W 58TH ST FROM S JUSTINE ST (1532 W) TO S LAFLIN ST 0.00 ","1,778.00",NA,"16","Sidewalk Menu",2012,1778
"565","ON S WHIPPLE ST FROM W 60 ST (6000 S) TO W 61 ST (6100 S) 0.00 ","3,633.00",NA,"16","Sidewalk Menu",2012,3633
"566","ON S MAY ST FROM W GARFIELD BV (5500 S) TO W 56 ST 0.00 ","6,649.00",NA,"16","Sidewalk Menu",2012,6649
"567","ON S CAMPBELL AVE FROM W 56 ST (5600 S) TO W 57 ST 0.00 ","3,078.00",NA,"16","Sidewalk Menu",2012,3078
"568","ON S FRANCISCO AVE FROM W 56 ST (5600 S) TO W 57 ST 0.00 ","2,015.00",NA,"16","Sidewalk Menu",2012,2015
"569","ON S ALBANY AVE FROM W 60TH ST (6000 S) TO W 61ST ST 0.00 ","3,648.00",NA,"16","Sidewalk Menu",2012,3648
"570","ON S ROCKWELL ST FROM W 58 ST (5800 S) TO W 59 ST (5900 0.00 ","4,960.00",NA,"16","Sidewalk Menu",2012,4960
"571","ON S CAMPBELL AVE FROM W 59 ST (5900 S) TO W 60 ST 0.00 ","80,241.00",NA,"16","Sidewalk Menu",2012,80241
"572","ON W 50TH ST FROM S BISHOP ST (1432 W) TO S ASHLAND 0.00 ","38,790.00",NA,"16","Sidewalk Menu",2012,38790
"573","ON W 60TH PL FROM S HOMAN AV (3400 W) TO S ST LOUIS 0.00 ","18,270.00",NA,"16","Sidewalk Menu",2012,18270
"574","ON S HOYNE AVE FROM W 49 PL (4932 S) TO W 50 ST (5000 S) 0.00 ","2,792.00",NA,"16","Sidewalk Menu",2012,2792
"575","ON W 53RD PL FROM S HOYNE AVE (2100 W) TO S 0.00 ","12,322.00",NA,"16","Sidewalk Menu",2012,12322
"576","ON S MAY ST FROM 5158 S TO W 52 ST (5200 S) 0.00 ","39,419.00",NA,"16","Street Cul-de-Sac Menu",2012,39419
"577","ON S THROOP ST FROM W 50 ST (5000 S) TO W 51 ST (5100 S) 1.00 ","61,576.00",NA,"16","Street Resurfacing Menu",2012,61576
"578","ON S SEELEY AVE FROM W 50 ST (5000 S) TO W 51 ST (5100 S) 1.00 ","41,855.00",NA,"16","Street Resurfacing Menu",2012,41855
"579","ON S ABERDEEN ST FROM W 59 ST (5900 S) TO W 61 ST (6100 1.00 ","107,214.00",NA,"16","Street Resurfacing Menu",2012,107214
"580","ON S MAPLEWOOD AVE FROM W 57 ST (5700 S) TO W 58 ST 1.00 ","65,821.00",NA,"16","Street Resurfacing Menu",2012,65821
"581","ON S MAPLEWOOD AVE FROM W 58 ST (5800 S) TO W 59 ST 1.00 ","43,535.00",NA,"16","Street Resurfacing Menu",2012,43535
"582","ON S GREEN ST FROM W 65 ST (6500 S) TO W 66 ST (6600 S) 1.00 ","53,824.00",NA,"16","Street Resurfacing Menu",2012,53824
"583","ON W 49TH PL FROM S LOOMIS BV (1400 W) TO S LAFLIN ST 1.00 ","42,644.00",NA,"16","Street Resurfacing Menu",2012,42644
"584","ON S FAIRFIELD AVE FROM W 55 ST (5500 S) TO W 56 ST 1.00 ","68,295.00",NA,"16","Street Resurfacing Menu",2012,68295
"585","ON S SEELEY AVE FROM W 52 PL (5244 S) TO W 53 ST (5300 S) 1.00 ","9,373.00",NA,"16","Street Resurfacing Menu",2012,9373
"586","ON W 50TH ST FROM S HOYNE AV (2100 W) TO S LEAVITT ST 1.00 ","3,700.00",NA,"16","Street Speed Hump Menu",2012,3700
"587","ON S ADA ST FROM W 56 ST (5600 S) TO W 57 ST (5700 S) 1.00 ","1,850.00",NA,"16","Street Speed Hump Menu",2012,1850
"588","ON N LAWNDALE AVE FROM W POTOMAC AVE (1300 N) TO 1.00 ","7,400.00",NA,"16","Street Speed Hump Menu",2012,7400
"589","ON W 52ND PL FROM S HOYNE AV (2100 W) TO Dead End 1.00 ","3,700.00",NA,"16","Street Speed Hump Menu",2012,3700
"590","ON S MAY ST FROM W 63 ST (6300 S) TO W 64 ST (6400 S) 1.00 ","3,700.00",NA,"16","Street Speed Hump Menu",2012,3700
"591","ON W MCLEAN AVE FROM N ST LOUIS AVE (3500 W) TO N 1.00 ","1,850.00",NA,"16","Street Speed Hump Menu",2012,1850
"592","ON SEELEY FROM W 53 PL (5332 S) TO W GARFIELD BV ","106,000.00",NA,"16","Street Light Residential",2012,106000
"593","6932 S JUSTINE ST 1.00 ","192.00",NA,"16","Street Light Upgrade",2012,192
"594","6034 S THROOP ST ","350.00",NA,"16","Street Light Upgrade",2012,350
"595","6058 S THROOP ST ","350.00",NA,"16","Street Light Upgrade",2012,350
"596","Micek Playground-5311 S.Hamilton ","150,000.00",NA,"16","Chicago Park District",2012,150000
"597","ON S OAKLEY AVE FROM W 70 ST (7000 S) TO W 71 ST (7100 0.00 ","27,324.00",NA,"17","Curb & Gutter Menu",2012,27324
"598","ON S YALE AVE FROM W 80 ST (8000 S) TO W 81 ST (8100 S) 0.00 ","110,271.00",NA,"17","Curb & Gutter Menu",2012,110271
"599","ON S SANGAMON ST FROM W 79 ST (7900 S) TO W 80 ST (8000 0.00 ","20,452.00",NA,"17","Curb & Gutter Menu",2012,20452
"600","ON S HOYNE AVE FROM W 71 ST (7100 S) TO W 72 ST (7200 S) 0.00 ","68,736.00",NA,"17","Sidewalk Menu",2012,68736
"601","ON S OAKLEY AVE FROM W MARQUETTE RD (6700 S) TO W 0.00 ","32,526.00",NA,"17","Sidewalk Menu",2012,32526
"602","ON S EGGLESTON AVE FROM W WINNECONA SOUTH PW 0.00 ","35,003.00",NA,"17","Sidewalk Menu",2012,35003
"603","ON W 80TH ST FROM S NORMAL AV (500 W) TO S HALSTED 3.00 ","266,375.00",NA,"17","Street Resurfacing Menu",2012,266375
"604","ON S CLAREMONT AVE FROM W MARQUETTE RD (6700 S) 2.00 ","107,290.00",NA,"17","Street Resurfacing Menu",2012,107290
"605","ON S BELL AVE FROM W MARQUETTE RD (6700 S) TO W 70 3.00 ","121,523.00",NA,"17","Street Resurfacing Menu",2012,121523
"606","ON S CARPENTER ST FROM W 72 ST (7200 S) TO W 73 ST 1.00 ","3,700.00",NA,"17","Street Speed Hump Menu",2012,3700
"607","ON S PEORIA ST FROM W 69 ST (6900 S) TO W 70 ST (7000 S) 1.00 ","3,700.00",NA,"17","Street Speed Hump Menu",2012,3700
"608","ON S SANGAMON ST FROM W 69 ST (6900 S) TO W 70 ST (7000 1.00 ","3,700.00",NA,"17","Street Speed Hump Menu",2012,3700
"609","ON S MAY ST FROM W 72 ST (7200 S) TO W 73 ST (7300 S) 1.00 ","3,700.00",NA,"17","Street Speed Hump Menu",2012,3700
"610","ON S WOOD ST FROM W 76 ST (7600 S) TO W 77 ST (7700 S) 1.00 ","3,700.00",NA,"17","Street Speed Hump Menu",2012,3700
"611","ON EMERALD FROM W 73 ST (7300 S) TO W 76 ST (7600 S) ","128,000.00",NA,"17","Street Light Residential",2012,128000
"612","ON WOOD FROM W 69 ST (6900 S) TO W 71 ST (7100 S) ","128,000.00",NA,"17","Street Light Residential",2012,128000
"613","ON 74 FROM S RACINE AV (1200 W) TO S ADA ST (1316 W) ","128,000.00",NA,"17","Street Light Residential",2012,128000
"614","ON EGGLESTON FROM W 77 ST (7700 S) TO W 79 ST (7900 S) ","128,000.00",NA,"17","Street Light Residential",2012,128000
"615","W 86TH ST & W 87TH ST & S KOMENSKY AVE & S KARLOV 0.00 ","19,373.00",NA,"18","Alley Resurfacing Menu",2012,19373
"616","S CLAREMONT AVE & S OAKLEY AVE & W 81ST ST & W 0.00 ","700.00",NA,"18","Alley Speed Hump Menu",2012,700
"617","S MAPLEWOOD AVE & S TALMAN AVE & W 82ND PL & W 0.00 ","700.00",NA,"18","Alley Speed Hump Menu",2012,700
"618","W 87TH ST & S KARLOV AVE&W 86TH ST & S KEDVALE 1.00 ","546.00",NA,"18","Alley Speed Hump Menu",2012,546
"619","W 75TH ST & W 76TH ST & S CENTRAL PARK AVE & S ST 0.00 ","700.00",NA,"18","Alley Speed Hump",2012,700
"620","ON S HOYNE AVE FROM W 78 ST (7800 S) TO W 77 ST (7700 S) 0.00 ","12,877.00",NA,"18","Curb & Gutter Menu",2012,12877
"621","ON W 82ND PL FROM S SPRINGFIELD AV (3900 W) TO S 0.00 ","89,182.00",NA,"18","Curb & Gutter Menu",2012,89182
"622","ON W 85TH ST FROM S DAMEN AV (2000 W) TO Dead End 0.00 ","7,147.00",NA,"18","Curb & Gutter Menu",2012,7147
"623","ON W 79TH PL FROM S MAPLEWOOD AV (2532 W) TO S 0.00 ","5,596.00",NA,"18","Curb & Gutter Menu",2012,5596
"624","ON S BELL AVE FROM W 71 ST (7100 S) TO W 72 ST (7200 S) 0.00 ","9,518.00",NA,"18","Curb & Gutter Menu",2012,9518
"625","ON S WINCHESTER AVE FROM Dead End (7552 S) TO W 76 ST 0.00 ","47,292.00",NA,"18","Curb & Gutter Menu",2012,47292
"626","W 77TH ST & S WESTERN AVE pavement markings ","480.00",NA,"18","Miscellaneous Other",2012,480
"627","8600 S KOMENSKY AVE 0.00 ","3,485.00",NA,"18","Sidewalk Menu",2012,3485
"628","ON S CHRISTIANA AVE FROM W 79 ST (7900 S) TO W 0.00 ","55,413.00",NA,"18","Sidewalk Menu",2012,55413
"629","ON W 81ST ST FROM Dead End (3652 W) TO S LAWNDALE AV 0.00 ","53,535.00",NA,"18","Sidewalk Menu",2012,53535
"630","ON S TALMAN AVE FROM W 81 PL (8132 S) TO W 82 ST (8200 0.00 ","33,546.00",NA,"18","Sidewalk Menu",2012,33546
"631","8001 Francisco 0.00 ","1,576.00",NA,"18","Sidewalk Menu",2012,1576
"632","ON W 84TH PL FROM Dead End (3652 W) TO S ST LOUIS AV 0.00 ","74,699.00",NA,"18","Sidewalk Menu",2012,74699
"633","ON W 80TH PL FROM S ST LOUIS AV (3500 W) TO S CENTRAL 0.00 ","68,529.00",NA,"18","Sidewalk Menu",2012,68529
"634","ON W 84TH ST FROM Dead End (3633 W) TO S ST LOUIS AV 0.00 ","60,560.00",NA,"18","Sidewalk Menu",2012,60560
"635","ON W 82ND ST FROM S ARTESIAN AV (2432 W) TO S 0.50 ","26,366.00",NA,"18","Street Resurfacing Menu",2012,26366
"636","ON W 84TH PL FROM S CALIFORNIA AV (2800 W) TO S 1.00 ","68,266.00",NA,"18","Street Resurfacing Menu",2012,68266
"637","ON W 85TH PL FROM S CHRISTIANA AV (3337 W) TO Dead 1.50 ","56,769.00",NA,"18","Street Resurfacing Menu",2012,56769
"638","ON W 83RD PL FROM S LAWNDALE AV (3700 W) TO S 1.00 ","35,846.00",NA,"18","Street Resurfacing Menu",2012,35846
"639","ON S ROCKWELL ST FROM W 86 PL (8642 S) TO W 87 ST (8700 0.25 ","29,079.00",NA,"18","Street Resurfacing Menu",2012,29079
"640","ON S RICHMOND ST FROM W 81 ST (8100 S) TO W 82 ST (8200 1.00 ","37,571.00",NA,"18","Street Resurfacing Menu",2012,37571
"641","ON S ARTESIAN AVE FROM W 81 ST (8100 S) TO W 82 ST 1.00 ","39,135.00",NA,"18","Street Resurfacing Menu",2012,39135
"642","ON S MAPLEWOOD AVE FROM W 81 ST (8100 S) TO W 82 ST 1.00 ","40,645.00",NA,"18","Street Resurfacing Menu",2012,40645
"643","ON W 83RD PL FROM S WASHTENAW AV (2700 W) TO S 1.00 ","4,680.00",NA,"18","Street Resurfacing Menu",2012,4680
"644","ON S CAMPBELL AVE FROM W 80 ST (8000 S) TO W 81 ST 1.00 ","39,038.00",NA,"18","Street Resurfacing Menu",2012,39038
"645","ON W 85TH PL FROM S CENTRAL PARK AV (3600 W) TO S 1.00 ","3,700.00",NA,"18","Street Speed Hump Menu",2012,3700
"646","ON W 82ND ST FROM S DAMEN AV (2000 W) TO S HOYNE AV 1.00 ","3,700.00",NA,"18","Street Speed Hump Menu",2012,3700
"647","ON W 85TH ST FROM S CENTRAL PARK AV (3600 W) TO S 1.00 ","3,700.00",NA,"18","Street Speed Hump Menu",2012,3700
"648","ON W 85TH ST FROM S LAWNDALE AV (3700 W) TO S 1.00 ","3,700.00",NA,"18","Street Speed Hump Menu",2012,3700
"649","ON CALIFORNIA FROM W 84 ST (8381 S) TO W 85 ST (8461 S) ","72,000.00",NA,"18","Street Light Residential",2012,72000
"650","ON CALIFORNIA FROM W 83 ST (8300 S) TO W 84 ST (8381 S) ","72,000.00",NA,"18","Street Light Residential",2012,72000
"651","ON ARTESIAN FROM W 71 ST (7100 S) TO W 73 ST (7300 S) ","94,000.00",NA,"18","Street Light Residential",2012,94000
"652","ON CALIFORNIA FROM W 85 ST (8500 S) TO W 86 ST (8614 S) ","72,000.00",NA,"18","Street Light Residential",2012,72000
"653","ON CALIFORNIA FROM W 86 ST (8614 S) TO W 87 ST (8700 S) ","72,000.00",NA,"18","Street Light Residential",2012,72000
"654","8227 S ARTESIAN AVE ","350.00",NA,"18","Street Light Upgrade",2012,350
"655","ON W 111TH ST FROM S LAWNDALE AV (3700 W) TO S 0.00 ","4,335.00",NA,"19","Sidewalk Menu",2012,4335
"656","ON W EDMAIRE ST FROM S HALE AV (2006 W) TO S 0.50 ","48,882.00",NA,"19","Street Resurfacing Menu",2012,48882
"657","ON S DAMEN AVE FROM W 90 ST (9000 S) TO W 91 ST (9100 S) 1.00 ","57,253.00",NA,"19","Street Resurfacing Menu",2012,57253
"658","ON S LEAVITT ST FROM W 93 ST (9300 S) TO W 94 ST (9400 S) 1.00 ","54,391.00",NA,"19","Street Resurfacing Menu",2012,54391
"659","ON S BELL AVE FROM W 101 ST (10100 S) TO W 102 ST (10200 1.00 ","42,172.00",NA,"19","Street Resurfacing Menu",2012,42172
"660","ON S WINCHESTER AVE FROM W 97 ST (9700 S) TO W 98 ST 1.00 ","58,110.00",NA,"19","Street Resurfacing Menu",2012,58110
"661","ON S AVERS AVE FROM W 103 ST (10300 S) TO Dead End 0.50 ","31,017.00",NA,"19","Street Resurfacing Menu",2012,31017
"662","ON W 93RD ST FROM S DAMEN AV (2010 W) TO S HAMILTON 1.00 ","82,536.00",NA,"19","Street Resurfacing Menu",2012,82536
"663","ON W 113TH PL FROM S BELL AV (2223 W) TO S OAKLEY AV 0.50 ","49,436.00",NA,"19","Street Resurfacing Menu",2012,49436
"664","ON S MAPLEWOOD AVE FROM W 116 ST (11600 S) TO W 117 2.00 ","84,454.00",NA,"19","Street Resurfacing Menu",2012,84454
"665","ON W 102ND PL FROM S PROSPECT AV (1560 W) TO S 0.50 ","52,250.00",NA,"19","Street Resurfacing Menu",2012,52250
"666","ON S BELL AVE FROM W 117 PL (11717 S) TO W 118 ST (11755 1.00 ","32,535.00",NA,"19","Street Resurfacing Menu",2012,32535
"667","ON S BELL AVE FROM W 102 ST (10200 S) TO W 103 ST (10300 1.00 ","39,466.00",NA,"19","Street Resurfacing Menu",2012,39466
"668","ON S CLAREMONT AVE FROM W 100 ST (10000 S) TO W 101 1.00 ","54,654.00",NA,"19","Street Resurfacing Menu",2012,54654
"669","ON S CHURCH ST FROM W 104 ST (10400 S) TO W 105 ST 1.00 ","50,827.00",NA,"19","Street Resurfacing Menu",2012,50827
"670","ON W 103RD ST FROM S TALMAN AV (2632 W) TO S TALMAN 0.50 ","26,568.00",NA,"19","Street Resurfacing Menu",2012,26568
"671","ON S WHIPPLE ST FROM W 107 ST (10700 S) TO W 108 ST 1.00 ","67,046.00",NA,"19","Street Resurfacing Menu",2012,67046
"672","ON S LONGWOOD DR FROM W 103 ST (10300 S) TO W 105 ST 1.00 ","92,017.00",NA,"19","Street Resurfacing Menu",2012,92017
"673","ON W MONTVALE AVE FROM S HERMOSA AV (1872 W) TO S 1.00 ","46,567.00",NA,"19","Street Resurfacing Menu",2012,46567
"674","ON W 101ST ST FROM S WOOD ST (1800 W) TO S WALDEN 0.50 ","18,114.00",NA,"19","Street Resurfacing Menu",2012,18114
"675","ON S CENTRAL PARK AVE FROM W 111 ST (11100 S) TO W 1.00 ","66,758.00",NA,"19","Street Resurfacing Menu",2012,66758
"676","ON S HOYNE AVE FROM W 96 ST (9600 S) TO W 98 ST (9800 S) 2.00 ","71,512.00",NA,"19","Street Resurfacing Menu",2012,71512
"677","ON S LEAVITT ST FROM W 99 ST (9900 S) TO W 101 ST (10100 2.00 ","72,748.00",NA,"19","Street Resurfacing Menu",2012,72748
"678","ON S TROY ST FROM W 106 ST (10600 S) TO W 107 ST (10700 1.00 ","42,676.00",NA,"19","Street Resurfacing Menu",2012,42676
"679","ON W 110TH ST FROM S HOYNE AV (2107 W) TO S BELL AV 1.00 ","39,555.00",NA,"19","Street Resurfacing Menu",2012,39555
"680","ON W 115TH ST FROM S LONGWOOD DR (2111 W) TO S 2.00 ","3,700.00",NA,"19","Street Speed Hump Menu",2012,3700
"681","ON W 105TH ST FROM S TALMAN AVE (2650 W) TO S 1.00 ","1,850.00",NA,"19","Street Speed Hump Menu",2012,1850
"682","2551 W 110TH PL ","350.00",NA,"19","Street Light Upgrade",2012,350
"683","10420 S LEAVITT ST ","350.00",NA,"19","Street Light Upgrade",2012,350
"684","Edna White Garden ","20,000.00",NA,"19","Miscellaneous Other",2012,20000
"685","Tree planting -2037 W. 108th Pl ","515.00",NA,"19","Miscellaneous Other",2012,515
"686","E 63RD ST & E 64TH ST & S UNIVERSITY AVE & S 0.00 ","28,027.00",NA,"20","Alley Resurfacing Menu",2012,28027
"687","S NORMAL AVE & S PARNELL AVE & W 64TH ST & W 65TH 1.00 ","1,400.00",NA,"20","Alley Speed Hump Menu",2012,1400
"688","S PEORIA ST & W 50TH PL&S MORGAN ST & W 51ST ST 1.00 ","1,400.00",NA,"20","Alley Speed Hump Menu",2012,1400
"689","ON E 61ST ST FROM S ST LAWRENCE AV (600 E) TO S 0.00 ","8,192.00",NA,"20","Curb & Gutter Menu",2012,8192
"690","ON 62 FROM S EBERHART AV (500 E) TO S CHAMPLAIN AV ","193.00",NA,"20","Miscellaneous Other",2012,193
"691","ON S JUSTINE ST FROM W 49 ST (4900 S) TO W 50 ST (5000 S) 0.00 ","53,357.00",NA,"20","Sidewalk Menu",2012,53357
"692","ON E 63RD ST FROM S UNIVERSITY AV (1138 E) TO S 0.00 ","51,326.00",NA,"20","Sidewalk Menu",2012,51326
"693","ON S WOODLAWN AVE FROM E 61 ST (6100 S) TO E 62 ST 0.00 ","40,858.00",NA,"20","Sidewalk Menu",2012,40858
"694","ON S LAFLIN ST FROM W 47 ST (4700 S) TO W 49 ST (4900 S) 0.00 ","83,232.00",NA,"20","Sidewalk Menu",2012,83232
"695","ON S CALUMET AVE FROM E 59 ST (5900 S) TO E 60 ST (6000 0.00 ","67,716.00",NA,"20","Sidewalk Menu",2012,67716
"696","ON E 65TH ST FROM S WOODLAWN AV (1200 E) TO S 0.00 ","13,734.00",NA,"20","Sidewalk Menu",2012,13734
"697","ON E 68TH ST FROM S ST LAWRENCE AV (600 E) TO S ST 0.00 ","7,855.00",NA,"20","Sidewalk Menu",2012,7855
"698","ON CALUMET FROM E 58 ST (5800 S) TO E 59 ST (5900 S) 0.00 ","5,018.00",NA,"20","Sidewalk Menu",2012,5018
"699","ON 63 FROM S UNIVERSITY AV (1122 E) TO S WOODLAWN 0.00 ","3,978.00",NA,"20","Sidewalk Menu",2012,3978
"700","ON LAFLIN FROM W 87 ST (8700 S) TO W 89 (S) ST(8908 S) 0.00 ","3,794.00",NA,"20","Sidewalk Menu",2012,3794
"701","ON S NORMAL BLVD FROM W 60 ST (6000 S) TO W 61 ST 0.00 ","39,458.00",NA,"20","Sidewalk Menu",2012,39458
"702","ON E 65TH ST FROM S CHAMPLAIN AV (634 E) TO S ST 0.00 ","10,877.00",NA,"20","Sidewalk Menu",2012,10877
"703","ON S BLACKSTONE AVE FROM E 61 ST (6100 S) TO E 61 PL 0.00 ","7,275.00",NA,"20","Sidewalk Menu",2012,7275
"704","ON S WOODLAWN AVE FROM E 62 ST (6200 S) TO E 63 ST 0.00 ","57,784.00",NA,"20","Sidewalk Menu",2012,57784
"705","ON S HERMITAGE AVE FROM W 48 ST (4800 S) TO W 49 ST 0.00 ","19,247.00",NA,"20","Sidewalk Menu",2012,19247
"706","ON WOODLAWN FROM E 61 ST (6100 S) TO E 62 ST (6200 S) 0.00 ","4,240.00",NA,"20","Sidewalk Menu",2012,4240
"707","ON S CALUMET AVE FROM E 58 ST (5800 S) TO E 59 ST (5900 0.00 ","62,538.00",NA,"20","Sidewalk Menu",2012,62538
"708","ON S RHODES AVE FROM E MARQUETTE RD (6600 S) TO E 67 0.00 ","31,239.00",NA,"20","Sidewalk Menu",2012,31239
"709","ON DORCHESTER FROM E 64 ST (6400 S) TO E 65 ST (6500 S) 0.00 ","13,065.00",NA,"20","Sidewalk Menu",2012,13065
"710","ON S EBERHART AVE FROM E 60 ST (6000 S) TO E 61 ST (6100 1.00 ","36,786.00",NA,"20","Street Resurfacing Menu",2012,36786
"711","ON S LANGLEY AVE FROM E 62 ST (6200 S) TO E 63 ST (6300 1.00 ","49,310.00",NA,"20","Street Resurfacing Menu",2012,49310
"712","ON E 66TH ST FROM S WABASH AV (38 E) TO S INDIANA AV 3.00 ","50,810.00",NA,"20","Street Resurfacing Menu",2012,50810
"713","ON W 56TH ST FROM S HALSTED ST (800 W) TO S GREEN ST 0.50 ","37,803.00",NA,"20","Street Resurfacing Menu",2012,37803
"714","ON S RHODES AVE FROM E MARQUETTE RD (6600 S) TO E 67 1.00 ","54,107.00",NA,"20","Street Resurfacing Menu",2012,54107
"715","ON S PRAIRIE AVE FROM Dead End (6675 S) TO E 1.00 ","24,464.00",NA,"20","Street Resurfacing Menu",2012,24464
"716","ON W 61ST ST FROM S PRINCETON AV (300 W) TO S 1.00 ","47,794.00",NA,"20","Street Resurfacing Menu",2012,47794
"717","ON E 64TH ST FROM S KENWOOD AV (1320 E) TO S 0.00 ","49,015.00",NA,"20","Street Resurfacing Menu",2012,49015
"718","ON S SANGAMON ST FROM W 52 ST (5200 S) TO W 53 ST (5301 1.00 ","71,666.00",NA,"20","Street Resurfacing Menu",2012,71666
"719","ON S DORCHESTER AVE FROM E 64 ST (6400 S) TO E 65 ST 1.00 ","51,920.00",NA,"20","Street Resurfacing Menu",2012,51920
"720","ON E 65TH ST FROM DR. MARTIN LUTHER KING JR. DR (400 1.00 ","16,190.00",NA,"20","Street Resurfacing Menu",2012,16190
"721","ON W 57TH PL FROM S STATE ST (0 E) TO S PERRY AV (100 2.00 ","36,652.00",NA,"20","Street Resurfacing Menu",2012,36652
"722","ON S PERRY AVE FROM W 57 PL (5738 S) TO W 59 ST (5900 S) 1.00 ","56,424.00",NA,"20","Street Resurfacing Menu",2012,56424
"723","ON S EVANS AVE FROM E 64 ST (6400 S) TO E 65 ST (6500 S) 1.00 ","3,700.00",NA,"20","Street Speed Hump Menu",2012,3700
"724","ON W 65TH ST FROM S NORMAL BV (500 W) TO S PARNELL 1.00 ","1,850.00",NA,"20","Street Speed Hump Menu",2012,1850
"725","ON S MARSHFIELD AVE FROM W 47 ST (4700 S) TO W 48 ST 1.00 ","2,844.00",NA,"20","Street Speed Hump Menu",2012,2844
"726","ON E 62ND ST FROM DR. MARTIN LUTHER KING JR. DR (400 1.00 ","14,800.00",NA,"20","Street Speed Hump Menu",2012,14800
"727","ON S RHODES AVE FROM E 63 ST (6300 S) TO E 64 ST (6400 S) 1.00 ","3,700.00",NA,"20","Street Speed Hump Menu",2012,3700
