"","program","description","costA","ward","year","cost","costB"
"1","Alley Resurfacing Menu (1-1) ","W CHICAGO AVE & N BISHOP ST&W FRY ST & N GREENVIEW AVE","$12,838.14","1",2017,12838.14,NA
"2","Alley Speed Hump Menu (2018)","& N FRANCISCO AVE","$2,800.00","1",2017,2800,NA
"3","Arterial Street Bump Outs Menu ","N DAMEN AVE & W PIERCE AVE:N DAMEN AVE & W LE MOYNE ST","$120,000.00","1",2017,120000,NA
"4","Concrete Alley Menu ","ROCKWELL ST","$264,000.00","1",2017,264000,NA
"5","Concrete Alley Menu ","2828 W BLOOMINGDALE AVE","$120,000.00","1",2017,120000,NA
"6","Curb & Gutter Menu ","1657 W ERIE ST","$18,546.48","1",2017,18546.48,NA
"7","Curb & Gutter Menu ","W WABANSIA AVE & N CALIFORNIA AVE","$14,360.21","1",2017,14360.21,NA
"8","Street Light Residential Staggered Piggy Back","N CALIFORNIA AVE & W SHAKESPEARE AVE","$600.00","1",2017,600,NA
"9","Street Light Residential Staggered Piggy Back","N CALIFORNIA AVE & W ALTGELD ST","$600.00","1",2017,600,NA
"10","Street Light Residential Staggered Piggy Back","N CALIFORNIA AVE & W PALMER ST","$350.00","1",2017,350,NA
"11","Street Light Residential Staggered Piggy Back","W MEDILL AVE & N MILWAUKEE AVE","$350.00","1",2017,350,NA
"12","Street Light Residential Staggered Piggy Back","N MILWAUKEE AVE & N HONORE ST","$600.00","1",2017,600,NA
"13","Street Light Residential Staggered Piggy Back","N DAMEN AVE & W HURON ST","$600.00","1",2017,600,NA
"14","Street Light Residential Staggered Piggy Back","N DAMEN AVE & W EVERGREEN AVE","$600.00","1",2017,600,NA
"15","Street Light Residential Staggered Piggy Back","N DAMEN AVE & W LE MOYNE ST","$600.00","1",2017,600,NA
"16","Street Light Residential Staggered Piggy Back","N HOYNE AVE & W DIVISION ST","$350.00","1",2017,350,NA
"17","Street Light Residential Staggered Piggy Back","W DIVISION ST & N PAULINA ST","$350.00","1",2017,350,NA
"18","Street Light Residential Staggered Piggy Back","N PAULINA ST & W AUGUSTA BLVD","$350.00","1",2017,350,NA
"19","Street Light Residential Staggered Piggy Back","N CALIFORNIA AVE & W ALTGELD ST","$600.00","1",2017,600,NA
"20","Street Light Residential Staggered Piggy Back","N DAMEN AVE & W HURON ST","$600.00","1",2017,600,NA
"21","Street Light Residential Staggered Piggy Back","N CALIFORNIA AVE & W SHAKESPEARE AVE","$600.00","1",2017,600,NA
"22","Street Light Residential Staggered Piggy Back","W DIVISION ST & N PAULINA ST","$350.00","1",2017,350,NA
"23","Street Light Residential Staggered Piggy Back","W DIVISION ST & N WOLCOTT AVE","$600.00","1",2017,600,NA
"24","Street Light Residential Staggered Piggy Back","W MEDILL AVE & N MILWAUKEE AVE","$350.00","1",2017,350,NA
"25","LaSalle II School Playground Drinking Fountain","1148 N HONORE ST","$9,300.00","1",2017,9300,NA
"26","Miscellaneous CDOT Projects ","CALIFORNIA AVE (2800 W)","$634.00","1",2017,634,NA
"27","50/50 Neighborhood Arts Program","$20,000.00","$20,000.00","1",2017,20000,NA
"28","Neighborhood Infrastructure - Housing","$37,711.00","$37,711.00","1",2017,37711,NA
"29","Pedestrian Countdown Signal Menu ","W NORTH AVE & N DAMEN AVE","$50,888.00","1",2017,50888,NA
"30","Street Resurfacing Menu (1-5) ","(2100 W)","$72,193.56","1",2017,72193.56,NA
"31","Street Resurfacing Menu (1-5) ","ON N WOOD ST FROM W BEACH AVE (1420 N) TO W JULIAN ST (1440 N)","$19,187.76","1",2017,19187.76,NA
"32","Street Resurfacing Menu (1-5) ","ON W OHIO ST FROM N ELIZABETH ST (1300 W) TO N ADA ST (1340 W)","$36,449.95","1",2017,36449.95,NA
"33","Street Resurfacing Menu (1-5) ","ST (1500 N)","$46,933.25","1",2017,46933.25,NA
"34","Street Resurfacing Menu (1-5) ","BLOOMINGDALE AVE (1800 N)","$53,811.51","1",2017,53811.51,NA
"35","Street Resurfacing Menu ","AVE (1300 N)","$53,575.20","1",2017,53575.2,NA
"36","Street Resurfacing Menu ","(2620 N)","$51,624.11","1",2017,51624.11,NA
"37","Street Resurfacing Menu ","(1900 W)","$1,179.12","1",2017,1179.12,NA
"38","Street Resurfacing Menu ","AVE (2700 W)","$25,443.16","1",2017,25443.16,NA
"39","Street Resurfacing Menu ","(1600 W)","$38,142.62","1",2017,38142.62,NA
"40","Street Resurfacing Menu ","(2100 W)","$47,744.13","1",2017,47744.13,NA
"41","Street Resurfacing Menu ","N)","$26,338.63","1",2017,26338.63,NA
"42","Street Resurfacing Menu ","(2840 W)","$25,183.69","1",2017,25183.69,NA
"43","Street Resurfacing Menu ","CORTLAND ST (1900 N)","$49,102.24","1",2017,49102.24,NA
"44","Street Resurfacing Menu (2018)","ST (1500 N)","$22,163.23","1",2017,22163.23,NA
"45","Street Speed Hump Menu ","BLOOMINGDALE AVE (1800 N)","$3,700.00","1",2017,3700,NA
"46","Street Speed Hump Menu ","(1900 W)","$3,700.00","1",2017,3700,NA
