"","program","description","costA","ward","year","cost","costB"
"1","Alley Resurfacing Menu (1-1) ","$26,096.08","$26,096.08","1",2019,26096.08,NA
"2","Alley Resurfacing Menu (1-1) ","W OHIO ST & N DAMEN AVE&W RACE AVE & N WOLCOTT AVE","$17,652.50","1",2019,17652.5,NA
"3","Alley Resurfacing Menu ","$42,062.50","$42,062.50","1",2019,42062.5,NA
"4","Alley Resurfacing Menu ","$49,754.75","$49,754.75","1",2019,49754.75,NA
"5","Alley Resurfacing Menu ","2726 W CHANAY ST; W CHANAY ST & N POINT ST","$11,142.29","1",2019,11142.29,NA
"6","Alley Resurfacing Menu ","2727 W CHANAY ST; W JULIA CT & N STAVE ST&N STAVE ST & W ST HELEN ST","$17,897.62","1",2019,17897.62,NA
"7","Alley Resurfacing Menu ","$52,544.93","$52,544.93","1",2019,52544.93,NA
"8","Alley Resurfacing Menu ","$57,355.82","$57,355.82","1",2019,57355.82,NA
"9","Alley Resurfacing Menu ","N ROCKWELL ST & W CORTLAND ST&N TALMAN AVE & W BLOOMINGDALE AVE","$70,987.02","1",2019,70987.02,NA
"10","Alley Resurfacing Menu ","N WHIPPLE ST & W BLOOMINGDALE AVE&N HUMBOLDT BLVD W & W CORTLAND ST","$30,312.28","1",2019,30312.28,NA
"11","Alley Resurfacing Menu ","$54,835.03","$54,835.03","1",2019,54835.03,NA
"12","In-Road State Law Stop For Pedestrians Signs","N CALIFORNIA AVE & W ALTGELD ST","$600.00","1",2019,600,NA
"13","In-Road State Law Stop For Pedestrians Signs","N CALIFORNIA AVE & W PALMER ST","$350.00","1",2019,350,NA
"14","In-Road State Law Stop For Pedestrians Signs","N CALIFORNIA AVE & W SHAKESPEARE AVE","$350.00","1",2019,350,NA
"15","In-Road State Law Stop For Pedestrians Signs","N DAMEN AVE & W EVERGREEN AVE","$600.00","1",2019,600,NA
"16","In-Road State Law Stop For Pedestrians Signs","N DAMEN AVE & W HURON ST","$600.00","1",2019,600,NA
"17","In-Road State Law Stop For Pedestrians Signs","N DAMEN AVE & W LE MOYNE ST","$1,200.00","1",2019,1200,NA
"18","In-Road State Law Stop For Pedestrians Signs","N MILWAUKEE AVE & N HONORE ST","$700.00","1",2019,700,NA
"19","In-Road State Law Stop For Pedestrians Signs","N MILWAUKEE AVE & N WASHTENAW AVE","$350.00","1",2019,350,NA
"20","In-Road State Law Stop For Pedestrians Signs","N MILWAUKEE AVE & W MEDILL AVE","$350.00","1",2019,350,NA
"21","In-Road State Law Stop For Pedestrians Signs","W AUGUSTA BLVD & N PAULINA ST","$350.00","1",2019,350,NA
"22","In-Road State Law Stop For Pedestrians Signs","W DIVISION ST & N HOYNE AVE","$350.00","1",2019,350,NA
"23","In-Road State Law Stop For Pedestrians Signs","W DIVISION ST & N PAULINA ST","$350.00","1",2019,350,NA
"24","In-Road State Law Stop For Pedestrians Signs","W DIVISION ST & N WOLCOTT AVE","$350.00","1",2019,350,NA
"25","LPR Reader: 1899 N MOZART","1900 N MOZART ST","$30,431.35","1",2019,30431.35,NA
"26","In-Road State Law Stop For Pedestrians Signs","1640 N MAPLEWOOD AVE","$250,000.00","1",2019,250000,NA
"27","POD Camera Relocation to 2536 W Cortland","2536 W CORTLAND ST","$1,800.00","1",2019,1800,NA
"28","POD Relocation: 2701 W Francis Pl","2701 W FRANCIS PL","$1,800.00","1",2019,1800,NA
"29","Sidewalk Menu ","1027 N HERMITAGE AVE","$2,702.48","1",2019,2702.48,NA
"30","Sidewalk Menu ","1220 N DAMEN AVE","$1,430.77","1",2019,1430.77,NA
"31","Sidewalk Menu ","1264 N WOOD ST","$2,097.82","1",2019,2097.82,NA
"32","Sidewalk Menu ","1289 N MILWAUKEE AVE","$22,454.92","1",2019,22454.92,NA
"33","Sidewalk Menu ","1332 N WOLCOTT AVE","$1,194.74","1",2019,1194.74,NA
"34","Sidewalk Menu ","1378 W GRAND AVE","$12,964.67","1",2019,12964.67,NA
"35","Sidewalk Menu ","1457 W ERIE ST","$4,700.85","1",2019,4700.85,NA
"36","Sidewalk Menu ","1528-1531 N TALMAN AVE","$3,817.67","1",2019,3817.67,NA
"37","Sidewalk Menu ","1539-1541 W WALTON ST","$3,931.72","1",2019,3931.72,NA
"38","Sidewalk Menu ","1542 N CAMPBELL AVE","$10,482.66","1",2019,10482.66,NA
"39","Sidewalk Menu ","1709 N FRANCISCO AVE","$7,245.00","1",2019,7245,NA
"40","Sidewalk Menu ","1829 W ELLEN ST","$1,640.28","1",2019,1640.28,NA
"41","Sidewalk Menu ","1832 N WASHTENAW AVE","$1,387.01","1",2019,1387.01,NA
"42","Sidewalk Menu ","1859 W CHICAGO AVE","$6,874.11","1",2019,6874.11,NA
"43","Sidewalk Menu ","1935 W HURON ST","$1,737.08","1",2019,1737.08,NA
"44","Sidewalk Menu ","2009 W SCHILLER ST","$67,158.00","1",2019,67158,NA
