"","program","description","costA","ward","year","cost","costB"
"1","Alley Resurfacing Menu ","W SUPERIOR ST & N PAULINA ST&N WOOD ST & W HURON ST; 1757 W SUPERIOR ST","$38,716.00","1",2023,38716,NA
"2","Arterial Street Bump Outs Menu ","N ASHLAND AVE & W HURON ST","$150,000.00","1",2023,150000,NA
"3","Arterial Street Bump Outs Menu ","N ASHLAND AVE & W OHIO ST","$100,000.00","1",2023,100000,NA
"4","Bike Lane/Marked Shared Lane Menu ","ON N PAULINA ST FROM W GRAND AVE (500 N) TO W AUGUSTA BLVD (1000 N)","$100,000.00","1",2023,100000,NA
"5","Concrete Alley Menu ","W ARMITAGE AVE & N WHIPPLE ST&N ALBANY AVE & W CORTLAND ST","$43,441.95","1",2023,43441.95,NA
"6","Curb & Gutter Menu ","W BELDEN AVE & N TALMAN AVE","$94,353.88","1",2023,94353.88,NA
"7","Logan Square Skate Park Renovation (Haas Park)","2402 N WASHTENAW AVE","$100,000.00","1",2023,100000,NA
"8","Miscellaneous CDOT Projects ","1900 W OHIO ST","$660.00","1",2023,660,NA
"9","Miscellaneous CDOT Projects ","1958 W DIVISION ST","$660.00","1",2023,660,NA
"10","Miscellaneous CDOT Projects ","827 N WOOD ST","$761.00","1",2023,761,NA
"11","Pavement Markings Menu ","ON N ASHLAND AVE FROM W GRAND AVE (500 N) TO W CHICAGO AVE (800 N)","$8,000.00","1",2023,8000,NA
"12","Pavement Markings Menu ","W FULLERTON AVE & N CAMPBELL AVE","$10,000.00","1",2023,10000,NA
"13","Pavement Markings Menu ","W FULLERTON AVE & N TALMAN AVE","$50,000.00","1",2023,50000,NA
"14","Pedestrian Refuge Island Menu ","N WESTERN AVE & W CHARLESTON ST","$28,149.75","1",2023,28149.75,NA
"15","Protected Bike Lane Menu ","ON N CALIFORNIA AVE FROM W BLOOMINGDALE AVE (1800 N) TO W LOGAN BLVD N (2600 N)","$375,000.00","1",2023,375000,NA
"16","Sidewalk Menu ","1056 N PAULINA ST","$5,062.01","1",2023,5062.01,NA
"17","Sidewalk Menu ","2221 W SUPERIOR ST","$7,034.99","1",2023,7034.99,NA
"18","Sidewalk Menu ","N CALIFORNIA AVE & W NORTH AVE","$8,165.46","1",2023,8165.46,NA
"19","Street Bump Outs Menu ","1310-1314 N OAKLEY BLVD","$10,535.38","1",2023,10535.38,NA
"20","Street Bump Outs Menu ","1700 W LE MOYNE ST; W LE MOYNE ST & N PAULINA ST","$20,933.39","1",2023,20933.39,NA
"21","Street Bump Outs Menu ","W CRYSTAL ST & N WOOD ST","$29,913.24","1",2023,29913.24,NA
