"","program","description","costA","ward","year","cost","costB"
"22","Street Bump Outs Menu ","W LE MOYNE ST & N WOOD ST","$14,871.92","1",2023,14871.92,NA
"23","Street Bump Outs Menu ","W PIERCE AVE & N PAULINA ST; 1700 W PIERCE AVE","$21,337.03","1",2023,21337.03,NA
"24","Street Bump Outs Menu ","W POTOMAC AVE & N WOOD ST","$30,232.73","1",2023,30232.73,NA
"25","Street Resurfacing Menu ","ON N HERMITAGE AVE FROM W GRAND AVE (500 N) TO W OHIO ST (600 N)","$10,748.74","1",2023,10748.74,NA
"26","Street Resurfacing Menu ","ON N WICKER PARK AVE FROM W EVERGREEN AVE (1400 N) TO N DAMEN AVE (1550 N)","$95,717.96","1",2023,95717.96,NA
"27","Street Resurfacing Menu ","ON W SCHILLER ST FROM N WICKER PARK AVE (1900 W) TO N DAMEN AVE (2000 W)","$84,704.56","1",2023,84704.56,NA
"28","Street Speed Hump Menu ","1370 N DEAN ST","$2,440.00","1",2023,2440,NA
"29","Street Speed Hump Menu ","ON N ARTESIAN AVE FROM W ALTGELD ST (2500 N) TO W LOGAN BLVD S (2600 N)","$2,440.00","1",2023,2440,NA
"30","Street Speed Hump Menu ","ON N CAMPBELL AVE FROM W LE MOYNE ST (1500 N) TO W NORTH AVE (1600 N)","$4,880.00","1",2023,4880,NA
"31","Street Speed Hump Menu ","ON N MAPLEWOOD AVE FROM W ALTGELD ST (2500 N) TO N AVONDALE AVE (2610 N)","$4,880.00","1",2023,4880,NA
"32","Street Speed Hump Menu ","ON N MAPLEWOOD AVE FROM W BELDEN AVE (2300 N) TO W ALTGELD ST (2500 N)","$4,880.00","1",2023,4880,NA
"33","Street Speed Hump Menu ","ON N RICHMOND ST FROM W CORTLAND ST (1900 N) TO W ARMITAGE AVE (2000 N)","$4,880.00","1",2023,4880,NA
"34","Street Speed Hump Menu ","ON N SAWYER AVE FROM W CORTLAND ST (1900 N) TO W ARMITAGE AVE (2000 N)","$4,880.00","1",2023,4880,NA
"35","Street Speed Hump Menu ","ON N WICKER PARK AVE FROM N WOOD ST (1320 N) TO N WOLCOTT AVE (1370 N)","$4,880.00","1",2023,4880,NA
"36","Street Speed Hump Menu ","ON W HADDON AVE FROM N HOYNE AVE (2100 W) TO N LEAVITT ST (2200 W)","$4,880.00","1",2023,4880,NA
"37","Street Speed Hump Menu ","ON W HURON ST FROM N NOBLE ST (1400 W) TO N ASHLAND AVE (1600 W)","$7,320.00","1",2023,7320,NA
"38","Street Speed Hump Menu ","ON W PEARSON ST FROM N ASHLAND AVE (1600 W) TO N WOOD ST (1800 W)","$9,760.00","1",2023,9760,NA
"39","Street Speed Hump Menu ","ON W POTOMAC AVE FROM N LEAVITT ST (2200 W) TO N OAKLEY BLVD (2300 W)","$2,440.00","1",2023,2440,NA
"40","Street Speed Hump Menu ","ON W SCHUBERT AVE FROM N FRANCISCO AVE (2900 W) TO N SACRAMENTO AVE (3000 W)","$2,440.00","1",2023,2440,NA
"41","Concrete Alley Menu ","N LARRABEE ST & W NORTH AVE&W BLACKHAWK ST & N MOHAWK ST","$318,000.00","2",2023,318000,NA
"42","Sidewalk Menu ","1030 N CLARK ST","$38,759.53","2",2023,38759.53,NA
"43","Sidewalk Menu ","121 W GOETHE ST","$12,220.67","2",2023,12220.67,NA
"44","Sidewalk Menu ","1259 W WEBSTER AVE","$6,526.86","2",2023,6526.86,NA
"45","Sidewalk Menu ","1636 N WELLS ST","$4,605.21","2",2023,4605.21,NA
"46","Sidewalk Menu ","808 N LAKE SHORE DR","$49,185.73","2",2023,49185.73,NA
"47","Street Bump Outs Menu ","W BELDEN AVE & N CLIFTON AVE; W BELDEN AVE & N RACINE AVE","$64,000.00","2",2023,64000,NA
"48","Street Resurfacing Menu ","ON E SUPERIOR ST FROM N MICHIGAN AVE (140 E) TO N LAKE SHORE DR (500 E)","$182,535.41","2",2023,182535.41,NA
"49","Street Resurfacing Menu ","ON N DEWITT PL FROM E PEARSON ST (830 N) TO E DELAWARE PL (900 N)","$43,408.43","2",2023,43408.43,NA
"50","Street Resurfacing Menu ","ON N FRANKLIN ST FROM W INSTITUTE PL (830 N) TO W CHESTNUT ST (860 N)","$27,270.72","2",2023,27270.72,NA
"51","Street Resurfacing Menu ","ON N LAKE SHORE DR FROM E OAK ST (150 E) TO E CEDAR ST (1100 N)","$33,602.68","2",2023,33602.68,NA
"52","Street Resurfacing Menu ","ON N MIES VAN DER ROHE WAY FROM E PEARSON ST (830 N) TO E WALTON PL (930 N)","$62,414.72","2",2023,62414.72,NA
"53","Street Resurfacing Menu ","ON N SEDGWICK ST FROM W CHICAGO AVE (800 N) TO W LOCUST ST (900 N)","$43,393.13","2",2023,43393.13,NA
"54","Street Resurfacing Menu ","ON N WIELAND ST FROM W SCHILLER ST (1400 N) TO W NORTH AVE (1600 N)","$99,331.29","2",2023,99331.29,NA
"55","Street Resurfacing Menu ","ON W BURTON PL FROM N STATE PKWY (0 E) TO N DEARBORN ST (40 W)","$23,457.96","2",2023,23457.96,NA
"56","Street Resurfacing Menu ","ON W ELM ST FROM N STATE ST (1 E) TO N LA SALLE DR (150 W)","$108,613.16","2",2023,108613.16,NA
"57","Street Resurfacing Menu ","ON W GOETHE ST FROM N WELLS ST (200 W) TO N SEDGWICK ST (400 W)","$88,647.60","2",2023,88647.6,NA
"58","Street Resurfacing Menu ","ON W MAPLE ST FROM N DEARBORN ST (50 W) TO N CLARK ST (100 W)","$36,902.63","2",2023,36902.63,NA
"59","Street Resurfacing Menu ","ON W WEED ST FROM N HALSTED ST (800 W) TO N DAYTON ST (830 W)","$27,768.94","2",2023,27768.94,NA
"60","Street Resurfacing Menu ","ON W WENDELL ST FROM 160 W TO N WELLS ST (200 W)","$25,202.11","2",2023,25202.11,NA
"61","Street Speed Hump Menu ","ON N LAKEWOOD AVE FROM W BELDEN AVE (2300 N) TO W FULLERTON AVE (2400 N)","$2,440.00","2",2023,2440,NA
"62","Street Speed Hump Menu ","ON N MAGNOLIA AVE FROM W DICKENS AVE (2100 N) TO W WEBSTER AVE (2200 N)","$4,880.00","2",2023,4880,NA
"63","Alley Resurfacing Menu ","E 37TH ST & S INDIANA AVE&S GILES AVE & E 38TH ST; 3715 S INDIANA AVE","$30,746.00","3",2023,30746,NA
"64","Alley Resurfacing Menu ","E 45TH ST & S ST LAWRENCE AVE&S CHAMPLAIN AVE & E 46TH ST","$58,492.31","3",2023,58492.31,NA
"65","Alley Resurfacing Menu ","E 47TH ST & S ST LAWRENCE AVE&S FORRESTVILLE AVE & E 48TH ST","$40,648.44","3",2023,40648.44,NA
"66","Alley Resurfacing Menu ","E 48TH ST & S VINCENNES AVE&E 49TH ST & S FORRESTVILLE AVE","$41,200.00","3",2023,41200,NA
"67","Alley Resurfacing Menu ","S CALUMET AVE & E 40TH ST&E 41ST ST & S DR MARTIN LUTHER KING JR DR W","$30,746.00","3",2023,30746,NA
"68","Alley Resurfacing Menu ","S CALUMET AVE & E 41ST ST&E 42ND ST & S DR MARTIN LUTHER KING JR DR W","$30,807.80","3",2023,30807.8,NA
"69","Alley Resurfacing Menu ","S INDIANA AVE & E 33RD BLVD&E 35TH ST & S PRAIRIE AVE","$59,607.06","3",2023,59607.06,NA
"70","Alley Resurfacing Menu ","S MICHIGAN AVE & E 52ND ST&E 53RD ST & S INDIANA AVE","$30,320.53","3",2023,30320.53,NA
"71","Alley Resurfacing Menu ","S PRAIRIE AVE & E 40TH ST&E PERSHING RD & S CALUMET AVE","$66,286.55","3",2023,66286.55,NA
"72","Alley Resurfacing Menu ","S STATE ST & E 41ST ST&E 42ND ST & S WABASH AVE","$37,960.10","3",2023,37960.1,NA
"73","Alley Resurfacing Menu ","S VINCENNES AVE & E 43RD ST&E 44TH ST & S FORRESTVILLE AVE","$39,426.70","3",2023,39426.7,NA
"74","Alley Speed Hump Menu ","E 48TH PL & S VINCENNES AVE&S DR MARTIN LUTHER KING JR DR & E 48TH ST","$3,625.00","3",2023,3625,NA
"75","Alley Speed Hump Menu ","$1,450.00","$1,450.00","3",2023,1450,NA
"76","Curb & Gutter Menu ","529 E 44TH ST","$86,582.13","3",2023,86582.13,NA
"77","Miscellaneous CDOT Projects ","3950 S MICHIGAN AVE","$15,678.37","3",2023,15678.37,NA
"78","Miscellaneous CDOT Projects ","417 E 43RD ST","$300.00","3",2023,300,NA
"79","Miscellaneous CDOT Projects ","4236 S VINCENNES AVE","$150.00","3",2023,150,NA
"80","Miscellaneous CDOT Projects ","4257 S CALUMET AVE","$300.00","3",2023,300,NA
"81","Miscellaneous CDOT Projects ","4311 S VERNON AVE","$150.00","3",2023,150,NA
"82","Miscellaneous CDOT Projects ","4334 S DR MARTIN LUTHER KING JR DR W","$150.00","3",2023,150,NA
"83","Miscellaneous CDOT Projects ","437 E 42ND PL; 447 E 42ND PL","$300.00","3",2023,300,NA
"84","Miscellaneous CDOT Projects ","4423 S WELLS ST; 5036 S PRINCETON AVE","$300.00","3",2023,300,NA
"85","Miscellaneous CDOT Projects ","444 E 43RD ST","$150.00","3",2023,150,NA
"86","Miscellaneous CDOT Projects ","4451 S VINCENNES AVE","$300.00","3",2023,300,NA
"87","Miscellaneous CDOT Projects ","4702 S DR MARTIN LUTHER KING JR DR W","$300.00","3",2023,300,NA
"88","Miscellaneous CDOT Projects ","4731 S MICHIGAN AVE","$15,828.37","3",2023,15828.37,NA
"89","Miscellaneous CDOT Projects ","4909 S WABASH AVE","$150.00","3",2023,150,NA
"90","Miscellaneous CDOT Projects ","4933-4937 S MICHIGAN AVE","$150.00","3",2023,150,NA
"91","Miscellaneous CDOT Projects ","5403-5405 S WABASH AVE","$150.00","3",2023,150,NA
"92","Sidewalk Menu ","1932 S WABASH AVE","$24,909.09","3",2023,24909.09,NA
"93","Sidewalk Menu ","300 E 38TH ST","$12,036.37","3",2023,12036.37,NA
"94","Sidewalk Menu ","430 E 41ST ST","$3,571.90","3",2023,3571.9,NA
"95","Sidewalk Menu ","4533 S WABASH AVE","$10,568.75","3",2023,10568.75,NA
"96","Sidewalk Menu ","4641-4700 S VINCENNES AVE","$20,043.86","3",2023,20043.86,NA
"97","Sidewalk Menu ","4801 S WABASH AVE","$31,276.62","3",2023,31276.62,NA
"98","Sidewalk Menu ","4805 S WABASH AVE","$3,714.25","3",2023,3714.25,NA
"99","Sidewalk Menu ","4807 S WABASH AVE","$5,499.33","3",2023,5499.33,NA
"100","Sidewalk Menu ","4835 S DR MARTIN LUTHER KING JR DR E","$12,434.95","3",2023,12434.95,NA
"101","Sidewalk Menu ","4934 S MICHIGAN AVE","$37,686.88","3",2023,37686.88,NA
"102","Sidewalk Menu ","5000 S PRAIRIE AVE; 300 E 50TH ST; E 50TH ST & S PRAIRIE AVE","$19,957.68","3",2023,19957.68,NA
"103","Sidewalk Menu ","5018 S MICHIGAN AVE","$7,513.04","3",2023,7513.04,NA
"104","Sidewalk Menu ","ON S ST LAWRENCE AVE FROM E 45TH ST (4500 S) TO E 46TH ST (4600 S)","$17,793.38","3",2023,17793.38,NA
"105","Speed Indicator Signs ","$22,439.57","$22,439.57","3",2023,22439.57,NA
"106","Street Light Residential Staggered Piggy Back Menu ","$59,911.56","$59,911.56","3",2023,59911.56,NA
"107","Street Light Upgrade Menu ","2138 S INDIANA AVE","$500.00","3",2023,500,NA
"108","Street Light Upgrade Menu ","3400 S INDIANA AVE","$500.00","3",2023,500,NA
"109","Street Light Upgrade Menu ","3432 S GILES AVE","$500.00","3",2023,500,NA
"110","Street Light Upgrade Menu ","421 E 41ST ST","$500.00","3",2023,500,NA
"111","Street Light Upgrade Menu ","515 E PERSHING RD","$500.00","3",2023,500,NA
"112","Street Light Upgrade Menu ","521 E 41ST ST","$500.00","3",2023,500,NA
"113","Street Light Upgrade Menu ","ON S CALUMET AVE FROM E 46TH ST (4600 S) TO E 47TH ST (4700 S); 4628 S CALUMET AVE","$1,000.00","3",2023,1000,NA
"114","Street Resurfacing Menu ","ON E 36TH PL FROM S STATE ST (0 E) TO S MICHIGAN AVE (100 E)","$109,098.99","3",2023,109098.99,NA
"115","Street Resurfacing Menu ","ON E 54TH PL FROM S CALUMET AVE (340 E) TO S DR MARTIN LUTHER KING JR DR (400 E)","$23,033.42","3",2023,23033.42,NA
"116","Street Resurfacing Menu ","ON S PORTLAND AVE FROM W 45TH ST (4500 S) TO W 45TH PL (4530 S)","$36,421.55","3",2023,36421.55,NA
"117","Street Resurfacing Menu ","ON S PRAIRIE AVE FROM E 35TH ST (3500 S) TO E 37TH ST (3700 S)","$156,440.06","3",2023,156440.06,NA
"118","Street Resurfacing Menu ","ON S WABASH AVE FROM E 36TH ST (3600 S) TO E 36TH PL (3630 S)","$47,102.31","3",2023,47102.31,NA
"119","Street Resurfacing Menu ","ON S WABASH AVE FROM E 48TH ST (4800 S) TO E 49TH ST (4900 S)","$101,446.63","3",2023,101446.63,NA
"120","Street Resurfacing Menu ","ON W 15TH ST FROM S STATE ST (0 E) TO S DEARBORN ST (40 W)","$35,409.90","3",2023,35409.9,NA
"121","Alley Resurfacing Menu ","E 37TH ST & S ELLIS AVE&S LAKE PARK AVE & E 37TH ST","$13,857.71","4",2023,13857.71,NA
"122","Alley Resurfacing Menu ","E 41ST PL & S BERKELEY AVE&S LAKE PARK AVE & E 42ND PL","$46,626.52","4",2023,46626.52,NA
"123","Alley Resurfacing Menu ","E 42ND ST & S COTTAGE GROVE AVE&S DREXEL BLVD & E BOWEN AVE","$11,216.88","4",2023,11216.88,NA
"124","Alley Resurfacing Menu ","S EVANS AVE & E 46TH ST&E 47TH ST & S COTTAGE GROVE AVE","$7,725.97","4",2023,7725.97,NA
"125","Alley Resurfacing Menu ","S LANGLEY AVE & E 42ND ST&E BOWEN AVE & S ST LAWRENCE AVE","$34,513.54","4",2023,34513.54,NA
"126","Alley Resurfacing Menu ","S LANGLEY AVE & E 47TH ST&E 48TH ST & S CHAMPLAIN AVE","$59,866.22","4",2023,59866.22,NA
"127","Alley Speed Hump Menu ","E 43RD ST & S LAKE PARK AVE&S OAKENWALD AVE & E 44TH PL","$2,900.00","4",2023,2900,NA
"128","Alley Speed Hump Menu ","$725.00","$725.00","4",2023,725,NA
"129","Concrete Alley Menu ","716 E BOWEN AVE","$2,133.42","4",2023,2133.42,NA
"130","Curb & Gutter Menu ","1371 E 48TH ST","$48,904.95","4",2023,48904.95,NA
"131","Curb & Gutter Menu ","3137 S GILES AVE","$70,837.26","4",2023,70837.26,NA
"132","Curb & Gutter Menu ","3337 S PRAIRIE AVE","$42,332.49","4",2023,42332.49,NA
"133","Curb & Gutter Menu ","ON S PLYMOUTH CT FROM 1178 S TO W 9TH ST (900 S)","$83,537.87","4",2023,83537.87,NA
"134","Dog Friendly Area: 4954 S. St. Lawrence Ave","4954 S ST LAWRENCE AVE","$250,000.00","4",2023,250000,NA
"135","Kenwood Gardens 4131-4149 S. Drexel Blvd.","4131-4149 S DREXEL BLVD","$150,000.00","4",2023,150000,NA
"136","Miscellaneous CDOT Projects ","4043 S DREXEL BLVD","$150.00","4",2023,150,NA
"137","Miscellaneous CDOT Projects ","4232 S COTTAGE GROVE AVE","$150.00","4",2023,150,NA
"138","Miscellaneous CDOT Projects ","4621 S LAKE PARK AVE","$150.00","4",2023,150,NA
"139","Miscellaneous CDOT Projects ","4847 S LANGLEY AVE","$300.00","4",2023,300,NA
"140","Miscellaneous CDOT Projects ","E 49TH ST & S KENWOOD AVE","$28,770.36","4",2023,28770.36,NA
"141","Sidewalk Menu ","4406 S LAKE PARK AVE","$4,399.87","4",2023,4399.87,NA
"142","Sidewalk Menu ","4801 S KIMBARK AVE","$32,774.75","4",2023,32774.75,NA
"143","Sidewalk Menu ","5131 S BLACKSTONE AVE","$5,140.59","4",2023,5140.59,NA
"144","Sidewalk Menu ","715 E BOWEN AVE","$3,705.44","4",2023,3705.44,NA
"145","Sidewalk Menu ","820-882 S PARK TER","$118,944.55","4",2023,118944.55,NA
"146","Sidewalk Menu ","899 S PLYMOUTH CT","$17,057.00","4",2023,17057,NA
"147","Sidewalk Menu ","E 44TH ST & S ELLIS AVE","$24,278.43","4",2023,24278.43,NA
"148","Sidewalk Menu ","ON E 48TH ST FROM S WOODLAWN AVE (1200 E) TO S KIMBARK AVE (1300 E)","$20,989.92","4",2023,20989.92,NA
"149","Sidewalk Menu ","ON S CHAMPLAIN AVE FROM E 49TH ST (4900 S) TO E 50TH ST (5000 S)","$30,745.53","4",2023,30745.53,NA
"150","Street Bump Outs Menu ","4584 S OAKENWALD AVE","$3,051.76","4",2023,3051.76,NA
"151","Street Cul-de-Sac Menu ","4950 S GREENWOOD AVE; S GREENWOOD AVE & E HYDE PARK BLVD","$31,963.67","4",2023,31963.67,NA
"152","Street Light Upgrade Menu ","817 E 47TH PL","$500.00","4",2023,500,NA
"153","Street Resurfacing Menu ","ON E 38TH PL FROM S COTTAGE GROVE AVE (800 E) TO S ELLIS AVE (844 E)","$37,826.63","4",2023,37826.63,NA
"154","Street Resurfacing Menu ","ON E 9TH ST FROM S WABASH AVE (40 E) TO S MICHIGAN AVE (100 E)","$20,991.87","4",2023,20991.87,NA
"155","Street Resurfacing Menu ","ON S BERKELEY AVE FROM E 43RD ST (4300 S) TO E 44TH ST (4400 S)","$68,150.77","4",2023,68150.77,NA
"156","Street Resurfacing Menu ","ON S EVANS AVE FROM E 48TH ST (4800 S) TO E 49TH ST (4900 S)","$74,161.75","4",2023,74161.75,NA
"157","Street Resurfacing Menu ","ON S LANGLEY AVE FROM E 47TH ST (4700 S) TO E 48TH ST (4800 S)","$60,703.65","4",2023,60703.65,NA
"158","Street Resurfacing Menu ","ON S PLYMOUTH CT FROM 1178 S TO W 9TH ST (900 S)","$31,625.62","4",2023,31625.62,NA
"159","Street Speed Hump Menu ","ON E 45TH ST FROM S ELLIS AVE (1000 E) TO S WOODLAWN AVE (1200 E)","$9,760.00","4",2023,9760,NA
"160","Street Speed Hump Menu ","ON E 46TH ST FROM S WOODLAWN AVE (1200 E) TO S LAKE PARK AVE (1300 E)","$4,880.00","4",2023,4880,NA
"161","Street Speed Hump Menu ","ON E 50TH ST FROM S KIMBARK AVE (1300 E) TO S DORCHESTER AVE (1400 E)","$7,050.00","4",2023,7050,NA
"162","Street Speed Hump Menu ","ON S DORCHESTER AVE FROM E 52ND ST (5200 S) TO E 53RD ST (5300 S)","$2,440.00","4",2023,2440,NA
"163","Street Speed Hump Menu ","ON S ELLIS AVE FROM E 44TH ST (4400 S) TO E 45TH ST (4499 S)","$4,880.00","4",2023,4880,NA
"164","Street Speed Hump Menu ","ON S ELLIS AVE FROM E OAKWOOD BLVD (3946 S) TO E 43RD ST (4300 S)","$14,640.00","4",2023,14640,NA
"165","Street Speed Hump Menu ","ON S GREENWOOD AVE FROM E 45TH ST (4500 S) TO E 47TH ST (4700 S)","$9,760.00","4",2023,9760,NA
"166","Street Speed Hump Menu ","ON S KIMBARK AVE FROM E 49TH ST (4900 S) TO E 50TH ST (5000 S)","$4,880.00","4",2023,4880,NA
"167","Street Light Residential Staggered Piggy Back Menu ","ON E 69TH ST FROM 1758 E TO S CONSTANCE AVE (1830 E)","$168,000.00","5",2023,168000,NA
"168","Street Light Residential Staggered Piggy Back Menu ","66TH PL FROM S DORCHESTER AVE (1400 E) TO S BLACKSTONE AVE (1500 E); ON S","$47,913.00","5",2023,47913,NA
"169","Street Light Residential Staggered Piggy Back Menu ","ON S PAXTON AVE FROM E 67TH ST (6700 S) TO E 69TH ST (6900 S)","$338,000.00","5",2023,338000,NA
"170","Street Resurfacing Menu ","ON S BLACKSTONE AVE FROM E 57TH ST (5700 S) TO E 59TH ST (5900 S)","$140,573.29","5",2023,140573.29,NA
"171","Street Resurfacing Menu ","ON S BLACKSTONE AVE FROM E 63RD ST (6300 S) TO E 64TH ST (6400 S)","$47,157.05","5",2023,47157.05,NA
"172","Street Resurfacing Menu ","ON S CORNELL AVE FROM E 50TH PL (5040 S) TO E HYDE PARK BLVD (5100 S)","$26,202.03","5",2023,26202.03,NA
"173","Street Resurfacing Menu ","ON S DREXEL AVE FROM E 56TH ST (5600 S) TO E 58TH ST (5800 S)","$147,641.45","5",2023,147641.45,NA
"174","Street Resurfacing Menu ","ON S DREXEL AVE FROM E 60TH ST (6000 S) TO E 61ST ST (6100 S)","$74,462.06","5",2023,74462.06,NA
"175","Street Resurfacing Menu ","ON S ELLIS AVE FROM E 55TH ST (5499 S) TO E 57TH ST (5700 S)","$106,175.59","5",2023,106175.59,NA
"176","Street Resurfacing Menu ","ON S INGLESIDE AVE FROM E 52ND ST (5200 S) TO E 53RD ST (5300 S)","$43,862.96","5",2023,43862.96,NA
"177","Street Resurfacing Menu ","ON S PAXTON AVE FROM E 72ND ST (7200 S) TO E 73RD ST (7300 S)","$54,238.38","5",2023,54238.38,NA
"178","Street Resurfacing Menu ","ON S UNIVERSITY AVE FROM E 52ND ST (5200 S) TO E 55TH ST (5500 S)","$245,478.75","5",2023,245478.75,NA
"179","Street Resurfacing Menu ","ON S UNIVERSITY AVE FROM E 58TH ST (5800 S) TO E 59TH ST (5900 S)","$55,415.31","5",2023,55415.31,NA
"180","Street Speed Hump Menu ","ON S BLACKSTONE AVE FROM E 57TH ST (5700 S) TO E 58TH ST (5800 S)","$4,880.00","5",2023,4880,NA
"181","Alley Apron Menu ","$21,261.72","$21,261.72","6",2023,21261.72,NA
"182","Arterial Street Bump Outs Menu ","S CHAMPLAIN AVE & E 75TH ST; S CHAMPLAIN AVE & E 76TH ST","$224,000.00","6",2023,224000,NA
"183","Brown Memorial Park Skate Park Project","634 E 86TH ST","$100,000.00","6",2023,100000,NA
"184","Miscellaneous CDOT Projects ","201 E 75TH ST","$660.00","6",2023,660,NA
"185","Miscellaneous CDOT Projects ","501 E 78TH ST","$244.14","6",2023,244.14,NA
"186","Miscellaneous CDOT Projects ","58 W 79TH ST","$660.00","6",2023,660,NA
"187","Miscellaneous CDOT Projects ","659 E 75TH ST","$660.00","6",2023,660,NA
"188","Nat King Cole Park Walking Track","361 E 85TH ST","$25,000.00","6",2023,25000,NA
"189","Sidewalk Menu ","344 E 80TH ST","$20,251.22","6",2023,20251.22,NA
"190","Sidewalk Menu ","7735 S RHODES AVE","$4,367.73","6",2023,4367.73,NA
"191","Sidewalk Menu ","7759 S CALUMET AVE","$14,004.09","6",2023,14004.09,NA
"192","Sidewalk Menu ","7955-7959 S CALUMET AVE","$9,785.84","6",2023,9785.84,NA
"193","Sidewalk Menu ","8501 S VERNON AVE","$5,712.86","6",2023,5712.86,NA
"194","Sidewalk Menu ","8546 S WABASH AVE; 8554 S WABASH AVE","$11,228.67","6",2023,11228.67,NA
"195","Street Light Residential Staggered Piggy Back Menu ","ON S PRAIRIE AVE FROM E 71ST ST (7100 S) TO E 74TH ST (7400 S)","$489,000.00","6",2023,489000,NA
"196","Street Light Upgrade Menu ","7120 S VINCENNES AVE","$500.00","6",2023,500,NA
"197","Street Resurfacing Menu ","ON E 94TH ST FROM S STATE ST (0 E) TO S WABASH AVE (40 E)","$27,832.81","6",2023,27832.81,NA
"198","Street Resurfacing Menu ","ON S CHAMPLAIN AVE FROM E 78TH ST (7800 S) TO E 79TH ST (7900 S)","$57,456.54","6",2023,57456.54,NA
"199","Street Resurfacing Menu ","ON S PRAIRIE AVE FROM 8755 S TO E 87TH ST (8700 S)","$66,260.21","6",2023,66260.21,NA
"200","Street Resurfacing Menu ","ON S PRAIRIE AVE FROM E 89TH ST (8900 S) TO E 90TH ST (9000 S)","$78,704.61","6",2023,78704.61,NA
"201","Street Resurfacing Menu ","ON S WABASH AVE FROM E 89TH PL (8930 S) TO E 90TH ST (9000 S)","$35,814.61","6",2023,35814.61,NA
"202","Street Resurfacing Menu ","ON S WABASH AVE FROM E 91ST ST (9100 S) TO E 95TH ST (9500 S)","$246,047.61","6",2023,246047.61,NA
"203","Street Resurfacing Menu ","ON S WILLIAMS AVE FROM 9112 S TO E 92ND ST (9200 S)","$45,477.87","6",2023,45477.87,NA
"204","Street Speed Hump Menu ","ON E 74TH ST FROM S CALUMET AVE (340 E) TO S PRAIRIE AVE (300 E)","$4,880.00","6",2023,4880,NA
"205","Street Speed Hump Menu ","ON S EVANS AVE FROM E 73RD ST (7300 S) TO E 74TH ST (7400 S)","$4,880.00","6",2023,4880,NA
"206","Street Speed Hump Menu ","ON S MORGAN ST FROM W 72ND ST (7200 S) TO W 73RD ST (7300 S)","$4,880.00","6",2023,4880,NA
"207","Alley Apron Menu ","2658 E 78TH ST","$17,220.96","7",2023,17220.96,NA
"208","Alley Resurfacing Menu ","8041 S MUSKEGON AVE; S MUSKEGON AVE & E 80TH ST&E 81ST ST & S ESCANABA AVE","$47,368.13","7",2023,47368.13,NA
"209","Alley Resurfacing Menu ","E 84TH ST & S MANISTEE AVE&S MARQUETTE AVE & E 85TH ST","$34,128.44","7",2023,34128.44,NA
"210","Alley Resurfacing Menu ","S CORNELL AVE & E 72ND ST&E 73RD ST & S STONY ISLAND AVE","$24,594.47","7",2023,24594.47,NA
"211","Concrete Alley Menu ","E 83RD ST & E 83RD PL&S CLYDE AVE & S SOUTH CHICAGO AVE","$62,528.41","7",2023,62528.41,NA
