"","description","costA","costB","ward","program","year","cost"
"1","N ASHLAND AVE & W LE MOYNE ST&N PAULINA ST & W 1.00 ","700.00",NA,"1","Alley Speed Hump Menu",2014,700
"2","N BINGHAM ST & W ARMITAGE AVE&N STAVE ST & W 1.00 ","700.00",NA,"1","Alley Speed Hump Menu",2014,700
"3","N OAKLEY BLVD & W HIRSCH ST&N BELL AVE & W 1.00 ","301.00",NA,"1","Alley Speed Hump Menu",2014,301
"4","ON N ARMOUR ST FROM W HURON ST (700 N) TO W 0.00 ","6,079.00",NA,"1","Curb & Gutter Menu",2014,6079
"5","ON N POINT ST FROM W CHANAY ST (2140 N) TO W 0.00 ","12,309.00",NA,"1","Curb & Gutter Menu",2014,12309
"6","ON N WESTERN AVE FROM W THOMAS ST (1100 N) TO W 0.00 ","6,425.00",NA,"1","Curb & Gutter Menu",2014,6425
"7","ON N RICHMOND ST FROM W WABANSIA AVE (1700 N) TO 1.00 ","22,247.00",NA,"1","Diagonal Parking Menu",2014,22247
"8","N FAIRFIELD AVE & W ARMITAGE AVE 1.00 ","950.00",NA,"1","In-Road ""State Law Stop",2014,950
"9","N CALIFORNIA AVE & W PALMER ST 2.00 ","1,100.00",NA,"1","In-Road ""State Law Stop",2014,1100
"10","N MILWAUKEE AVE & W MEDILL AVE 1.00 ","550.00",NA,"1","In-Road ""State Law Stop",2014,550
"11","N DAMEN AVE & W HURON ST 1.00 ","950.00",NA,"1","In-Road ""State Law Stop",2014,950
"12","W DIVISION ST & N HOYNE AVE 1.00 ","550.00",NA,"1","In-Road ""State Law Stop",2014,550
"13","N CALIFORNIA AVE & W SHAKESPEARE AVE 1.00 ","950.00",NA,"1","In-Road ""State Law Stop",2014,950
"14","N WOLCOTT AVE & W DIVISION ST 1.00 ","950.00",NA,"1","In-Road ""State Law Stop",2014,950
"15","N DAMEN AVE & W LE MOYNE ST 2.00 ","1,900.00",NA,"1","In-Road ""State Law Stop",2014,1900
"16","N HOYNE AVE & W CHICAGO AVE 2.00 ","1,500.00",NA,"1","In-Road ""State Law Stop",2014,1500
"17","N PAULINA ST & W AUGUSTA BLVD 3.00 ","2,450.00",NA,"1","In-Road ""State Law Stop",2014,2450
"18","W FULLERTON AVE & N OAKLEY AVE 1.00 ","950.00",NA,"1","In-Road ""State Law Stop",2014,950
"19","N PAULINA ST & W DIVISION ST 2.00 ","1,100.00",NA,"1","In-Road ""State Law Stop",2014,1100
"20","N DAMEN AVE & W EVERGREEN AVE 3.00 ","2,450.00",NA,"1","In-Road ""State Law Stop",2014,2450
"21","W DIVISION ST & N PAULINA ST 1.00 ","417.00",NA,"1","In-Road ""State Law Stop",2014,417
"22","W DIVISION ST & N WOLCOTT AVE 1.00 ","550.00",NA,"1","In-Road ""State Law Stop",2014,550
"23","N HONORE ST & N MILWAUKEE AVE 1.00 ","950.00",NA,"1","In-Road ""State Law Stop",2014,950
"24","N BOSWORTH AVE & W LE MOYNE ST ","8,900.00",NA,"1","Miscellaneous Other",2014,8900
"25","N CALIFORNIA AVE & W PALMER ST inroad signs ","3,000.00",NA,"1","Miscellaneous Other",2014,3000
"26","W NORTH AVE & N WASHTENAW AVE 1.00 ","32,252.00",NA,"1","Pedestrian Refuge Island",2014,32252
"27","ON W CHICAGO AVE FROM N HOYNE AVE (2100 W) TO N 0.00 ","1,803.00",NA,"1","Sidewalk Menu",2014,1803
"28","ON N HONORE ST FROM W HADDON AVE (1130 N) TO W 0.00 ","17,555.00",NA,"1","Sidewalk Menu",2014,17555
"29","ON N BISHOP ST FROM W ERIE ST (630 N) TO W OHIO ST 0.00 ","9,089.00",NA,"1","Sidewalk Menu",2014,9089
"30","ON N CALIFORNIA AVE FROM W MCLEAN AVE (2040 N) TO 0.00 ","21,427.00",NA,"1","Sidewalk Menu",2014,21427
"31","ON N TALMAN AVE FROM W LE MOYNE ST (1500 N) TO W 0.00 ","3,446.00",NA,"1","Sidewalk Menu",2014,3446
"32","ON N WOLCOTT AVE FROM W DIVISION ST (1200 N) TO W 0.00 ","803.00",NA,"1","Sidewalk Menu",2014,803
"33","ON N ROCKWELL ST FROM W LYNDALE ST (2230 N) TO N 1.00 ","16,910.00",NA,"1","Street Bump Outs Menu",2014,16910
"34","ON N PAULINA ST FROM W OHIO ST (600 N) TO W HURON 2.00 ","101,222.00",NA,"1","Street Resurfacing Menu",2014,101222
"35","ON W HADDON AVE FROM N ROCKWELL ST (2600 W) TO N 1.00 ","76,257.00",NA,"1","Street Resurfacing Menu",2014,76257
"36","ON N OAKLEY AVE FROM W DIVISION ST (1200 N) TO W 1.00 ","69,378.00",NA,"1","Street Resurfacing Menu",2014,69378
"37","ON N BISHOP ST FROM W CHICAGO AVE (800 N) TO W FRY 1.00 ","11,377.00",NA,"1","Street Resurfacing Menu",2014,11377
"38","ON N MAPLEWOOD AVE FROM W WABANSIA AVE (1700 N) 1.00 ","39,671.00",NA,"1","Street Resurfacing Menu",2014,39671
"39","ON W BELDEN AVE FROM N CAMPBELL AVE (2500 W) TO N 1.00 ","7,871.00",NA,"1","Street Resurfacing Menu",2014,7871
"40","ON W CRYSTAL ST FROM N WOLCOTT AVE (1900 W) TO N 1.00 ","36,678.00",NA,"1","Street Resurfacing Menu",2014,36678
"41","ON W HOMER ST FROM N ALBANY AVE (3100 W) TO N 1.00 ","25,875.00",NA,"1","Street Resurfacing Menu",2014,25875
"42","ON W LYNDALE ST FROM N CALIFORNIA AVE (2800 W) TO 1.00 ","92,150.00",NA,"1","Street Resurfacing Menu",2014,92150
"43","ON W HURON ST FROM N LEAVITT ST (2200 W) TO N 2.00 ","136,304.00",NA,"1","Street Resurfacing Menu",2014,136304
"44","ON W CRYSTAL ST FROM N HERMITAGE AVE (1730 W) TO N 1.00 ","20,829.00",NA,"1","Street Resurfacing Menu",2014,20829
