"","description","costA","costB","ward","program","year","cost"
"45","ON N HERMITAGE AVE FROM W CRYSTAL ST (1230 N) TO W 2.00 ","39,628.00",NA,"1","Street Resurfacing Menu",2014,39628
"46","ON N MOZART ST FROM W BLOOMINGDALE AVE (1800 N) 1.00 ","36,271.00",NA,"1","Street Resurfacing Menu",2014,36271
"47","ON N HONORE ST FROM W HADDON AVE (1130 N) TO W 1.00 ","13,977.00",NA,"1","Street Resurfacing Menu",2014,13977
"48","ON W THOMAS ST FROM N OAKLEY BLVD (2300 W) TO N 1.00 ","40,588.00",NA,"1","Street Resurfacing Menu",2014,40588
"49","ON W MEDILL AVE FROM N WESTERN AVE (2400 W) TO N 1.00 ","3,700.00",NA,"1","Street Speed Hump Menu",2014,3700
"50","ON N ROCKWELL ST FROM W FULLERTON AVE (2400 N) TO 1.00 ","3,700.00",NA,"1","Street Speed Hump Menu",2014,3700
"51","ON W SCHILLER ST FROM N DAMEN AVE (2000 W) TO W 1.00 ","1,850.00",NA,"1","Street Speed Hump Menu",2014,1850
"52","1816 W SUPERIOR ST 1.00 ","500.00",NA,"1","Street Light Upgrade",2014,500
"53","W FULLERTON AVE & N ROCKWELL ST ","4,960.00",NA,"1","Traffic Signal LED",2014,4960
"54","2402 N WASHTENAW AVE Haas Park (part of ","2M commitment) - ","300,000.00","1","Chicago Park District",2014,300000
"55","2554 W MOFFAT ST Lucy Flowers Park ","50,000.00",NA,"1","Chicago Park District",2014,50000
"56","1148 N HONORE ST LaSalle II ","25,000.00",NA,"1","School Projects",2014,25000
"57","955 W MONROE ST ","4,147.00",NA,"2","Alley Resurfacing Menu",2014,4147
"58","ON E 26TH ST FROM S MICHIGAN AVE (100 E) TO S INDIANA 0.00 ","22,482.00",NA,"2","Curb & Gutter Menu",2014,22482
"59","ON S CALUMET AVE FROM E 33RD BLVD (3300 S) TO E 35TH 0.00 ","21,390.00",NA,"2","Curb & Gutter Menu",2014,21390
"60","ON S ABERDEEN ST FROM W RUNDELL PL (20 S) TO W 0.00 ","12,803.00",NA,"2","Curb & Gutter Menu",2014,12803
"61","ON W JACKSON BLVD FROM S CLINTON ST (540 W) TO S 0.00 ","3,136.00",NA,"2","Curb & Gutter Menu",2014,3136
"62","ON S RACINE AVE FROM W FLOURNOY ST (700 S) TO W 0.00 ","12,814.00",NA,"2","Curb & Gutter Menu",2014,12814
"63","N CLARK ST & W GERMANIA PL 1.00 ","350.00",NA,"2","In-Road ""State Law Stop",2014,350
"64","E CHESTNUT ST & N MICHIGAN AVE 1.00 ","350.00",NA,"2","In-Road ""State Law Stop",2014,350
"65","2620 W WARREN BLVD viaduct painting & wash -lighting ","16,343.00",NA,"2","Miscellaneous Other",2014,16343
"66","W POLK ST & S DEARBORN ST stamped crosswalk ","27,860.00",NA,"2","Miscellaneous Other",2014,27860
"67","2620 W MADISON ST viaduct painting & wash - lighting ","19,183.00",NA,"2","Miscellaneous Other",2014,19183
"68","2620 W MAYPOLE AVE ","16,343.00",NA,"2","Miscellaneous Other",2014,16343
"69","2620 W WASHINGTON BLVD viaduct painting & wash - lighting ","16,343.00",NA,"2","Miscellaneous Other",2014,16343
"70","ON W JACKSON BLVD FROM S LAFLIN ST (1500 W) TO S 0.00 ","31,343.00",NA,"2","Sidewalk Menu",2014,31343
"71","ON S SEELEY AVE FROM W MADISON ST (0 S) TO W ADAMS 0.00 ","36,546.00",NA,"2","Sidewalk Menu",2014,36546
"72","ON W VAN BUREN ST FROM S ABERDEEN ST (1100 W) TO S 0.00 ","42,527.00",NA,"2","Sidewalk Menu",2014,42527
"73","ON E 28TH ST FROM S WABASH AVE (40 E) TO S MICHIGAN 0.00 ","18,398.00",NA,"2","Sidewalk Menu",2014,18398
"74","ON W JACKSON BLVD FROM S ASHLAND AVE (1600 W) TO S 0.00 ","26,429.00",NA,"2","Sidewalk Menu",2014,26429
"75","ON S STATE ST FROM E ROOSEVELT RD (1200 S) TO E 13TH 0.00 ","8,323.00",NA,"2","Sidewalk Menu",2014,8323
"76","ON W HARRISON ST FROM S WESTERN AVE (2400 W) TO S 0.00 ","37,968.00",NA,"2","Sidewalk Menu",2014,37968
"77","ON W JACKSON BLVD FROM S LEAVITT ST (2200 W) TO S 0.00 ","66,330.00",NA,"2","Sidewalk Menu",2014,66330
"78","ON W MADISON ST FROM S CALIFORNIA AVE (2800 W) TO S 0.00 ","39,016.00",NA,"2","Sidewalk Menu",2014,39016
"79","ON S OAKLEY BLVD FROM W MONROE ST (100 S) TO W 0.00 ","8,492.00",NA,"2","Sidewalk Menu",2014,8492
"80","ON W LEXINGTON ST FROM S WESTERN AVE (2400 W) TO S 0.00 ","12,074.00",NA,"2","Sidewalk Menu",2014,12074
"81","ON S ASHLAND AVE FROM W MADISON ST (0 S) TO W 0.00 ","16,077.00",NA,"2","Sidewalk Menu",2014,16077
"82","ON W HARRISON ST FROM S WASHTENAW AVE (2700 W) TO 2.00 ","154,942.00",NA,"2","Street Resurfacing Menu",2014,154942
"83","ON W VAN BUREN ST FROM S MAPLEWOOD CT (2546 W) TO 1.00 ","105,615.00",NA,"2","Street Resurfacing Menu",2014,105615
"84","ON N HOYNE AVE FROM W CHICAGO AVE (800 N) TO W 1.00 ","26,122.00",NA,"2","Street Resurfacing Menu",2014,26122
"85","ON W HARRISON ST FROM S WESTERN AVE (2400 W) TO S ","43,321.00",NA,"2","Street Resurfacing Menu",2014,43321
"86","ON W 13TH ST FROM S STATE ST (0 E) TO S WABASH AVE 1.00 ","20,660.00",NA,"2","Street Resurfacing Menu",2014,20660
"87","ON W CONGRESS PKWY FROM S WESTERN AVE (2400 W) 1.00 ","48,037.00",NA,"2","Street Resurfacing Menu",2014,48037
"88","ON W HARRISON ST FROM S CLAREMONT AVE (2330 W) TO 1.00 ","151,658.00",NA,"2","Street Resurfacing Menu",2014,151658
"89","ON W POLK ST FROM S STATE ST (0 E) TO S FEDERAL ST 1.00 ","52,993.00",NA,"2","Street Resurfacing Menu",2014,52993
"90","ON S FEDERAL ST FROM W CONGRESS PKWY (500 S) TO W 1.00 ","16,424.00",NA,"2","Street Resurfacing Menu",2014,16424
"91","ON W POLK ST FROM S FRANCISCO AVE (2900 W) TO S 1.00 ","51,065.00",NA,"2","Street Resurfacing Menu",2014,51065
"92","S PLYMOUTH CT & W POLK ST 1.00 ","600.00",NA,"2","Floodlight Menu",2014,600
"93","ON W ROOSEVELT RD FROM S RUBLE ST (647 W) TO S 60.00 ","18,000.00",NA,"2","Street Light Pole Painting",2014,18000
"94","ON S CANAL ST FROM W HARRISON ST (600 S) TO W 11.00 ","3,300.00",NA,"2","Street Light Pole Painting",2014,3300
"95","ON S ASHLAND AVE FROM W 15TH ST (1500 S) TO W 16TH 3.00 ","900.00",NA,"2","Street Light Pole Painting",2014,900
"96","ON E 35TH ST FROM S DR MARTIN LUTHER KING JR DR (399 17.00 ","5,100.00",NA,"2","Street Light Pole Painting",2014,5100
"97","ON S LAFLIN ST FROM W 15TH ST (1500 S) TO W 14TH PL 5.00 ","1,000.00",NA,"2","Street Light Pole Painting",2014,1000
"98","ON S LAFLIN ST FROM W 15TH ST (1500 S) TO W 16TH ST 2.00 ","600.00",NA,"2","Street Light Pole Painting",2014,600
"99","ON S LOOMIS ST FROM W 15TH ST (1500 S) TO W 16TH ST 2.00 ","600.00",NA,"2","Street Light Pole Painting",2014,600
"100","ON S ASHLAND AVE FROM W JACKSON BLVD (300 S) TO W 8.00 ","2,400.00",NA,"2","Street Light Pole Painting",2014,2400
"101","ON S THROOP ST FROM W 15TH ST (1500 S) TO W 16TH ST 3.00 ","900.00",NA,"2","Street Light Pole Painting",2014,900
"102","ON S CANAL ST FROM W HARRISON ST (600 S) TO W 5.00 ","2,000.00",NA,"2","Street Light Upgrade",2014,2000
"103","ON S LAFLIN ST FROM W 15TH ST (1500 S) TO W 16TH ST 2.00 ","800.00",NA,"2","Street Light Upgrade",2014,800
"104","ON S LOOMIS ST FROM W 15TH ST (1500 S) TO W 16TH ST 2.00 ","800.00",NA,"2","Street Light Upgrade",2014,800
"105","ON S THROOP ST FROM W 15TH ST (1500 S) TO W 16TH ST 1.00 ","400.00",NA,"2","Street Light Upgrade",2014,400
"106","W VAN BUREN ST & S RACINE AVE 1.00 ","2,900.00",NA,"2","Traffic Equipment",2014,2900
"107","S DR MARTIN LUTHER KING JR DR & E 24TH PL 2.00 ","9,300.00",NA,"2","Traffic Equipment",2014,9300
"108","S DR MARTIN LUTHER KING JR DR & E 35TH ST 1.00 ","4,400.00",NA,"2","Traffic Equipment",2014,4400
"109","S INDIANA AVE & E 18TH ST 1.00 ","2,800.00",NA,"2","Traffic Equipment",2014,2800
"110","W JACKSON BLVD & S WESTERN AVE 1.00 ","3,600.00",NA,"2","Traffic Equipment",2014,3600
"111","W ADAMS ST & S DAMEN AVE 1.00 ","2,200.00",NA,"2","Traffic Equipment",2014,2200
"112","W OGDEN AVE & S ASHLAND AVE 1.00 ","3,600.00",NA,"2","Traffic Equipment",2014,3600
"113","W OGDEN AVE & S DAMEN AVE 1.00 ","4,000.00",NA,"2","Traffic Equipment",2014,4000
"114","W MADISON ST & S OAKLEY BLVD 1.00 ","2,200.00",NA,"2","Traffic Equipment",2014,2200
"115","W ROOSEVELT RD & S CLARK ST ","3,400.00",NA,"2","Traffic Equipment",2014,3400
"116","S CANAL ST & W POLK ST 1.00 ","3,300.00",NA,"2","Traffic Equipment",2014,3300
"117","S DR MARTIN LUTHER KING JR DR & S ACCESS DR 1.00 ","2,200.00",NA,"2","Traffic Equipment",2014,2200
"118","W MADISON ST & S CALIFORNIA AVE 1.00 ","2,800.00",NA,"2","Traffic Equipment",2014,2800
"119","S INDIANA AVE & E CULLERTON ST 1.00 ","2,800.00",NA,"2","Traffic Equipment",2014,2800
"120","S INDIANA AVE & E 31ST ST 1.00 ","3,700.00",NA,"2","Traffic Equipment",2014,3700
"121","ON S ASHLAND AVE FROM W VAN BUREN ST (400 S) TO W 3.00 ","5,600.00",NA,"2","Traffic Equipment",2014,5600
"122","W OGDEN AVE & W MADISON ST 1.00 ","3,400.00",NA,"2","Traffic Equipment",2014,3400
"123","W MADISON ST & S LEAVITT ST 1.00 ","3,000.00",NA,"2","Traffic Equipment",2014,3000
"124","S MICHIGAN AVE & E 18TH ST 1.00 ","2,800.00",NA,"2","Traffic Equipment",2014,2800
"125","S DR MARTIN LUTHER KING JR DR & E 31ST ST 1.00 ","4,400.00",NA,"2","Traffic Equipment",2014,4400
"126","ON W ROOSEVELT RD FROM S RUBLE ST (647 W) TO S 39.00 ","14,800.00",NA,"2","Traffic Equipment",2014,14800
"127","ON S PRAIRIE AVE FROM E 53RD ST (5300 S) TO E 54TH ST 0.00 ","27,940.00",NA,"3","Sidewalk Menu",2014,27940
"128","ON E 46TH ST FROM S PRAIRIE AVE (300 E) TO S CALUMET 0.00 ","31,216.00",NA,"3","Sidewalk Menu",2014,31216
"129","ON S PRAIRIE AVE FROM E GARFIELD BLVD (5500 S) TO E 0.00 ","28,751.00",NA,"3","Sidewalk Menu",2014,28751
"130","ON S WABASH AVE FROM E 51ST ST (5100 S) TO E 53RD ST 1.00 ","171,892.00",NA,"3","Street Resurfacing Menu",2014,171892
"131","ON S LOWE AVE FROM W 51ST ST (5100 S) TO W 54TH ST 3.00 ","179,208.00",NA,"3","Street Resurfacing Menu",2014,179208
"132","ON W 30TH ST FROM S STATE ST (0 E) TO S FEDERAL ST 1.00 ","82,253.00",NA,"3","Street Resurfacing Menu",2014,82253
"133","ON S FEDERAL ST FROM W 19TH ST (1900 S) TO S ARCHER 1.00 ","28,305.00",NA,"3","Street Resurfacing Menu",2014,28305
"134","ON E 46TH ST FROM S INDIANA AVE (200 E) TO S DR 3.00 ","124,533.00",NA,"3","Street Resurfacing Menu",2014,124533
"135","ON S FEDERAL ST FROM W 29TH ST (2940 S) TO W 30TH ST 1.00 ","80,040.00",NA,"3","Street Resurfacing Menu",2014,80040
"136","ON S CALUMET AVE FROM E 44TH ST (4400 S) TO E 45TH ST 1.00 ","3,700.00",NA,"3","Street Speed Hump Menu",2014,3700
"137","4455 S DR MARTIN LUTHER KING JR DR 2.00 ","1,200.00",NA,"3","Floodlight Menu",2014,1200
"138","408 E 40TH ST 2.00 ","1,200.00",NA,"3","Floodlight Menu",2014,1200
"139","ON S CALUMET AVE FROM E 43RD ST (4300 S) TO E 45TH ST 0.60 ","7,000.00",NA,"3","Street Light Residential",2014,7000
"140","ON S PRAIRIE AVE FROM E 43RD ST (4300 S) TO E 45TH ST 2.00 ","144,000.00",NA,"3","Street Light Residential",2014,144000
"141","ON W SWANN ST FROM S PRINCETON AVE (300 W) TO S 0.50 ","36,000.00",NA,"3","Street Light Residential",2014,36000
"142","ON S SHIELDS AVE FROM W 47TH ST (4700 S) TO W 48TH PL 1.50 ","108,000.00",NA,"3","Street Light Residential",2014,108000
"143","ON S FORRESTVILLE AVE FROM E 47TH ST (4700 S) TO E 3.00 ","108,000.00",NA,"3","Street Light Residential",2014,108000
"144","ON E OAKWOOD BLVD FROM S DR MARTIN LUTHER KING 1.50 ","108,000.00",NA,"3","Street Light Residential",2014,108000
"145","ON S SHIELDS AVE FROM W 46TH PL (4630 S) TO W 47TH ST 0.50 ","36,000.00",NA,"3","Street Light Residential",2014,36000
"146","4445 S PRINCETON AVE 1.00 ","400.00",NA,"3","Street Light Upgrade",2014,400
"147","4654 S DR MARTIN LUTHER KING JR DR 1.00 ","500.00",NA,"3","Street Light Upgrade",2014,500
"148","237 E GARFIELD BLVD 1.00 ","1,350.00",NA,"3","Street Light Piggy Back",2014,1350
"149","4640 S INDIANA AVE Mural Project ","10,000.00",NA,"3","Miscellaneous Other",2014,10000
"150","S DREXEL BLVD & E 47TH ST&S INGLESIDE AVE & E 48TH 1.00 ","28,627.00",NA,"4","Alley Resurfacing Menu",2014,28627
"151","4755 S DREXEL BLVD ","3,281.00",NA,"4","Alley Resurfacing Menu",2014,3281
"152","S EVANS AVE & E 48TH ST&S LANGLEY AVE & E 49TH ST 1.00 ","12,468.00",NA,"4","Alley Resurfacing Menu",2014,12468
"153","S BERKELEY AVE & E 42ND PL&S ELLIS AVE & E 43RD ST 1.00 ","14,853.00",NA,"4","Alley Resurfacing Menu",2014,14853
"154","S CHAMPLAIN AVE & E 42ND ST&S ST LAWRENCE AVE & E 1.00 ","24,400.00",NA,"4","Alley Resurfacing Menu",2014,24400
"155","S DREXEL BLVD & E OAKWOOD BLVD&S ELLIS AVE & E 1.00 ","2,100.00",NA,"4","Alley Speed Hump Menu",2014,2100
"156","S ST LAWRENCE AVE & E 43RD ST&S FORRESTVILLE AVE 1.00 ","2,800.00",NA,"4","Alley Speed Hump Menu",2014,2800
"157","E 37TH ST & S COTTAGE GROVE AVE ","614.00",NA,"4","Bus Pad",2014,614
"158","ON S VINCENNES AVE FROM E 40TH ST (4000 S) TO E 41ST 0.00 ","19,554.00",NA,"4","Curb & Gutter Menu",2014,19554
"159","S HARPER AVE & E HYDE PARK BLVD ","42,816.00",NA,"4","Miscellaneous Other",2014,42816
"160","4313 S EVANS AVE No Parking Tow Zone Signs 1.00 ","210.00",NA,"4","Miscellaneous Other",2014,210
"161","4516 S DREXEL BLVD Fencing ","14,955.00",NA,"4","Miscellaneous Other",2014,14955
"162","E 48TH ST & S LAKE PARK AVE 1.00 ","29,170.00",NA,"4","Pedestrian Refuge Island",2014,29170
"163","ON E 50TH ST FROM S KIMBARK AVE (1300 E) TO S 0.00 ","47,950.00",NA,"4","Sidewalk Menu",2014,47950
"164","ON S HYDE PARK BLVD FROM S ELLIS AVE (998 E) TO S 0.00 ","18,065.00",NA,"4","Sidewalk Menu",2014,18065
"165","ON S MICHIGAN AVE FROM E 26TH ST (2600 S) TO E 29TH ST 0.00 ","32,597.00",NA,"4","Sidewalk Menu",2014,32597
"166","ON E HYDE PARK BLVD FROM S DREXEL AVE (854 E) TO S 0.00 ","30,234.00",NA,"4","Sidewalk Menu",2014,30234
"167","ON S INDIANA AVE FROM E 26TH ST (2600 S) TO E 28TH PL 0.00 ","27,128.00",NA,"4","Sidewalk Menu",2014,27128
"168","ON E 49TH ST FROM S WOODLAWN AVE (1200 E) TO S 0.00 ","6,242.00",NA,"4","Sidewalk Menu",2014,6242
"169","ON E 43RD ST FROM S VINCENNES AVE (499 E) TO S 0.00 ","8,370.00",NA,"4","Sidewalk Menu",2014,8370
"170","ON S COTTAGE GROVE AVE FROM E 40TH ST (4000 S) TO E 0.00 ","20,461.00",NA,"4","Sidewalk Menu",2014,20461
"171","ON S EAST END AVE FROM S CORNELL AVE (4900 S) TO E 0.00 ","27,467.00",NA,"4","Sidewalk Menu",2014,27467
"172","ON S RHODES AVE FROM E 32ND PL (3250 S) TO E 33RD ST 0.00 ","6,406.00",NA,"4","Sidewalk Menu",2014,6406
"173","ON E 48TH ST FROM S KIMBARK AVE (1300 E) TO S 0.00 ","15,142.00",NA,"4","Sidewalk Menu",2014,15142
"174","ON S ELLIS AVE FROM E 41ST ST (4100 S) TO E 43RD ST 0.00 ","22,083.00",NA,"4","Sidewalk Menu",2014,22083
"175","ON S LANGLEY AVE FROM E PERSHING RD (3900 S) TO E 0.00 ","55,085.00",NA,"4","Sidewalk Menu",2014,55085
"176","ON S ELLIS AVE FROM E 50TH ST (5000 S) TO E HYDE PARK 0.00 ","33,381.00",NA,"4","Sidewalk Menu",2014,33381
"177","ON S DREXEL AVE FROM E 41ST ST (4100 S) TO E BOWEN 0.00 ","2,601.00",NA,"4","Sidewalk Menu",2014,2601
"178","ON E OAKWOOD BLVD FROM S VINCENNES AVE (536 E) TO 0.00 ","13,631.00",NA,"4","Sidewalk Menu",2014,13631
"179","ON E 28TH PL FROM S INDIANA AVE (200 E) TO S 0.00 ","15,776.00",NA,"4","Sidewalk Menu",2014,15776
"180","ON S HARPER AVE FROM E 54TH PL (5460 S) TO E 54TH ST 0.00 ","21,380.00",NA,"4","Sidewalk Menu",2014,21380
"181","ON E 40TH ST FROM S LANGLEY AVE (700 E) TO S COTTAGE 0.00 ","7,880.00",NA,"4","Sidewalk Menu",2014,7880
"182","ON S HARPER AVE FROM E 54TH ST (5400 S) TO E 54TH PL 0.00 ","2,391.00",NA,"4","Sidewalk Menu",2014,2391
"183","ON S KENWOOD AVE FROM E 48TH ST (4800 S) TO E 49TH ST 0.00 ","21,158.00",NA,"4","Sidewalk Menu",2014,21158
"184","ON S CORNELL AVE FROM S EAST END AVE (4900 S) TO E 0.00 ","18,419.00",NA,"4","Sidewalk Menu",2014,18419
"185","ON E 43RD ST FROM S GREENWOOD AVE (1100 E) TO S 0.00 ","42,133.00",NA,"4","Sidewalk Menu",2014,42133
"186","ON E 49TH ST FROM S GREENWOOD AVE (1100 E) TO S 0.00 ","24,259.00",NA,"4","Sidewalk Menu",2014,24259
"187","ON S LAKE PARK AVE FROM E 43RD ST (4299 S) TO E 44TH 0.00 ","21,972.00",NA,"4","Sidewalk Menu",2014,21972
"188","ON S OAKENWALD AVE FROM E 41ST ST (4100 S) TO E 40TH 0.00 ","9,572.00",NA,"4","Sidewalk Menu",2014,9572
"189","ON E BOWEN AVE FROM S COTTAGE GROVE AVE (800 E) 0.00 ","3,038.00",NA,"4","Sidewalk Menu",2014,3038
"190","ON S BERKELEY AVE FROM E 43RD ST (4300 S) TO E 44TH 1.00 ","58,387.00",NA,"4","Street Resurfacing Menu",2014,58387
"191","ON E 50TH ST FROM S GREENWOOD AVE (1100 E) TO S 2.00 ","131,192.00",NA,"4","Street Resurfacing Menu",2014,131192
"192","ON S GREENWOOD AVE FROM E HYDE PARK BLVD (5100 S) 1.00 ","72,771.00",NA,"4","Street Resurfacing Menu",2014,72771
"193","ON S OAKENWALD AVE FROM E 44TH PL (4430 S) TO S 0.25 ","84,928.00",NA,"4","Street Resurfacing Menu",2014,84928
"194","ON S DR MARTIN LUTHER KING JR DR FROM E 35TH ST 1.00 ","57,134.00",NA,"4","Street Resurfacing Menu",2014,57134
"195","ON E 37TH ST FROM S DR MARTIN LUTHER KING JR DR (400 1.00 ","42,398.00",NA,"4","Street Resurfacing Menu",2014,42398
"196","ON S OAKENWALD AVE FROM E 44TH PL (4430 S) TO S 2.00 ","7,400.00",NA,"4","Street Speed Hump Menu",2014,7400
"197","4826 S COTTAGE GROVE AVE ","255.00",NA,"4","Traffic Signal",2014,255
"198","ON S FORRESTVILLE AVE FROM E 47TH ST (4700 S) TO E 3.00 ","108,000.00",NA,"4","Street Light Residential",2014,108000
"199","910 E 40TH ST 1.00 ","400.00",NA,"4","Street Light Upgrade",2014,400
"200","900 E 40TH ST 1.00 ","400.00",NA,"4","Street Light Upgrade",2014,400
"201","916 E 40TH ST 1.00 ","400.00",NA,"4","Street Light Upgrade",2014,400
"202","5026 S COTTAGE GROVE AVE 1.00 ","400.00",NA,"4","Street Light Upgrade",2014,400
"203","E 53RD ST & E 54TH ST & S CORNELL AVE & S HYDE PARK 1.00 ","4,937.00",NA,"5","Alley Resurfacing Menu",2014,4937
"204","S KENWOOD AVE & E 56TH ST&S KIMBARK AVE & E 57TH 1.00 ","13,470.00",NA,"5","Alley Resurfacing Menu",2014,13470
"205","E 73RD ST & S JEFFERY BLVD&E 72ND ST & S MERRILL 1.00 ","700.00",NA,"5","Alley Speed Hump Menu",2014,700
"206","S KIMBARK AVE & E 55TH ST&S KENWOOD AVE & E 56TH 1.00 ","86,000.00",NA,"5","Concrete Alley Menu",2014,86000
"207","ON E 54TH ST FROM S HYDE PARK BLVD (1700 E) TO S EAST 0.00 ","20,586.00",NA,"5","Curb & Gutter Menu",2014,20586
"208","ON S HYDE PARK BLVD FROM E 55TH ST (1700 E) TO E 56TH 0.00 ","5,722.00",NA,"5","Curb & Gutter Menu",2014,5722
"209","ON E 67TH ST FROM S EUCLID AVE (1930 E) TO S JEFFERY 0.00 ","30,257.00",NA,"5","Curb & Gutter Menu",2014,30257
