"","program","description","costA","ward","year","cost","costB"
"1","Arterial Street Bump Outs Menu ","$35,806.00","$35,806.00","3",2025,35806,NA
"2","Pavement Markings Menu ","E PERSHING RD & S RHODES AVE","$2,500.00","3",2025,2500,NA
"3","Street Bump Outs Menu ","E 44TH ST & S PRAIRIE AVE","$30,000.00","3",2025,30000,NA
"4","Street Speed Hump Menu ","ON E 44TH ST FROM S WABASH AVE (50 E) TO S DR MARTIN LUTHER KING JR DR (380 E)","$12,200.00","3",2025,12200,NA
"5","Street Resurfacing Menu ","ON S WOODLAWN AVE FROM E 49TH ST (4900 S) TO E 50TH ST (5000 S)","$94,984.25","4",2025,94984.25,NA
"6","Street Bump Outs Menu ","S CORNELL AVE & E 50TH ST","$16,127.80","5",2025,16127.8,NA
"7","Street Resurfacing Menu ","ON S GREENWOOD AVE FROM E 71ST ST (7100 S) TO E 72ND ST (7200 S)","$57,561.38","5",2025,57561.38,NA
"8","Street Resurfacing Menu ","ON S UNIVERSITY AVE FROM E 71ST ST (7100 S) TO E 73RD ST (7300 S)","$155,263.21","5",2025,155263.21,NA
"9","Street Cul-de-Sac Menu ","ON S DR MARTIN LUTHER KING JR DR FROM E 81ST ST (8100 S) TO E 85TH ST (8500 S)","$250,000.00","6",2025,250000,NA
"10","Walking track at Cole Park","361 E 85TH ST","$100,000.00","6",2025,100000,NA
"11","Street Light Upgrade Menu ","E 77TH ST & S LUELLA AVE&S CRANDON AVE & E 78TH ST; 7700 S CRANDON AVE","$500.00","7",2025,500,NA
"12","Street Light Upgrade Menu ","E 77TH ST & S OGLESBY AVE&S CRANDON AVE & E 78TH ST; 7701 S CRANDON AVE","$500.00","7",2025,500,NA
"13","Street Resurfacing Menu ","ON S CRANDON AVE FROM E 80TH ST (8000 S) TO E 81ST ST (8100 S)","$46,940.44","7",2025,46940.44,NA
"14","Street Resurfacing Menu ","ON S CRANDON AVE FROM E 83RD ST (8300 S) TO E 84TH ST (8400 S)","$59,157.76","7",2025,59157.76,NA
"15","Street Resurfacing Menu ","ON S HOUSTON AVE FROM E 81ST ST (8100 S) TO E 82ND ST (8200 S)","$56,513.06","7",2025,56513.06,NA
"16","Grand Crossing Park Improvements","7655 S INGLESIDE AVE","$50,000.00","8",2025,50000,NA
"17","Jesse Owens Park Improvements","8800 S CLYDE AVE","$50,000.00","8",2025,50000,NA
"18","Sidewalk Menu ","ON S CORLISS AVE FROM S DOTY AVE W (11110 S) TO E 112TH ST (11200 S)","$2,562.20","9",2025,2562.2,NA
"19","Street Resurfacing Menu ","ON S CORLISS AVE FROM S DOTY AVE W (11110 S) TO E 112TH ST (11200 S)","$36,875.53","9",2025,36875.53,NA
"20","Street Speed Hump Menu ","ON E 131ST ST FROM S BURLEY AVE (3230 E) TO S BUFFALO AVE (3300 E)","$2,440.00","10",2025,2440,NA
"21","Street Speed Hump Menu ","ON S GREEN BAY AVE FROM E 105TH ST (10500 S) TO E 106TH ST (10600 S)","$4,880.00","10",2025,4880,NA
"22","Pedestrian Refuge Island Menu ","ON S CANAL ST FROM 2210 S TO S ARCHER AVE (2300 S)","$50,000.00","11",2025,50000,NA
"23","Street Cul-de-Sac Menu ","W 23RD ST & S CANAL ST","$90,000.00","11",2025,90000,NA
"24","Alley Speed Hump Menu ","S KILBOURN AVE & W 58TH ST&W 59TH ST & S KENNETH AVE; 5819 S KILBOURN AVE","$3,625.00","13",2025,3625,NA
"25","Curb & Gutter Menu ","5702 S KEELER AVE","$3,991.93","13",2025,3991.93,NA
"26","Curb & Gutter Menu ","5736 S KENNETH AVE","$5,624.01","13",2025,5624.01,NA
"27","Curb & Gutter Menu ","5746 S MERRIMAC AVE","$5,628.59","13",2025,5628.59,NA
"28","Curb & Gutter Menu ","5834 S NOTTINGHAM AVE; 5805 S NOTTINGHAM AVE","$10,768.38","13",2025,10768.38,NA
"29","Curb & Gutter Menu ","6105 S MCVICKER AVE; 6148 S MCVICKER AVE","$18,229.36","13",2025,18229.36,NA
"30","Curb & Gutter Menu ","6155 S MOODY AVE; 6128 S MOODY AVE","$8,275.16","13",2025,8275.16,NA
"31","Curb & Gutter Menu ","6159 S MONITOR AVE","$11,482.98","13",2025,11482.98,NA
"32","Curb & Gutter Menu ","6243 S KOLMAR AVE","$3,213.93","13",2025,3213.93,NA
"33","Curb & Gutter Menu ","6245 S RUTHERFORD AVE","$5,790.43","13",2025,5790.43,NA
"34","Curb & Gutter Menu ","6504 W 60TH ST","$9,359.70","13",2025,9359.7,NA
"35","Curb & Gutter Menu ","6842 W 64TH PL; 6846 W 64TH PL","$13,741.20","13",2025,13741.2,NA
"36","Curb & Gutter Menu ","7055 W 64TH ST","$4,822.03","13",2025,4822.03,NA
"37","Floodlight Menu ","5813-5817 S NASHVILLE AVE","$1,150.00","13",2025,1150,NA
"38","Floodlight Menu ","5857 S MASSASOIT AVE","$1,150.00","13",2025,1150,NA
"39","Floodlight Menu ","6158 S MOODY AVE","$1,150.00","13",2025,1150,NA
"40","Sidewalk Menu ","4249 W 59TH ST","$4,174.28","13",2025,4174.28,NA
"41","Sidewalk Menu ","4538 W 64TH PL","$10,662.31","13",2025,10662.31,NA
"42","Sidewalk Menu ","4543 W 64TH ST","$8,987.81","13",2025,8987.81,NA
"43","Sidewalk Menu ","5111 W 63RD PL","$2,204.16","13",2025,2204.16,NA
"44","Sidewalk Menu ","5524 S KARLOV AVE","$3,462.57","13",2025,3462.57,NA
"45","Sidewalk Menu ","5531 S NEW ENGLAND AVE; 5549 S NEW ENGLAND AVE","$7,299.99","13",2025,7299.99,NA
"46","Sidewalk Menu ","5540 S MERRIMAC AVE","$15,557.44","13",2025,15557.44,NA
"47","Sidewalk Menu ","5544 S RUTHERFORD AVE","$8,696.24","13",2025,8696.24,NA
"48","Sidewalk Menu ","5550 S NEWLAND AVE","$3,202.89","13",2025,3202.89,NA
"49","Sidewalk Menu ","5550 S TRIPP AVE","$832.22","13",2025,832.22,NA
"50","Sidewalk Menu ","5600 S NASHVILLE AVE","$10,657.32","13",2025,10657.32,NA
"51","Sidewalk Menu ","5601 S MOODY AVE; 5616 S MOODY AVE","$2,615.82","13",2025,2615.82,NA
"52","Sidewalk Menu ","5604 S SAYRE AVE","$6,551.67","13",2025,6551.67,NA
"53","Sidewalk Menu ","5612 S MASON AVE","$8,168.35","13",2025,8168.35,NA
"54","Sidewalk Menu ","5633 S NATOMA AVE; 5649 S NATOMA AVE","$14,231.10","13",2025,14231.1,NA
"55","Sidewalk Menu ","5643 S MEADE AVE; 5616 S MEADE AVE","$19,107.63","13",2025,19107.63,NA
"56","Sidewalk Menu ","5658 S NOTTINGHAM AVE","$15,938.51","13",2025,15938.51,NA
"57","Sidewalk Menu ","5700 W 63RD PL","$2,955.39","13",2025,2955.39,NA
"58","Sidewalk Menu ","5708 S NEENAH AVE","$1,268.85","13",2025,1268.85,NA
"59","Sidewalk Menu ","5713 S MOODY AVE; 5736 S MOODY AVE","$14,712.74","13",2025,14712.74,NA
"60","Sidewalk Menu ","5724 S MERRIMAC AVE","$3,064.34","13",2025,3064.34,NA
"61","Sidewalk Menu ","5751 S NASHVILLE AVE","$2,945.93","13",2025,2945.93,NA
"62","Sidewalk Menu ","5754 W 59TH ST; 5746 W 59TH ST","$17,431.92","13",2025,17431.92,NA
"63","Sidewalk Menu ","5755 W 55TH ST","$3,557.88","13",2025,3557.88,NA
"64","Sidewalk Menu ","5759 W 63RD PL","$15,376.17","13",2025,15376.17,NA
"65","Sidewalk Menu ","5805 S NORDICA AVE","$2,931.18","13",2025,2931.18,NA
"66","Sidewalk Menu ","5818 S MERRIMAC AVE","$4,029.58","13",2025,4029.58,NA
"67","Sidewalk Menu ","5818 S NEWLAND AVE","$13,111.42","13",2025,13111.42,NA
"68","Sidewalk Menu ","5819 S AUSTIN AVE","$3,767.03","13",2025,3767.03,NA
"69","Sidewalk Menu ","5920 S MOBILE AVE; 5914-5922 S MOBILE AVE","$11,882.48","13",2025,11882.48,NA
"70","Sidewalk Menu ","5924 S KEELER AVE","$5,469.96","13",2025,5469.96,NA
"71","Sidewalk Menu ","5949 S NATOMA AVE","$4,697.04","13",2025,4697.04,NA
"72","Sidewalk Menu ","6005 S NORMANDY AVE","$5,978.72","13",2025,5978.72,NA
"73","Sidewalk Menu ","6012 S MASON AVE","$5,767.47","13",2025,5767.47,NA
"74","Sidewalk Menu ","6024 S MULLIGAN AVE; 6034 S MULLIGAN AVE","$16,591.57","13",2025,16591.57,NA
"75","Sidewalk Menu ","6027 S TRIPP AVE; 6022 S TRIPP AVE","$20,842.12","13",2025,20842.12,NA
"76","Sidewalk Menu ","6036 S NATOMA AVE; 6042 S NATOMA AVE; 6050 S NATOMA AVE","$35,557.45","13",2025,35557.45,NA
"77","Sidewalk Menu ","6046 S KILPATRICK AVE","$6,656.06","13",2025,6656.06,NA
"78","Sidewalk Menu ","6046 S MAYFIELD AVE","$5,335.29","13",2025,5335.29,NA
"79","Sidewalk Menu ","6105 S KEELER AVE","$3,277.37","13",2025,3277.37,NA
"80","Sidewalk Menu ","6108 S RUTHERFORD AVE; 6144 S RUTHERFORD AVE","$4,963.35","13",2025,4963.35,NA
"81","Sidewalk Menu ","6113 S NAGLE AVE","$4,420.84","13",2025,4420.84,NA
"82","Sidewalk Menu ","6115 S KILDARE AVE","$4,374.23","13",2025,4374.23,NA
"83","Sidewalk Menu ","6126 S TRIPP AVE","$3,935.94","13",2025,3935.94,NA
"84","Sidewalk Menu ","6134 S KEELER AVE","$620.89","13",2025,620.89,NA
"85","Sidewalk Menu ","6138 W 60TH ST","$746.53","13",2025,746.53,NA
"86","Sidewalk Menu ","6152 W 59TH ST; 6125 W 59TH ST","$29,731.73","13",2025,29731.73,NA
"87","Sidewalk Menu ","6200 S KEDVALE AVE; W 62ND ST & S KEDVALE AVE","$9,458.61","13",2025,9458.61,NA
"88","Sidewalk Menu ","6200 S TRIPP AVE; W 62ND ST & S TRIPP AVE","$10,462.81","13",2025,10462.81,NA
"89","Sidewalk Menu ","6208 S NEENAH AVE","$4,622.46","13",2025,4622.46,NA
"90","Sidewalk Menu ","6210 S MCVICKER AVE; 6238 S MCVICKER AVE","$15,047.15","13",2025,15047.15,NA
"91","Sidewalk Menu ","6214 W 63RD PL","$6,241.95","13",2025,6241.95,NA
"92","Sidewalk Menu ","6217 W 55TH ST","$8,936.53","13",2025,8936.53,NA
"93","Sidewalk Menu ","6219 S MENARD AVE","$5,236.07","13",2025,5236.07,NA
"94","Sidewalk Menu ","6219 S NAGLE AVE","$8,212.17","13",2025,8212.17,NA
"95","Sidewalk Menu ","6221 S NATCHEZ AVE","$13,682.93","13",2025,13682.93,NA
"96","Sidewalk Menu ","6226 W 59TH ST; S MERRIMAC AVE & W 59TH ST","$10,318.23","13",2025,10318.23,NA
"97","Sidewalk Menu ","6243 S NASHVILLE AVE; 6245 S NASHVILLE AVE","$2,266.39","13",2025,2266.39,NA
"98","Sidewalk Menu ","6250 W 60TH ST","$13,035.86","13",2025,13035.86,NA
"99","Sidewalk Menu ","6258 W 64TH ST","$5,621.78","13",2025,5621.78,NA
"100","Sidewalk Menu ","6331 S KILDARE AVE; 6336 S KILDARE AVE","$16,418.71","13",2025,16418.71,NA
"101","Sidewalk Menu ","6346 S KEDVALE AVE","$10,526.96","13",2025,10526.96,NA
"102","Sidewalk Menu ","6354 S KARLOV AVE","$3,900.87","13",2025,3900.87,NA
"103","Sidewalk Menu ","6358 S TRIPP AVE","$1,304.58","13",2025,1304.58,NA
"104","Sidewalk Menu ","6400 S KILDARE AVE; W 64TH ST & S KILDARE AVE","$5,237.74","13",2025,5237.74,NA
"105","Sidewalk Menu ","6407 S KARLOV AVE; 6441 S KARLOV AVE","$8,503.78","13",2025,8503.78,NA
"106","Sidewalk Menu ","6449 S TRIPP AVE","$2,577.76","13",2025,2577.76,NA
"107","Sidewalk Menu ","6459 W 63RD PL","$4,266.80","13",2025,4266.8,NA
"108","Sidewalk Menu ","6500 W 63RD PL; S NATCHEZ AVE & W 63RD PL","$4,482.21","13",2025,4482.21,NA
"109","Sidewalk Menu ","6516 W 61ST ST","$2,731.64","13",2025,2731.64,NA
"110","Sidewalk Menu ","6532 S KNOX AVE","$5,709.43","13",2025,5709.43,NA
"111","Sidewalk Menu ","6536 W 61ST ST","$12,724.16","13",2025,12724.16,NA
"112","Sidewalk Menu ","6641 S KEDVALE AVE","$3,924.39","13",2025,3924.39,NA
"113","Sidewalk Menu ","6716 W 63RD PL","$4,966.74","13",2025,4966.74,NA
"114","Sidewalk Menu ","6732 W 64TH ST","$6,877.37","13",2025,6877.37,NA
"115","Sidewalk Menu ","7111 W 63RD PL","$2,305.47","13",2025,2305.47,NA
"116","Street Light Upgrade Menu ","4021 W 58TH PL; 4045 W 58TH PL","$1,000.00","13",2025,1000,NA
"117","Street Light Upgrade Menu ","4619 W 63RD ST; 4625 W 63RD ST","$1,000.00","13",2025,1000,NA
