"","description","costA","costB","ward","program","year","cost"
"1","1546 N ARTESIAN AVE 1.00 ","10,390.00",NA,"1","Alley Apron Menu",2016,10390
"2","2347 W IOWA ST 1.00 ","12,933.00",NA,"1","Alley Apron Menu",2016,12933
"3","1819 N FAIRFIELD AVE 1.00 ","25,115.00",NA,"1","Alley Resurfacing Menu",2016,25115
"4","N NOBLE ST & W OHIO ST&N ADA ST & W GRAND AVE 1.00 ","49,194.00",NA,"1","Alley Resurfacing Menu",2016,49194
"5","W IOWA ST & N WOLCOTT AVE&W RICE ST & N WOOD ST 1.00 ","37,685.00",NA,"1","Alley Resurfacing Menu",2016,37685
"6","1914 W POTOMAC AVE 1.00 ","700.00",NA,"1","Alley Speed Hump Menu",2016,700
"7","2351 W ALTGELD ST 1.00 ","1,400.00",NA,"1","Alley Speed Hump Menu",2016,1400
"8","1319 N BELL AVE 1.00 ","700.00",NA,"1","Alley Speed Hump Menu",2016,700
"9","2412 W MOFFAT ST 1.00 ","1,724.00",NA,"1","Bollard Menu",2016,1724
"10","N TALMAN AVE & W LYNDALE ST&N WASHTENAW AVE & 1.00 ","258,000.00",NA,"1","Concrete Alley Menu",2016,258000
"11","2521 W NORTH AVE 0.00 ","4,089.00",NA,"1","Curb & Gutter Menu",2016,4089
"12","W DIVISION ST & N PAULINA ST 3.00 ","1,050.00",NA,"1","In-Road ""State Law Stop",2016,1050
"13","W DIVISION ST & N WOLCOTT AVE 1.00 ","600.00",NA,"1","In-Road ""State Law Stop",2016,600
"14","N MILWAUKEE AVE & N HONORE ST 2.00 ","1,200.00",NA,"1","In-Road ""State Law Stop",2016,1200
"15","N DAMEN AVE & W HURON ST 2.00 ","1,200.00",NA,"1","In-Road ""State Law Stop",2016,1200
"16","N CALIFORNIA AVE & W PALMER ST 3.00 ","1,050.00",NA,"1","In-Road ""State Law Stop",2016,1050
"17","N CALIFORNIA AVE & W ALTGELD ST 2.00 ","1,200.00",NA,"1","In-Road ""State Law Stop",2016,1200
"18","W ARMITAGE AVE & N FAIRFIELD AVE 1.00 ","600.00",NA,"1","In-Road ""State Law Stop",2016,600
"19","N HOYNE AVE & W DIVISION ST 1.00 ","350.00",NA,"1","In-Road ""State Law Stop",2016,350
"20","N DAMEN AVE & W LE MOYNE ST 2.00 ","950.00",NA,"1","In-Road ""State Law Stop",2016,950
"21","W MEDILL AVE & N MILWAUKEE AVE 2.00 ","700.00",NA,"1","In-Road ""State Law Stop",2016,700
"22","N CALIFORNIA AVE & W SHAKESPEARE AVE 4.00 ","1,650.00",NA,"1","In-Road ""State Law Stop",2016,1650
"23","N DAMEN AVE & W EVERGREEN AVE 2.00 ","1,200.00",NA,"1","In-Road ""State Law Stop",2016,1200
"24","N HOYNE AVE & W CHICAGO AVE 1.00 ","350.00",NA,"1","In-Road ""State Law Stop",2016,350
"25","N PAULINA ST & W AUGUSTA BLVD 2.00 ","1,200.00",NA,"1","In-Road ""State Law Stop",2016,1200
"26","ON N WOOD ST FROM W AUGUSTA BLVD (1000 N) TO W 1.00 ","9,941.00",NA,"1","Miscellaneous CDOT",2016,9941
"27","N KIMBALL AVE & W BLOOMINGDALE AVE 1.00 ","150.00",NA,"1","Pavement Markings",2016,150
"28","1821 W THOMAS ST 0.00 ","2,815.00",NA,"1","Sidewalk Menu",2016,2815
"29","1757-1759 N TALMAN AVE 0.00 ","6,519.00",NA,"1","Sidewalk Menu",2016,6519
"30","2835 W FULLERTON AVE 0.00 ","7,858.00",NA,"1","Sidewalk Menu",2016,7858
"31","2315 N MILWAUKEE AVE 0.00 ","8,743.00",NA,"1","Sidewalk Menu",2016,8743
"32","2200 W SUPERIOR ST 0.00 ","3,057.00",NA,"1","Sidewalk Menu",2016,3057
"33","1107 N HERMITAGE AVE; 1113 N HERMITAGE AVE 0.00 ","888.00",NA,"1","Sidewalk Menu",2016,888
"34","1500 W OHIO ST 0.00 ","13,294.00",NA,"1","Sidewalk Menu",2016,13294
"35","1847 N FRANCISCO AVE 0.00 ","1,339.00",NA,"1","Sidewalk Menu",2016,1339
"36","2357-2361 N MILWAUKEE AVE 0.00 ","11,435.00",NA,"1","Sidewalk Menu",2016,11435
"37","532 N BISHOP ST 0.00 ","14,005.00",NA,"1","Sidewalk Menu",2016,14005
"38","905 N WOOD ST 0.00 ","7,364.00",NA,"1","Sidewalk Menu",2016,7364
"39","530 N MARSHFIELD AVE 0.00 ","3,895.00",NA,"1","Sidewalk Menu",2016,3895
"40","1455-1459 N FAIRFIELD AVE 0.00 ","5,837.00",NA,"1","Sidewalk Menu",2016,5837
"41","2112 N MAPLEWOOD AVE 0.00 ","801.00",NA,"1","Sidewalk Menu",2016,801
"42","ON N WOLCOTT AVE FROM W THOMAS ST (1100 N) TO W 1.00 ","40,007.00",NA,"1","Street Resurfacing Menu",2016,40007
"43","ON N HONORE ST FROM W AUGUSTA BLVD (1000 N) TO W 1.00 ","36,044.00",NA,"1","Street Resurfacing Menu",2016,36044
"44","ON W WABANSIA AVE FROM N ROCKWELL ST (2600 W) TO 1.00 ","19,928.00",NA,"1","Street Resurfacing Menu",2016,19928
"45","ON W PEARSON ST FROM N PAULINA ST (1700 W) TO N 1.00 ","28,771.00",NA,"1","Street Resurfacing Menu",2016,28771
"46","N HERMITAGE AVE & N MILWAUKEE AVE 1.00 ","7,920.00",NA,"1","Street Resurfacing Menu",2016,7920
"47","ON W MEDILL AVE FROM N MILWAUKEE AVE (2840 W) TO 1.00 ","57,413.00",NA,"1","Street Resurfacing Menu",2016,57413
"48","ON N HONORE ST FROM W THOMAS ST (1100 N) TO W 1.00 ","21,505.00",NA,"1","Street Resurfacing Menu",2016,21505
"49","ON N CLAREMONT AVE FROM W HIRSCH ST (1400 N) TO W 1.00 ","60,687.00",NA,"1","Street Resurfacing Menu",2016,60687
"50","ON N ARTESIAN AVE FROM W LE MOYNE ST (1500 N) TO W 1.00 ","53,376.00",NA,"1","Street Resurfacing Menu",2016,53376
"51","ON N LEAVITT ST FROM W CHICAGO AVE (800 N) TO W 1.00 ","31,800.00",NA,"1","Street Resurfacing Menu",2016,31800
"52","ON W HURON ST FROM N WILLARD CT (1226 W) TO N 1.00 ","38,628.00",NA,"1","Street Resurfacing Menu",2016,38628
"53","ON N NOBLE ST FROM W GRAND AVE (500 N) TO W ERIE ST 2.00 ","58,820.00",NA,"1","Street Resurfacing Menu",2016,58820
"54","ON N OAKLEY AVE FROM W ERIE ST (640 N) TO W 2.00 ","53,063.00",NA,"1","Street Resurfacing Menu",2016,53063
"55","ON N STAVE ST FROM W FRANCIS PL (2100 N) TO N 4.00 ","75,607.00",NA,"1","Street Resurfacing Menu",2016,75607
"56","ON N LEAVITT ST FROM W HURON ST (700 N) TO W 1.00 ","24,541.00",NA,"1","Street Resurfacing Menu",2016,24541
"57","ON N MOZART ST FROM W BLOOMINGDALE AVE (1800 N) 2.00 ","3,700.00",NA,"1","Street Speed Hump Menu",2016,3700
"58","N WESTERN AVE & W LOGAN BLVD 1.00 ","16,000.00",NA,"1","Viaduct Improvement",2016,16000
"59","2723 W HADDON AVE Install Street Light pole With Residential LED Fixture 1.00 ","5,000.00",NA,"1","Street Light Pole POD",2016,5000
