"","description","costA","costB","ward","program","year","cost"
"60","1861 N ALBANY AVE Install Pole for POD camera 1.00 ","3,500.00",NA,"1","Street Light Pole POD",2016,3500
"61","1840 W OHIO ST Talcott Elementary Artificial Turf 50000.00 ","50,000.00",NA,"1","Chicago Public Schools",2016,50000
"62","2536 W CORTLAND ST 1.00 ","27,011.00",NA,"1","High Definition Camera",2016,27011
"63","1861 N ALBANY AVE POD Camera 1.00 ","27,011.00",NA,"1","High Definition Camera",2016,27011
"64","2151 W LE MOYNE ST 1.00 ","9,175.00",NA,"2","Alley Apron Menu",2016,9175
"65","1622 N NORTH PARK AVE 1.00 ","8,701.00",NA,"2","Alley Apron Menu",2016,8701
"66","N RACINE AVE & W DICKENS AVE&N MAGNOLIA AVE & N 1.00 ","18,121.00",NA,"2","Alley Resurfacing Menu",2016,18121
"67","W OAK ST & N DEARBORN ST&W MAPLE ST & N CLARK ST 1.00 ","11,743.00",NA,"2","Alley Resurfacing Menu",2016,11743
"68","W PIERCE AVE & N ASHLAND AVE&W LE MOYNE ST & N 1.00 ","36,217.00",NA,"2","Alley Resurfacing Menu",2016,36217
"69","W WABANSIA AVE & N ELSTON AVE&W WILLOW ST & N 1.00 ","18,544.00",NA,"2","Alley Resurfacing Menu",2016,18544
"70","W OAK ST & N STATE ST&W MAPLE ST & N DEARBORN ST 1.00 ","17,894.00",NA,"2","Alley Resurfacing Menu",2016,17894
"71","N PAULINA ST & W NORTH AVE&N WOOD ST & W PIERCE 1.00 ","48,837.00",NA,"2","Alley Resurfacing Menu",2016,48837
"72","W THOMAS ST & N WINCHESTER AVE&W DIVISION ST & N 1.00 ","37,800.00",NA,"2","Alley Resurfacing Menu",2016,37800
"73","N BURLING ST & W WILLOW ST&N ORCHARD ST & W 1.00 ","3,500.00",NA,"2","Alley Speed Hump Menu",2016,3500
"74","W GOETHE ST & N STATE PKWY&W DIVISION ST & N 1.00 ","283,000.00",NA,"2","Concrete Alley Menu",2016,283000
"75","W NORTH AVE & N HOYNE AVE 0.00 ","1,109.00",NA,"2","Curb & Gutter Menu",2016,1109
"76","151 E CHICAGO AVE 0.00 ","2,687.00",NA,"2","Curb & Gutter Menu",2016,2687
"77","N DAMEN AVE & W IOWA ST 2.00 ","1,200.00",NA,"2","In-Road ""State Law Stop",2016,1200
"78","176 E CHESTNUT ST 2.00 ","700.00",NA,"2","In-Road ""State Law Stop",2016,700
"79","N ASHLAND AVE & W THOMAS ST&N MILWAUKEE AVE & ","5,900.00",NA,"2","Miscellaneous CDOT",2016,5900
"80","ON N WELLS ST FROM W OAK ST (1000 N) TO W HILL ST 0.00 ","10,572.00",NA,"2","Sidewalk Menu",2016,10572
"81","ON W OAK ST FROM N WELLS ST (200 W) TO N LA SALLE 0.00 ","13,097.00",NA,"2","Sidewalk Menu",2016,13097
"82","ON W HADDON AVE FROM N DAMEN AVE (2000 W) TO N 2.00 ","99,502.00",NA,"2","Street Resurfacing Menu",2016,99502
"83","ON N LAKEWOOD AVE FROM W DICKENS AVE (2100 N) TO 1.00 ","52,505.00",NA,"2","Street Resurfacing Menu",2016,52505
"84","ON W LE MOYNE ST FROM N GREENVIEW AVE (1500 W) TO 2.00 ","82,367.00",NA,"2","Street Resurfacing Menu",2016,82367
"85","ON N HONORE ST FROM W AUGUSTA BLVD (1000 N) TO W 1.00 ","36,044.00",NA,"2","Street Resurfacing Menu",2016,36044
"86","ON W WILLOW ST FROM N CLYBOURN AVE (1000 W) TO N 2.00 ","32,537.00",NA,"2","Street Resurfacing Menu",2016,32537
"87","ON N WAYNE AVE FROM W WEBSTER AVE (2200 N) TO N 2.00 ","39,612.00",NA,"2","Street Resurfacing Menu",2016,39612
"88","ON W MAPLE ST FROM N CLARK ST (100 W) TO N LA SALLE 1.00 ","30,559.00",NA,"2","Street Resurfacing Menu",2016,30559
"89","ON N NOBLE ST FROM W LE MOYNE ST (1500 N) TO W 1.00 ","38,916.00",NA,"2","Street Resurfacing Menu",2016,38916
"90","ON N OAKLEY AVE FROM W CHICAGO AVE (800 N) TO W 1.00 ","20,955.00",NA,"2","Street Resurfacing Menu",2016,20955
"91","ON N LEAVITT ST FROM W AUGUSTA BLVD (1000 N) TO W 1.00 ","29,136.00",NA,"2","Street Resurfacing Menu",2016,29136
"92","ON N MIES VAN DER ROHE WAY FROM E CHESTNUT ST 1.00 ","18,223.00",NA,"2","Street Resurfacing Menu",2016,18223
"93","ON W ELM ST FROM N STATE ST (1 E) TO N DEARBORN ST 1.00 ","26,065.00",NA,"2","Street Resurfacing Menu",2016,26065
"94","ON N MARCEY ST FROM W WILLOW ST (1700 N) TO N 1.00 ","29,606.00",NA,"2","Street Resurfacing Menu",2016,29606
"95","ON N NOBLE ST FROM W CRYSTAL ST (1240 N) TO W 3.00 ","112,214.00",NA,"2","Street Resurfacing Menu",2016,112214
"96","ON W WALTON ST FROM N GREENVIEW AVE (1500 W) TO N 1.00 ","54,520.00",NA,"2","Street Resurfacing Menu",2016,54520
"97","ON N GREENVIEW AVE FROM W ALTGELD ST (2500 N) TO W 2.00 ","759.00",NA,"2","Street Speed Hump Menu",2016,759
"98","N CLARK ST & W HURON ST 2.00 ","1,200.00",NA,"2","Floodlight Menu",2016,1200
"99","E DIVISION ST & N LAKE SHORE DR Install Pedestrian Countdown signal (w/ Ward 43) 1.00 ","5,000.00",NA,"2","Pedestrian Countdown",2016,5000
"100","161 W SCHILLER ST 1.00 ","450.00",NA,"2","Street Light Upgrade",2016,450
"101","W LE MOYNE ST & N LEAVITT ST; N STATE ST & W 3.00 ","81,033.00",NA,"2","High Definition Camera",2016,81033
"102","1301 S WABASH AVE 1.00 ","13,179.00",NA,"3","Alley Resurfacing Menu",2016,13179
"103","W SWANN ST & S SHIELDS AVE&W 47TH ST & S NORMAL 1.00 ","22,203.00",NA,"3","Alley Resurfacing Menu",2016,22203
"104","3800 S DR MARTIN LUTHER KING JR DR 1.00 ","17,831.00",NA,"3","Alley Resurfacing Menu",2016,17831
"105","5001-5013 S DR MARTIN LUTHER KING JR DR 2.00 ","36,054.00",NA,"3","Alley Resurfacing Menu",2016,36054
"106","E 16TH ST & S WABASH AVE&E 18TH ST & S MICHIGAN 1.00 ","51,464.00",NA,"3","Alley Resurfacing Menu",2016,51464
"107","3745-3751 S MICHIGAN AVE 1.00 ","40,221.00",NA,"3","Alley Resurfacing Menu",2016,40221
"108","S INDIANA AVE & E 16TH ST&S MICHIGAN AVE & E 18TH 1.00 ","700.00",NA,"3","Alley Speed Hump Menu",2016,700
"109","2222 S MICHIGAN AVE 1.00 ","285,000.00",NA,"3","Concrete Alley Menu",2016,285000
"110","E 18TH ST & S PRAIRIE AVE&E CULLERTON ST & S 1.00 ","54,773.00",NA,"3","Concrete Alley Menu",2016,54773
"111","3500 S MICHIGAN AVE 1.00 ","1,800.00",NA,"3","Miscellaneous CDOT",2016,1800
"112","S INDIANA AVE & E 35TH ST 1.00 ","3,600.00",NA,"3","Miscellaneous CDOT",2016,3600
"113","ON S MICHIGAN AVE FROM E 46TH ST (4600 S) TO E 47TH ST 1.00 ","140,000.00",NA,"3","Miscellaneous CDOT",2016,140000
"114","S MICHIGAN AVE & E 16TH ST 1.00 ","800.00",NA,"3","Pavement Markings",2016,800
"115","4839-4841 S PRAIRIE AVE 0.00 ","9,833.00",NA,"3","Sidewalk Menu",2016,9833
"116","ON S ARCHER AVE FROM S STATE ST (1900 S) TO S 0.00 ","40,366.00",NA,"3","Sidewalk Menu",2016,40366
"117","ON W 16TH ST FROM S CLARK ST (100 W) TO S DEARBORN 0.00 ","36,103.00",NA,"3","Sidewalk Menu",2016,36103
"118","ON W 40TH PL FROM S DEARBORN ST (36 W) TO S FEDERAL 0.00 ","4,884.00",NA,"3","Sidewalk Menu",2016,4884
"119","4030-4036 S WABASH AVE 0.00 ","15,053.00",NA,"3","Sidewalk Menu",2016,15053
"120","ON E 45TH ST FROM S PRINCETON AVE (300 W) TO S 2.00 ","90,549.00",NA,"3","Street Resurfacing Menu",2016,90549
"121","ON E 32ND ST FROM S MICHIGAN AVE (100 E) TO S 1.00 ","35,194.00",NA,"3","Street Resurfacing Menu",2016,35194
"122","ON E 41ST ST FROM S DR MARTIN LUTHER KING JR DR E 1.00 ","74,626.00",NA,"3","Street Resurfacing Menu",2016,74626
"123","ON S ST LAWRENCE AVE FROM E 45TH ST (4500 S) TO E 1.00 ","77,540.00",NA,"3","Street Resurfacing Menu",2016,77540
"124","ON S WELLS ST FROM W 45TH PL (4530 S) TO W 46TH ST 1.00 ","48,512.00",NA,"3","Street Resurfacing Menu",2016,48512
"125","S PLYMOUTH CT & W 14TH ST 1.00 ","33,648.00",NA,"3","Street Resurfacing Menu",2016,33648
"126","ON E 44TH ST FROM S DR MARTIN LUTHER KING JR DR (380 3.00 ","91,719.00",NA,"3","Street Resurfacing Menu",2016,91719
"127","ON W 43RD PL FROM S SHIELDS AVE (330 W) TO S 1.00 ","20,621.00",NA,"3","Street Resurfacing Menu",2016,20621
"128","ON S CALUMET AVE FROM E 35TH ST (3500 S) TO E 37TH ST 4.00 ","7,400.00",NA,"3","Street Speed Hump Menu",2016,7400
"129","ON S PRINCETON AVE FROM W 48TH PL (4850 S) TO W 51ST 1.00 ","9,250.00",NA,"3","Street Speed Hump Menu",2016,9250
"130","ON E 51ST ST FROM S DR MARTIN LUTHER KING JR DR E 35.00 ","26,250.00",NA,"3","Street Light Pole Painting",2016,26250
"131","ON E 18TH ST FROM S CLARK ST (120 W) TO S CALUMET Upgrade 27 400 Watt Changeouts 27.00 ","13,500.00",NA,"3","Street Light Upgrade",2016,13500
"132","ON S PRAIRIE AVE FROM E 49TH ST (4900 S) TO E 51ST ST 8.00 ","3,200.00",NA,"3","Street Light Upgrade",2016,3200
"133","3900-3920 S FEDERAL ST ","470.00",NA,"3","Miscellaneous CDOT",2016,470
"134","5433 S MICHIGAN AVE ","342.00",NA,"3","Miscellaneous CDOT",2016,342
"135","5330 S CALUMET AVE ","342.00",NA,"3","Traffic Signal",2016,342
"136","5342 S CALUMET AVE ","350.00",NA,"3","Traffic Signal",2016,350
"137","5354 S CALUMET AVE ","350.00",NA,"3","Traffic Signal",2016,350
"138","3900-3920 S FEDERAL ST; 5433 S MICHIGAN AVE 343.00 ","813.00",NA,"3","Traffic Signal",2016,813
"139","5338 S CALUMET AVE ","711.00",NA,"3","Traffic Signal",2016,711
"140","5405 S PRINCETON AVE ","350.00",NA,"3","Traffic Signal",2016,350
"141","4334 S DR MARTIN LUTHER KING JR DR ","342.00",NA,"3","Traffic Signal",2016,342
"142","3932 S LAKE PARK AVE 1.00 ","11,296.00",NA,"4","Alley Resurfacing Menu",2016,11296
"143","4210 S LANGLEY AVE 1.00 ","7,531.00",NA,"4","Alley Resurfacing Menu",2016,7531
"144","S VINCENNES AVE & E 49TH ST&S FORRESTVILLE AVE & E 1.00 ","33,201.00",NA,"4","Alley Resurfacing Menu",2016,33201
"145","W CONGRESS PKWY & S CLARK ST&W HARRISON ST & S 1.00 ","24,534.00",NA,"4","Alley Resurfacing Menu",2016,24534
"146","E OAKWOOD BLVD & S DREXEL BLVD&E 40TH ST & S 2.00 ","1,400.00",NA,"4","Alley Speed Hump Menu",2016,1400
"147","612 E 41ST ST; S VINCENNES AVE & E 40TH ST&S LANGLEY 1.00 ","108.00",NA,"4","Alley Speed Hump Menu",2016,108
"148","848 E 48TH ST; E 48TH ST & S COTTAGE GROVE AVE&S 1.00 ","700.00",NA,"4","Alley Speed Hump Menu",2016,700
"149","ON S DR MARTIN LUTHER KING JR DR FROM E 35TH ST 0.00 ","13,834.00",NA,"4","Curb & Gutter Menu",2016,13834
"150","4210 S LANGLEY AVE 0.00 ","7,514.00",NA,"4","Curb & Gutter Menu",2016,7514
"151","S PRAIRIE AVE & E 31ST ST 2.00 ","700.00",NA,"4","In-Road ""State Law Stop",2016,700
"152","4238-4240 S LANGLEY AVE 1.00 ","255.00",NA,"4","Miscellaneous CDOT",2016,255
"153","1112 S WABASH AVE 0.00 ","6,540.00",NA,"4","Sidewalk Menu",2016,6540
"154","ON S EVANS AVE FROM E 45TH ST (4500 S) TO E 46TH ST 0.00 ","43,024.00",NA,"4","Sidewalk Menu",2016,43024
"155","4359 S ST LAWRENCE AVE 0.00 ","13,759.00",NA,"4","Sidewalk Menu",2016,13759
"156","ON E 47TH DR FROM S LAKE PARK AVE (1399 E) TO S LSD 0.00 ","7,309.00",NA,"4","Sidewalk Menu",2016,7309
"157","645-655 S CLARK ST 0.00 ","16,904.00",NA,"4","Sidewalk Menu",2016,16904
"158","ON S COTTAGE GROVE AVE FROM E 33RD ST (3300 S) TO E 0.00 ","27,764.00",NA,"4","Sidewalk Menu",2016,27764
"159","1461 E HYDE PARK BLVD 1.00 ","2,374.00",NA,"4","Street Bump Outs Menu",2016,2374
"160","ON E 46TH ST FROM S COTTAGE GROVE AVE (800 E) TO S 1.00 ","73,881.00",NA,"4","Street Resurfacing Menu",2016,73881
"161","ON E 52ND ST FROM S DORCHESTER AVE (1400 E) TO S 2.00 ","66,471.00",NA,"4","Street Resurfacing Menu",2016,66471
"162","ON S FEDERAL ST FROM W HARRISON ST (600 S) TO W 1.00 ","47,983.00",NA,"4","Street Resurfacing Menu",2016,47983
"163","ON S RHODES AVE FROM E 37TH PL (3732 S) TO E PERSHING 3.00 ","62,781.00",NA,"4","Street Resurfacing Menu",2016,62781
"164","ON S LA SALLE ST FROM W HARRISON ST (600 S) TO W 1.00 ","56,575.00",NA,"4","Street Resurfacing Menu",2016,56575
"165","ON E 33RD PL FROM S COTTAGE GROVE AVE (600 E) TO S 1.00 ","21,534.00",NA,"4","Street Resurfacing Menu",2016,21534
"166","ON S KIMBARK AVE FROM E HYDE PARK BLVD (5100 S) TO 1.00 ","42,971.00",NA,"4","Street Resurfacing Menu",2016,42971
"167","ON S RHODES AVE FROM E 35TH ST (3500 S) TO E 1.00 ","35,575.00",NA,"4","Street Resurfacing Menu",2016,35575
"168","ON S LANGLEY AVE FROM E 46TH ST (4600 S) TO E 47TH ST 1.00 ","50,807.00",NA,"4","Street Resurfacing Menu",2016,50807
"169","ON S KIMBARK AVE FROM E 52ND ST (5200 S) TO E 53RD ST 1.00 ","52,940.00",NA,"4","Street Resurfacing Menu",2016,52940
"170","ON S RHODES AVE FROM E BROWNING AVE (3550 S) TO E 2.00 ","108,151.00",NA,"4","Street Resurfacing Menu",2016,108151
"171","ON E 46TH ST FROM S LANGLEY AVE (700 E) TO S 1.00 ","41,609.00",NA,"4","Street Resurfacing Menu",2016,41609
"172","ON S COTTAGE GROVE AVE FROM E 33RD ST (3300 S) TO E 3.00 ","178,044.00",NA,"4","Street Resurfacing Menu",2016,178044
"173","ON S OAKENWALD AVE FROM E 40TH ST (4000 S) TO E 41ST 1.00 ","1,850.00",NA,"4","Street Speed Hump Menu",2016,1850
"174","ON S OAKENWALD AVE FROM E 44TH PL (4430 S) TO S 1.00 ","7,400.00",NA,"4","Street Speed Hump Menu",2016,7400
"175","ON S OAKENWALD AVE FROM E 43RD ST (4300 S) TO E 44TH 1.00 ","5,550.00",NA,"4","Street Speed Hump Menu",2016,5550
"176","E 47TH ST & S LAKE PARK AVE Install Left Turn Arrow 1.00 ","167,055.00",NA,"4","Left-Turn Arrow Menu",2016,167055
"177","S COTTAGE GROVE AVE & E 35TH ST 1.00 ","11,708.00",NA,"4","Pedestrian Countdown",2016,11708
"178","ON E OAKWOOD BLVD FROM S COTTAGE GROVE AVE (799 4.00 ","1,200.00",NA,"4","Street Light Pole Painting",2016,1200
"179","S OAKENWALD AVE & E 44TH PL 1.00 ","450.00",NA,"4","Street Light Upgrade",2016,450
"180","660 E 42ND ST 1.00 ","450.00",NA,"4","Street Light Upgrade",2016,450
"181","1000 E 43RD ST 831.00 ","831.00",NA,"4","Miscellaneous CDOT",2016,831
"182","4823-4833 S EVANS AVE 1.00 ","415.00",NA,"4","Miscellaneous CDOT",2016,415
"183","E 53RD ST & S HARPER AVE&E 54TH ST & S LAKE PARK 1.00 ","19,079.00",NA,"5","Alley Resurfacing Menu",2016,19079
"184","S GREENWOOD AVE & E 71ST ST 1.00 ","17,389.00",NA,"5","Bus Pad",2016,17389
"185","E 55TH ST & S UNIVERSITY AVE ","350.00",NA,"5","In-Road ""State Law Stop",2016,350
"186","ON S CORNELL AVE FROM E HAYES DR (6299 S) TO E Median improvements. ","70,580.00",NA,"5","Miscellaneous CDOT",2016,70580
"187","1505 E 67TH PL 1.00 ","532.00",NA,"5","Miscellaneous CDOT",2016,532
"188","E 67TH ST & S JEFFERY DR 0.00 ","42,397.00",NA,"5","Sidewalk Menu",2016,42397
"189","ON S WOODLAWN AVE FROM E 72ND PL (7231 S) TO E 73RD 1.00 ","54,634.00",NA,"5","Street Resurfacing Menu",2016,54634
"190","ON E 53RD ST FROM S HYDE PARK BLVD (1700 E) TO S 1.00 ","73,688.00",NA,"5","Street Resurfacing Menu",2016,73688
"191","ON S CONSTANCE AVE FROM E 68TH ST (6800 S) TO E 70TH 2.00 ","104,495.00",NA,"5","Street Resurfacing Menu",2016,104495
"192","ON E 50TH ST FROM S CORNELL AVE (1600 E) TO S LAKE 2.00 ","78,257.00",NA,"5","Street Resurfacing Menu",2016,78257
"193","ON E 72ND ST FROM S UNIVERSITY AVE (1130 E) TO S 1.00 ","42,262.00",NA,"5","Street Resurfacing Menu",2016,42262
"194","ON S KIMBARK AVE FROM E 73RD ST (7300 S) TO E 74TH ST 1.00 ","46,781.00",NA,"5","Street Resurfacing Menu",2016,46781
"195","ON E 72ND ST FROM S PAXTON AVE (2200 E) TO S LUELLA 1.00 ","20,419.00",NA,"5","Street Resurfacing Menu",2016,20419
"196","ON S GREENWOOD AVE FROM E 65TH ST (6500 S) TO E 1.00 ","48,718.00",NA,"5","Street Resurfacing Menu",2016,48718
"197","S KENWOOD AVE & E 70TH ST 1.00 ","71,531.00",NA,"5","Street Resurfacing Menu",2016,71531
"198","S DORCHESTER AVE & E 67TH ST 1.00 ","4,501.00",NA,"5","Viaduct Improvement",2016,4501
"199","S KIMBARK AVE & E 73RD ST 1.00 ","20,178.00",NA,"5","Viaduct Improvement",2016,20178
"200","E 56TH ST & S STONY ISLAND AVE 1.00 ","51,000.00",NA,"5","Viaduct Improvement",2016,51000
"201","S SOUTH SHORE DR & E 67TH ST Install Pedestrian Countdown South leg of South Shore & 67th St. 1.00 ","6,100.00",NA,"5","Pedestrian Countdown",2016,6100
"202","E 69TH ST & S STONY ISLAND AVE 1.00 ","12,000.00",NA,"5","Traffic Signal Upgrades",2016,12000
"203","ON E 53RD ST FROM S COTTAGE GROVE AVE (800 E) TO S 2.00 ","171,600.00",NA,"5","Street Light Residential",2016,171600
"204","1507 E 67TH PL 532.00 ","532.00",NA,"5","Traffic Signal",2016,532
"205","ON W 68TH ST FROM S INDIANA AVE (200 E) TO S PRAIRIE 1.00 ","37,037.00",NA,"6","Alley Apron Menu",2016,37037
"206","W 69TH ST & S SANGAMON ST&W 70TH ST & S PEORIA ST 1.00 ","56,744.00",NA,"6","Alley Resurfacing Menu",2016,56744
"207","E 75TH ST & S PRAIRIE AVE 1.00 ","49,470.00",NA,"6","Diagonal Parking Menu",2016,49470
"208","ON S CALUMET AVE FROM E 72ND ST (7200 S) TO E 73RD ST 0.00 ","4,713.00",NA,"6","Sidewalk Menu",2016,4713
"209","8009-8015 S WABASH AVE 0.00 ","11,435.00",NA,"6","Sidewalk Menu",2016,11435
"210","7601 S EVANS AVE 0.00 ","23,215.00",NA,"6","Sidewalk Menu",2016,23215
"211","611 W 70TH ST 0.00 ","36,570.00",NA,"6","Sidewalk Menu",2016,36570
"212","ON S CALUMET AVE FROM E 78TH ST (7800 S) TO E 79TH ST 1.00 ","49,884.00",NA,"6","Street Resurfacing Menu",2016,49884
"213","ON S UNION AVE FROM W 71ST ST (7100 S) TO W 72ND ST 1.00 ","43,500.00",NA,"6","Street Resurfacing Menu",2016,43500
"214","ON S UNION AVE FROM W 73RD ST (7300 S) TO W 74TH ST 1.00 ","4,574.00",NA,"6","Street Resurfacing Menu",2016,4574
"215","ON E 68TH ST FROM S PRAIRIE AVE (300 E) TO S INDIANA 1.00 ","53,062.00",NA,"6","Street Resurfacing Menu",2016,53062
"216","ON E 70TH ST FROM S STATE ST (0 E) TO S INDIANA AVE 3.00 ","163,499.00",NA,"6","Street Resurfacing Menu",2016,163499
"217","ON E 89TH ST FROM S LANGLEY AVE (700 E) TO S ST 1.00 ","53,602.00",NA,"6","Street Resurfacing Menu",2016,53602
