"","description","costA","costB","ward","program","year","cost"
"21","W DIVISION ST & N PAULINA ST 1.00 ","133.00",NA,"1","In-Road ""State Law Stop",2013,133
"22","N MAPLEWOOD AVE & N MILWAUKEE AVE 1.00 ","550.00",NA,"1","In-Road ""State Law Stop",2013,550
"23","N DAMEN AVE & W EVERGREEN AVE 1.00 ","950.00",NA,"1","In-Road ""State Law Stop",2013,950
"24","N MILWAUKEE AVE & W MEDILL AVE 1.00 ","550.00",NA,"1","In-Road ""State Law Stop",2013,550
"25","ON W CORTLAND ST FROM N WHIPPLE ST (3040 W) TO N 0.00 ","9,506.00",NA,"1","Sidewalk Menu",2013,9506
"26","ON N TALMAN AVE FROM W WABANSIA AV (1700 N) TO W 0.00 ","1,597.00",NA,"1","Sidewalk Menu",2013,1597
"27","ON W CORTLAND ST FROM N ALBANY AVE (3100 W) TO N 0.00 ","1,098.00",NA,"1","Sidewalk Menu",2013,1098
"28","ON N FAIRFIELD AVE FROM W ALTGELD ST (2500 N) TO 0.00 ","3,167.00",NA,"1","Sidewalk Menu",2013,3167
"29","ON N ROCKWELL ST FROM W HOMER ST (1932 N) TO W 0.00 ","14,261.00",NA,"1","Sidewalk Menu",2013,14261
"30","ON N HERMITAGE AVE FROM W WALTON ST (900 N) TO W 0.00 ","4,962.00",NA,"1","Sidewalk Menu",2013,4962
"31","ON W ELLEN ST FROM N HONORE ST (1822 W) TO N MARION 0.00 ","1,858.00",NA,"1","Sidewalk Menu",2013,1858
"32","ON W ELLEN ST FROM N MARION CT (1838 W) TO N 0.00 ","1,449.00",NA,"1","Sidewalk Menu",2013,1449
"33","ON W CHARLESTON ST FROM N WESTERN AVE (2400 W) TO 0.00 ","2,845.00",NA,"1","Sidewalk Menu",2013,2845
"34","ON W THOMAS ST FROM N WESTERN AV (2400 W) TO N 1.00 ","37,213.00",NA,"1","Street Resurfacing Menu",2013,37213
"35","ON W ST GEORGES CT FROM N MILWAUKEE AV (2740 W) TO 1.00 ","26,437.00",NA,"1","Street Resurfacing Menu",2013,26437
"36","ON W SHAKESPEARE AVE FROM N CAMPBELL AV (2450 W) 1.00 ","35,894.00",NA,"1","Street Resurfacing Menu",2013,35894
"37","ON N OAKLEY BLVD FROM W CORTEZ ST (1032 N) TO W 2.00 ","3,700.00",NA,"1","Street Speed Hump Menu",2013,3700
"38","ON W HADDON AVE FROM N WESTERN AV (2400 W) TO N 1.00 ","3,700.00",NA,"1","Street Speed Hump Menu",2013,3700
"39","ON W CORTLAND ST FROM N ROCKWELL ST (2600 W) TO N 1.00 ","3,700.00",NA,"1","Street Speed Hump Menu",2013,3700
"40","ON W SHAKESPEARE AVE FROM N CAMPBELL AV (2450 W) 1.00 ","3,700.00",NA,"1","Street Speed Hump Menu",2013,3700
"41","ON W ST GEORGES CT FROM N MILWAUKEE AV (2740 W) TO 1.00 ","1,850.00",NA,"1","Street Speed Hump Menu",2013,1850
"42","ON W THOMAS ST FROM N WASHTENAW AV (2700 W) TO N 1.00 ","3,700.00",NA,"1","Street Speed Hump Menu",2013,3700
"43","ON W THOMAS ST FROM N WESTERN AV (2400 W) TO N 1.00 ","3,700.00",NA,"1","Street Speed Hump Menu",2013,3700
"44","ON W CRYSTAL ST FROM N WOLCOTT AV (1900 W) TO N 1.00 ","3,700.00",NA,"1","Street Speed Hump Menu",2013,3700
"45","ON N WASHTENAW AVE FROM W HADDON AV (1132 N) TO 1.00 ","1,850.00",NA,"1","Street Speed Hump Menu",2013,1850
"46","537 N BISHOP ST 1.00 ","250.00",NA,"1","Floodlight Menu",2013,250
"47","539 N BISHOP ST 1.00 ","250.00",NA,"1","Floodlight Menu",2013,250
"48","1725 N FAIRFIELD AVE 1.00 ","350.00",NA,"1","Street Light Upgrade",2013,350
"49","ON N BISHOP ST FROM W GRAND AVE (500 N) TO W OHIO 2.00 ","700.00",NA,"1","Street Light Upgrade",2013,700
"50","Haas Park (TPC = ","2 million) ","450,000.00","1","Chicago Park District",2013,450000
"51","937 N WOOD ST ","125,000.00",NA,"1","Miscellaneous Other",2013,125000
"52","LaSalle School Playground (TPC = ","25,000 2012 menu also) ","23,808.00","1","School Projects",2013,23808
"53","S CANAL ST & W ADAMS ST&S CLINTON ST & W MONROE 1.00 ","13,571.00",NA,"2","Alley Resurfacing Menu",2013,13571
"54","W MADISON ST & N CALIFORNIA AVE&W WARREN BLVD 1.00 ","3,244.00",NA,"2","Alley Resurfacing Menu",2013,3244
"55","W FLOURNOY ST & S MAPLEWOOD AVE&W LEXINGTON ST 1.00 ","17,799.00",NA,"2","Alley Resurfacing Menu",2013,17799
"56","ON W WARREN AVE FROM 2271 W TO N LEAVITT ST (2200 1.00 ","1,300.00",NA,"2","Bollard Menu",2013,1300
"57","ON W JACKSON BLVD FROM S ASHLAND AVE (1600 W) TO S 0.00 ","73,366.00",NA,"2","Curb & Gutter Menu",2013,73366
"58","ON N SEELEY AVE FROM 135 N TO W MAYPOLE AVE (130 N) 1.00 ","1,000.00",NA,"2","Guardrail Menu",2013,1000
"59","E MCFETRIDGE DR & S MUSEUM CAMPUS DR 1.00 ","550.00",NA,"2","In-Road ""State Law Stop",2013,550
"60","W AUGUSTA BLVD & N HOYNE AVE 1.00 ","950.00",NA,"2","In-Road ""State Law Stop",2013,950
"61","1319 S STATE ST ","34,200.00",NA,"2","Miscellaneous Other",2013,34200
"62","S STATE ST & W MADISON ST replacing decorative waste receptacles ","2,800.00",NA,"2","Miscellaneous Other",2013,2800
"63","2830 W MADISON ST ","1,185.00",NA,"2","Miscellaneous Other",2013,1185
"64","ON S CALUMET AVE FROM E 33RD BLVD (3300 S) TO E 35TH ","131,134.00",NA,"2","Miscellaneous Other",2013,131134
"65","S WABASH AVE & E ROOSEVELT RD 1.00 ","3,700.00",NA,"2","Pavement Markings",2013,3700
"66","ON S WASHTENAW AVE FROM W MADISON ST (1 N) TO W 0.00 ","12,564.00",NA,"2","Sidewalk Menu",2013,12564
"67","ON N MIES VAN DER ROHE WAY FROM E PEARSON ST (830 0.00 ","12,980.00",NA,"2","Sidewalk Menu",2013,12980
"68","ON E 26TH ST FROM S INDIANA AVE (200 E) TO S PRAIRIE 0.00 ","26,248.00",NA,"2","Sidewalk Menu",2013,26248
"69","ON S WOOD ST FROM W WASHBURNE AVE (1230 S) TO W 0.00 ","15,926.00",NA,"2","Sidewalk Menu",2013,15926
"70","ON S WOOD ST FROM W 14 ST (1400 S) TO W 15 ST (1500 S) 0.00 ","73,530.00",NA,"2","Sidewalk Menu",2013,73530
"71","ON E PEARSON ST FROM N MIES VAN DER ROHE WAY (200 0.00 ","14,152.00",NA,"2","Sidewalk Menu",2013,14152
"72","ON W JACKSON BLVD FROM S LOOMIS ST (1400 W) TO S 1.00 ","33,877.00",NA,"2","Street Bump Outs Menu",2013,33877
"73","ON E 26TH ST FROM S WABASH AVE (40 E) TO S MICHIGAN 1.00 ","55,456.00",NA,"2","Street Resurfacing Menu",2013,55456
"74","ON E SOLIDARITY DR FROM S OLD LAKE SHORE DR E (500 1.00 ","31,966.00",NA,"2","Street Resurfacing Menu",2013,31966
"75","ON E 28TH ST FROM S WABASH AVE (40 E) TO S MICHIGAN 1.00 ","28,337.00",NA,"2","Street Resurfacing Menu",2013,28337
"76","ON S THROOP ST FROM W JACKSON BLVD (300 S) TO W 1.00 ","32,177.00",NA,"2","Street Resurfacing Menu",2013,32177
"77","ON N TALMAN AVE FROM W MAYPOLE AVE (130 N) TO W 1.00 ","21,634.00",NA,"2","Street Resurfacing Menu",2013,21634
"78","ON W POLK ST FROM S WESTERN AVE (2400 W) TO S 1.00 ","43,551.00",NA,"2","Street Resurfacing Menu",2013,43551
"79","ON W MAXWELL ST FROM S CLINTON ST (540 W) TO S 1.00 ","29,457.00",NA,"2","Street Resurfacing Menu",2013,29457
"80","ON N WELLS ST FROM W HARRISON ST (600 S) TO W POLK 1.00 ","35,796.00",NA,"2","Street Resurfacing Menu",2013,35796
"81","ON S WOOD ST FROM W TAYLOR ST (1000 S) TO W 3.00 ","103,262.00",NA,"2","Street Resurfacing Menu",2013,103262
"82","ON S FINANCIAL PL FROM W HARRISON ST (600 S) TO W 1.00 ","50,834.00",NA,"2","Street Resurfacing Menu",2013,50834
"83","ON S CAMPBELL AVE FROM W POLK ST (800 S) TO W 1.00 ","40,544.00",NA,"2","Street Resurfacing Menu",2013,40544
"84","ON S CAMPBELL AVE FROM W FLOURNOY ST (700 S) TO W 1.00 ","42,819.00",NA,"2","Street Resurfacing Menu",2013,42819
"85","ON W JACKSON BLVD FROM S SEELEY AVE (2030 W) TO S ","450.00",NA,"2","Street Light Piggy Back",2013,450
"86","ON S CANAL ST FROM W ROOSEVELT RD (1200 S) TO W ","3,000.00",NA,"2","Street Light Piggy Back",2013,3000
"87","ON S PRAIRIE AVE FROM E 16TH ST (1600 S) TO E 18TH ST 1.00 ","1,000.00",NA,"2","Street Light Piggy Back",2013,1000
"88","ON S CAMPBELL AVE FROM W MADISON ST (0 S) TO W 8.00 ","1,600.00",NA,"2","Street Light Pole Painting",2013,1600
"89","ON E BALBO AVE FROM S STATE ST (1 E) TO S MICHIGAN 3.00 ","1,500.00",NA,"2","Street Light Pole Painting",2013,1500
"90","ON S DR MARTIN LUTHER KING JR DR FROM E 26TH ST 34.00 ","10,200.00",NA,"2","Street Light Pole Painting",2013,10200
"91","ON S FEDERAL ST FROM W 13TH ST (1300 S) TO W POLK ST 5.00 ","1,000.00",NA,"2","Street Light Pole Painting",2013,1000
"92","ON W HARRISON ST FROM W OGDEN AVE (1940 W) TO S 4.00 ","1,200.00",NA,"2","Street Light Pole Painting",2013,1200
"93","ON W ROOSEVELT RD FROM S DAMEN AVE (2000 W) TO W 77.00 ","23,100.00",NA,"2","Street Light Pole Painting",2013,23100
"94","ON S GREEN ST FROM W VAN BUREN ST (400 S) TO W 2.00 ","600.00",NA,"2","Street Light Pole Painting",2013,600
"95","ON W ADAMS ST FROM S FRANKLIN ST (300 W) TO S WELLS 5.00 ","1,500.00",NA,"2","Street Light Pole Painting",2013,1500
"96","ON S WOOD ST FROM W MONROE ST (100 S) TO W JACKSON 8.00 ","1,800.00",NA,"2","Street Light Pole Painting",2013,1800
"97","ON S SEELEY AVE FROM W MADISON ST (0 S) TO W VAN 11.00 ","3,300.00",NA,"2","Street Light Pole Painting",2013,3300
"98","S MORGAN ST (1000 W) ","2,400.00",NA,"2","Street Light Pole Painting",2013,2400
"99","ON W 13TH ST FROM S WOOD ST (1800 W) TO S WOLCOTT 8.00 ","2,400.00",NA,"2","Street Light Pole Painting",2013,2400
"100","ON S MARSHFIELD AVE FROM W POLK ST (800 S) TO W 9.00 ","2,500.00",NA,"2","Street Light Pole Painting",2013,2500
"101","ON S WESTERN AVE FROM W VAN BUREN ST (400 S) TO W 6.00 ","1,800.00",NA,"2","Street Light Pole Painting",2013,1800
"102","ON S CALUMET AVE FROM E 26TH ST (2600 S) TO E 29TH ST 19.00 ","5,700.00",NA,"2","Street Light Pole Painting",2013,5700
"103","ON S PLYMOUTH CT FROM W 9TH ST (900 S) TO W 11TH PL 8.00 ","1,600.00",NA,"2","Street Light Pole Painting",2013,1600
"104","ON S CONGRESS PLAZA DR FROM E HARRISON ST (600 S) 33.00 ","9,900.00",NA,"2","Street Light Pole Painting",2013,9900
"105","ON S INDIANA AVE FROM E ROOSEVELT RD (1200 S) TO E 42.00 ","12,600.00",NA,"2","Street Light Pole Painting",2013,12600
"106","ON S HOYNE AVE FROM W ADAMS ST (200 S) TO W VAN 8.00 ","1,600.00",NA,"2","Street Light Pole Painting",2013,1600
"107","ON S FRANCISCO AVE FROM W HARRISON ST (600 S) TO W 2.00 ","600.00",NA,"2","Street Light Pole Painting",2013,600
"108","ON E 8TH ST FROM S MICHIGAN AVE (100 E) TO S STATE ST 5.00 ","1,500.00",NA,"2","Street Light Pole Painting",2013,1500
"109","ON S LEAVITT ST FROM W ROOSEVELT RD (1200 S) TO W 4.00 ","1,200.00",NA,"2","Street Light Pole Painting",2013,1200
"110","ON S PRAIRIE AVE FROM E 16TH ST (1600 S) TO E 18TH ST 11.00 ","3,300.00",NA,"2","Street Light Pole Painting",2013,3300
"111","ON S PAULINA ST FROM W POLK ST (800 S) TO W TAYLOR 10.00 ","3,000.00",NA,"2","Street Light Pole Painting",2013,3000
"112","ON E 21ST ST FROM S CALUMET AVE (334 E) TO S INDIANA 5.00 ","1,500.00",NA,"2","Street Light Pole Painting",2013,1500
"113","ON W 13TH ST FROM S LEAVITT ST (2200 W) TO S HOYNE 4.00 ","1,200.00",NA,"2","Street Light Pole Painting",2013,1200
"114","ON S PAULINA ST FROM W ROOSEVELT RD (1200 S) TO W 16.00 ","4,800.00",NA,"2","Street Light Pole Painting",2013,4800
"115","ON E HARRISON ST FROM S MICHIGAN AVE (100 E) TO S 6.00 ","1,800.00",NA,"2","Street Light Pole Painting",2013,1800
"116","ON W GRENSHAW ST FROM S THROOP ST (1300 W) TO S 1.00 ","72,000.00",NA,"2","Street Light Residential",2013,72000
"117","ON S THROOP ST FROM W TAYLOR ST (1000 S) TO W 1.00 ","72,000.00",NA,"2","Street Light Residential",2013,72000
"118","ON W 13TH ST FROM S WOOD ST (1800 W) TO S WOLCOTT 8.00 ","3,200.00",NA,"2","Street Light Upgrade",2013,3200
"119","ON S FRANCISCO AVE FROM W HARRISON ST (600 S) TO W 2.00 ","800.00",NA,"2","Street Light Upgrade",2013,800
"120","ON S MARSHFIELD AVE FROM W POLK ST (800 S) TO W 7.00 ","2,800.00",NA,"2","Street Light Upgrade",2013,2800
"121","ON E 21ST ST FROM S CALUMET AVE (334 E) TO S INDIANA 5.00 ","2,000.00",NA,"2","Street Light Upgrade",2013,2000
"122","ON S PLYMOUTH CT FROM W 9TH ST (900 S) TO W 11TH PL 5.00 ","1,750.00",NA,"2","Street Light Upgrade",2013,1750
"123","ON W HARRISON ST FROM W OGDEN AVE (1940 W) TO S 3.00 ","1,200.00",NA,"2","Street Light Upgrade",2013,1200
"124","ON S LEAVITT ST FROM W ROOSEVELT RD (1200 S) TO W 4.00 ","1,600.00",NA,"2","Street Light Upgrade",2013,1600
"125","ON S SEELEY AVE FROM W MADISON ST (0 S) TO W ADAMS 5.00 ","2,000.00",NA,"2","Street Light Upgrade",2013,2000
"126","ON W 13TH ST FROM S LEAVITT ST (2200 W) TO S HOYNE 4.00 ","1,600.00",NA,"2","Street Light Upgrade",2013,1600
"127","ON S HOYNE AVE FROM W JACKSON BLVD (300 S) TO W 4.00 ","1,400.00",NA,"2","Street Light Upgrade",2013,1400
"128","ON S FEDERAL ST FROM W 13TH ST (1300 S) TO W POLK ST 5.00 ","1,750.00",NA,"2","Street Light Upgrade",2013,1750
"129","ON S PRAIRIE AVE FROM E 16TH ST (1600 S) TO E 18TH ST 10.00 ","4,000.00",NA,"2","Street Light Upgrade",2013,4000
"130","ON S PAULINA ST FROM W POLK ST (800 S) TO W TAYLOR 10.00 ","4,000.00",NA,"2","Street Light Upgrade",2013,4000
"131","ON S PAULINA ST FROM W ROOSEVELT RD (1200 S) TO W 8.00 ","3,200.00",NA,"2","Street Light Upgrade",2013,3200
"132","ON W MAXWELL ST FROM S BLUE ISLAND AVE (1133 W) TO 8.00 ","3,200.00",NA,"2","Street Light Upgrade",2013,3200
"133","ON S GREEN ST FROM W VAN BUREN ST (400 S) TO W 2.00 ","800.00",NA,"2","Street Light Upgrade",2013,800
"134","ON S CAMPBELL AVE FROM W MONROE ST (100 S) TO W 5.00 ","2,000.00",NA,"2","Street Light Upgrade",2013,2000
"135","ON S WESTERN AVE FROM W VAN BUREN ST (400 S) TO W 6.00 ","3,700.00",NA,"2","Traffic Equipment",2013,3700
"136","ON S STATE ST FROM W CONGRESS PKWY (500 S) TO W 14.00 ","5,500.00",NA,"2","Traffic Equipment",2013,5500
"137","ON S PRAIRIE AVE FROM E 16TH ST (1600 S) TO E 18TH ST 1.00 ","200.00",NA,"2","Traffic Equipment",2013,200
"138","ON S DR MARTIN LUTHER KING JR DR FROM E 26TH ST 3.00 ","1,900.00",NA,"2","Traffic Equipment",2013,1900
"139","ON W ROOSEVELT RD FROM S DAMEN AVE (2000 W) TO W 3.00 ","6,900.00",NA,"2","Traffic Equipment",2013,6900
"140","ON S CONGRESS PLAZA DR FROM E HARRISON ST (600 S) 2.00 ","2,100.00",NA,"2","Traffic Equipment",2013,2100
"141","2624 W WILCOX ST 34 trees planted ","18,841.00",NA,"2","Miscellaneous Other",2013,18841
"142","E 43RD ST & E 44TH ST & S INDIANA AVE & S PRAIRIE AVE 1.00 ","42,920.00",NA,"3","Alley Resurfacing Menu",2013,42920
"143","E 44TH ST & E 45TH ST & S INDIANA AVE & S PRAIRIE AVE 1.00 ","30,362.00",NA,"3","Alley Resurfacing Menu",2013,30362
"144","S CALUMET AVE & E 47TH ST&S DR MARTIN LUTHER KING 1.00 ","2,100.00",NA,"3","Alley Speed Hump Menu",2013,2100
"145","E 44TH ST & S ST LAWRENCE AVE&E 44TH PL & S 1.00 ","158,000.00",NA,"3","Concrete Alley Menu",2013,158000
"146","E CULLERTON ST & S CALUMET AVE&E 21ST ST & S 1.00 ","245,000.00",NA,"3","Concrete Alley Menu",2013,245000
"147","ON S CALUMET AVE FROM E 45 ST (4500 S) TO E 46 ST (4600 0.00 ","36,541.00",NA,"3","Curb & Gutter Menu",2013,36541
"148","Trees on MLK Drive (2012 installation) ","963.00",NA,"3","Miscellaneous Other",2013,963
"149","ON S PRAIRIE AVE FROM E 49 ST (4900 S) TO E 50 ST (5000 S) 0.00 ","19,299.00",NA,"3","Sidewalk Menu",2013,19299
"150","ON S WENTWORTH AVE FROM S TO W ROOT ST (4130 S) 0.00 ","23,791.00",NA,"3","Sidewalk Menu",2013,23791
"151","ON S WABASH AVE FROM E 47 ST (4700 S) TO E 48 ST (4800 S) 0.00 ","9,936.00",NA,"3","Sidewalk Menu",2013,9936
"152","ON E 44TH ST FROM S INDIANA AV (200 E) TO S PRAIRIE AV 1.00 ","39,739.00",NA,"3","Street Resurfacing Menu",2013,39739
"153","ON W 43RD PL FROM S WENTWORTH AV (200 W) TO S 1.00 ","43,172.00",NA,"3","Street Resurfacing Menu",2013,43172
"154","ON E 53RD ST FROM S WELLS ST (240 W) TO S SHIELDS AVE 2.00 ","69,679.00",NA,"3","Street Resurfacing Menu",2013,69679
"155","ON E 18TH ST FROM S STATE ST (0 E) TO S CLARK ST (100 W) 1.00 ","43,331.00",NA,"3","Street Resurfacing Menu",2013,43331
"156","ON S SHIELDS AVE FROM W 46 PL (4624 S) TO W 47 ST (4700 2.00 ","48,232.00",NA,"3","Street Resurfacing Menu",2013,48232
"157","ON E 49TH ST FROM S INDIANA AV (200 E) TO S PRAIRIE AV 1.00 ","29,582.00",NA,"3","Street Resurfacing Menu",2013,29582
"158","ON E 44TH ST FROM S PRAIRIE AV (236 E) TO S CALUMET 1.00 ","33,791.00",NA,"3","Street Resurfacing Menu",2013,33791
"159","ON E 44TH ST FROM S CALUMET AV (320 E) TO DR. MARTIN 1.00 ","27,749.00",NA,"3","Street Resurfacing Menu",2013,27749
"160","ON W 25TH PL FROM S DEARBORN ST (36 W) TO S FEDERAL 2.00 ","1,200.00",NA,"3","Floodlight Menu",2013,1200
"161","425 E 44TH ST 1.00 ","600.00",NA,"3","Floodlight Menu",2013,600
"162","320 E 47TH ST 12.00 ","12,000.00",NA,"3","Floodlight Menu",2013,12000
"163","ON E GARFIELD BLVD FROM S PRAIRIE AV (236 E) TO DR. 7.00 ","4,200.00",NA,"3","Floodlight Menu",2013,4200
"164","S PRAIRIE AVE & E 15TH PL 2.00 ","1,200.00",NA,"3","Floodlight Menu",2013,1200
"165","S INDIANA AVE & E PERSHING RD ","15,900.00",NA,"3","Left-Turn Arrow Menu",2013,15900
"166","E PERSHING RD & S INDIANA AVE ","59,254.00",NA,"3","Left-Turn Arrow Menu",2013,59254
"167","ON S WALLACE ST FROM W 53 ST (5300 S) TO W 54 ST (5400 1.00 ","64,000.00",NA,"3","Street Light Residential",2013,64000
"168","ON E 46TH PL FROM DR. MARTIN LUTHER KING JR. DR (400 2.00 ","144,000.00",NA,"3","Street Light Residential",2013,144000
"169","ON E GARFIELD BLVD FROM S PRAIRIE AV (236 E) TO DR. 19.00 ","7,600.00",NA,"3","Street Light Upgrade",2013,7600
"170","ON S PRAIRIE AVE FROM E 14TH ST (1360 S) TO E 15TH PL 11.00 ","3,800.00",NA,"3","Street Light Upgrade",2013,3800
"171","227 E 31ST ST 1.00 ","400.00",NA,"3","Street Light Upgrade",2013,400
"172","417 E 44TH ST 1.00 ","400.00",NA,"3","Street Light Upgrade",2013,400
"173","433 E 44TH ST 1.00 ","400.00",NA,"3","Street Light Upgrade",2013,400
"174","301 E 31ST ST 1.00 ","400.00",NA,"3","Street Light Upgrade",2013,400
"175","247 E 31ST ST 1.00 ","400.00",NA,"3","Street Light Upgrade",2013,400
"176","E 53RD ST & S WABASH AVE 1.00 ","15,085.00",NA,"3","Traffic Signal LED",2013,15085
"177","E 45TH ST & S WABASH AVE 1.00 ","15,085.00",NA,"3","Traffic Signal LED",2013,15085
"178","E 53RD ST & S STATE ST ","19,967.00",NA,"3","Traffic Signal LED",2013,19967
"179","E 41ST ST & S WABASH AVE 1.00 ","15,921.00",NA,"3","Traffic Signal LED",2013,15921
"180","4433 S ST LAWRENCE AVE Armstrong Park Improvements - ","34,000.00",NA,"3","Chicago Park District",2013,34000
"181","S LAKE PARK AVE & E 43RD ST&S GREENWOOD AVE & E 1.00 ","33,958.00",NA,"4","Alley Resurfacing Menu",2013,33958
"182","S ELLIS AVE & S DREXEL AVE & E 42ND ST & E 43RD ST 1.00 ","57,744.00",NA,"4","Alley Resurfacing Menu",2013,57744
"183","E 47TH ST & S ELLIS AVE&E 48TH ST & S GREENWOOD 1.00 ","12,474.00",NA,"4","Alley Resurfacing Menu",2013,12474
"184","E 53RD ST & S KIMBARK AVE&E 54TH ST & S DORCHESTER 1.00 ","15,312.00",NA,"4","Alley Resurfacing Menu",2013,15312
"185","E HYDE PARK BLVD & S DREXEL BLVD&E 50TH ST & S 1.00 ","40,446.00",NA,"4","Alley Resurfacing Menu",2013,40446
"186","S DREXEL BLVD & S COTTAGE GROVE AVE&E 40TH ST & S 1.00 ","10,924.00",NA,"4","Alley Resurfacing Menu",2013,10924
"187","E 47TH ST & S EVANS AVE&E 48TH ST & S LANGLEY AVE 1.00 ","700.00",NA,"4","Alley Speed Hump Menu",2013,700
"188","S LANGLEY AVE & S EVANS AVE & E 47TH ST & E 48TH ST 1.00 ","2,800.00",NA,"4","Alley Speed Hump Menu",2013,2800
"189","ON S GREENWOOD AVE FROM E 44TH ST (4400 S) TO E 45TH 0.00 ","26,843.00",NA,"4","Curb & Gutter Menu",2013,26843
"190","ON E 52ND ST FROM S COTTAGE GROVE AVE (800 E) TO S 0.00 ","93,926.00",NA,"4","Curb & Gutter Menu",2013,93926
"191","ON E 40TH ST FROM S ELLIS AVE (900 E) TO S LAKE PARK 0.00 ","48,688.00",NA,"4","Curb & Gutter Menu",2013,48688
"192","ON S DREXEL AVE FROM E 48TH ST (4800 S) TO E 49TH ST 0.00 ","36,437.00",NA,"4","Curb & Gutter Menu",2013,36437
"193","ON S EAST END AVE FROM E 50TH ST (5000 S) TO E HYDE 0.00 ","13,251.00",NA,"4","Curb & Gutter Menu",2013,13251
"194","ON E 44TH ST FROM S DREXEL BLVD (900 E) TO S ELLIS 0.00 ","10,416.00",NA,"4","Curb & Gutter Menu",2013,10416
"195","ON S DORCHESTER AVE FROM E 50TH ST (5000 S) TO E 0.00 ","64,687.00",NA,"4","Curb & Gutter Menu",2013,64687
"196","ON E PERSHING RD FROM S ELLIS AV (839 E) TO S ELLIS AV 0.00 ","25,647.00",NA,"4","Curb & Gutter Menu",2013,25647
"197","ON E 47TH ST FROM S ELLIS AV (1000 E) TO S GREENWOOD 0.00 ","9,871.00",NA,"4","Curb & Gutter Menu",2013,9871
"198","E 53RD ST & S KENWOOD AVE 1.00 ","550.00",NA,"4","In-Road ""State Law Stop",2013,550
"199","ON E 40TH ST FROM S ELLIS AV (923 E) TO S LAKE PARK AV 0.00 ","34,935.00",NA,"4","Sidewalk Menu",2013,34935
"200","ON E 50TH ST FROM S CORNELL AV (1620 E) TO S EAST END 0.00 ","3,238.00",NA,"4","Sidewalk Menu",2013,3238
"201","ON E 41ST ST FROM S LANGLEY AVE (700 E) TO S COTTAGE 0.00 ","90,316.00",NA,"4","Sidewalk Menu",2013,90316
"202","ON S EVANS AVE FROM E 48TH ST (4800 S) TO E 49TH ST 0.00 ","530.00",NA,"4","Sidewalk Menu",2013,530
"203","ON S VINCENNES AVE FROM E 42 ST (4200 S) TO E 42 PL 0.00 ","17,808.00",NA,"4","Sidewalk Menu",2013,17808
"204","ON E 44TH ST FROM S GREENWOOD AVE (1100 E) TO S 0.00 ","52,515.00",NA,"4","Sidewalk Menu",2013,52515
