"","description","costA","costB","ward","program","year","cost"
"1","ON W CHARLESTON ST FROM 2424 W TO N WESTERN AV 1.00 ","8,877.00",NA,"1","Alley Apron Menu",2013,8877
"2","ON W WABANSIA AVE FROM 2645 W TO N ROCKWELL ST 1.00 ","8,581.00",NA,"1","Alley Apron Menu",2013,8581
"3","ON N CLAREMONT AVE FROM 1544 N TO W LE MOYNE ST 1.00 ","10,298.00",NA,"1","Alley Apron Menu",2013,10298
"4","ON N MARSHFIELD AVE FROM 839 N TO W PEARSON ST (840 1.00 ","10,004.00",NA,"1","Alley Apron Menu",2013,10004
"5","W WABANSIA AVE & W NORTH AVE & N WASHTENAW AVE 1.00 ","10,614.00",NA,"1","Alley Resurfacing Menu",2013,10614
"6","N WESTERN AVE & N OAKLEY AVE & W WALTON ST & W 1.00 ","4,200.00",NA,"1","Alley Speed Hump Menu",2013,4200
"7","W THOMAS ST & W CORTEZ ST & N WASHTENAW AVE & N 1.00 ","2,800.00",NA,"1","Alley Speed Hump Menu",2013,2800
"8","N MILWAUKEE AVE & W EVERGREEN AVE & N HONORE ST 1.00 ","1,400.00",NA,"1","Alley Speed Hump Menu",2013,1400
"9","ON N WOOD ST FROM W AUGUSTA BV (1000 N) TO N 1.00 ","50,000.00",NA,"1","Bike Lane/Marked",2013,50000
"10","N HONORE ST & N WOOD ST & W ELLEN ST & W DIVISION 1.00 ","246,000.00",NA,"1","Concrete Alley Menu",2013,246000
"11","N STAVE ST & N POINT ST & W JULIA CT & W ST HELEN CT 1.00 ","136,000.00",NA,"1","Concrete Alley Menu",2013,136000
"12","ON W AUGUSTA BLVD FROM N FAIRFIELD AV (2732 W) TO 0.00 ","23,400.00",NA,"1","Curb & Gutter Menu",2013,23400
"13","ON N WOOD ST FROM W AUGUSTA BV (1000 N) TO W 0.00 ","2,717.00",NA,"1","Curb & Gutter Menu",2013,2717
"14","ON W BLOOMINGDALE AVE FROM N WASHTENAW AVE 0.00 ","7,272.00",NA,"1","Curb & Gutter Menu",2013,7272
"15","ON W BLOOMINGDALE AVE FROM N TALMAN AV (2632 W) 0.00 ","20,659.00",NA,"1","Curb & Gutter Menu",2013,20659
"16","N MILWAUKEE AVE & N HONORE ST 1.00 ","950.00",NA,"1","In-Road ""State Law Stop",2013,950
"17","W AUGUSTA BLVD & N FAIRFIELD AVE 1.00 ","950.00",NA,"1","In-Road ""State Law Stop",2013,950
"18","N FAIRFIELD AVE & W ARMITAGE AVE 1.00 ","950.00",NA,"1","In-Road ""State Law Stop",2013,950
"19","N CALIFORNIA AVE & W SHAKESPEARE AVE 1.00 ","950.00",NA,"1","In-Road ""State Law Stop",2013,950
"20","N DAMEN AVE & W THOMAS ST 1.00 ","950.00",NA,"1","In-Road ""State Law Stop",2013,950
