"","program","description","costA","ward","year","cost","costB"
"1","Street Resurfacing Menu ","ON W ERIE ST FROM N PAULINA ST (1700 W) TO N WOOD ST (1800 W)","$75,102.45","1",2024,75102.45,NA
"2","Street Resurfacing Menu ","ON W LE MOYNE ST FROM N CAMPBELL AVE (2500 W) TO N MAPLEWOOD AVE (2540 W)","$13,319.57","1",2024,13319.57,NA
"3","Street Speed Hump Menu ","ON N ARTESIAN AVE FROM W LE MOYNE ST (1500 N) TO W NORTH AVE (1600 N)","$4,880.00","1",2024,4880,NA
"4","Street Speed Hump Menu ","ON N FRANCISCO AVE FROM W SCHUBERT AVE (2700 N) TO W DIVERSEY AVE (2800 N)","$4,880.00","1",2024,4880,NA
"5","Street Speed Hump Menu ","ON N HERMITAGE AVE FROM W CHICAGO AVE (800 N) TO W AUGUSTA BLVD (1000 N)","$7,320.00","1",2024,7320,NA
"6","Street Speed Hump Menu ","ON N OAKLEY AVE FROM W LE MOYNE ST (1500 N) TO W NORTH AVE (1600 N)","$4,880.00","1",2024,4880,NA
"7","Street Speed Hump Menu ","ON N STAVE ST FROM W ARMITAGE AVE (2000 N) TO N CALIFORNIA AVE (2160 N)","$12,200.00","1",2024,12200,NA
"8","Street Speed Hump Menu ","ON N TALMAN AVE FROM W FULLERTON AVE (2400 N) TO W LOGAN BLVD (2600 N)","$9,760.00","1",2024,9760,NA
"9","Street Speed Hump Menu ","ON W BEACH AVE FROM N ASHLAND AVE (1600 W) TO N WOOD ST (1800 W)","$9,760.00","1",2024,9760,NA
"10","Street Speed Hump Menu ","ON W CORTEZ ST FROM N DAMEN AVE (2000 W) TO N LEAVITT ST (2200 W)","$9,760.00","1",2024,9760,NA
"11","Street Speed Hump Menu ","ON W CORTLAND ST FROM N ROCKWELL ST (2600 W) TO N CALIFORNIA AVE (2800 W)","$9,760.00","1",2024,9760,NA
"12","Street Speed Hump Menu ","ON W DICKENS AVE FROM N CALIFORNIA AVE (2800 W) TO N HUMBOLDT BLVD E (3000 W)","$7,320.00","1",2024,7320,NA
"13","Street Speed Hump Menu ","ON W ERIE ST FROM N PAULINA ST (1700 W) TO N WOOD ST (1800 W)","$4,880.00","1",2024,4880,NA
"14","Street Speed Hump Menu ","ON W LE MOYNE ST FROM N WESTERN AVE (2400 W) TO N MAPLEWOOD AVE (2540 W)","$7,320.00","1",2024,7320,NA
"15","Street Speed Hump Menu ","ON W LYNDALE ST FROM N WESTERN AVE (2400 W) TO N CAMPBELL AVE (2500 W)","$2,440.00","1",2024,2440,NA
"16","Street Speed Hump Menu ","ON W MEDILL AVE FROM N MILWAUKEE AVE (2840 W) TO N SACRAMENTO AVE (3000 W)","$2,440.00","1",2024,2440,NA
"17","Street Speed Hump Menu ","ON W THOMAS ST FROM N DAMEN AVE (2000 W) TO N LEAVITT ST (2200 W)","$9,760.00","1",2024,9760,NA
"18","Street Traffic Circle Menu ","N ROCKWELL ST & W CORTLAND ST","$18,365.38","1",2024,18365.38,NA
"19","Alley Resurfacing Menu ","N CLARK ST & W SCHILLER ST&W BURTON PL & N DEARBORN ST","$27,810.45","2",2024,27810.45,NA
"20","Alley Resurfacing Menu ","N HUDSON AVE & W NORTH AVE&W BLACKHAWK ST & N SEDGWICK ST","$38,625.63","2",2024,38625.63,NA
"21","Alley Resurfacing Menu ","N MAGNOLIA AVE & W WEBSTER AVE&W BELDEN AVE & N RACINE AVE","$40,370.34","2",2024,40370.34,NA
"22","Alley Resurfacing Menu ","N WELLS ST & W GOETHE ST&W SCHILLER ST & N LA SALLE DR","$34,499.24","2",2024,34499.24,NA
"23","Alley Speed Hump Menu ","E ONTARIO ST & N ST CLAIR ST&N FAIRBANKS CT & E OHIO ST","$2,175.00","2",2024,2175,NA
"24","Alley Speed Hump Menu ","N GREENVIEW AVE & N CLYBOURN AVE&N JANSSEN AVE & W BELDEN AVE","$2,175.00","2",2024,2175,NA
"25","Alley Speed Hump Menu ","$2,900.00","$2,900.00","2",2024,2900,NA
"26","Arterial Street Bump Outs Menu ","N SOUTHPORT AVE & W BELDEN AVE","$400,000.00","2",2024,400000,NA
"27","Concrete Alley Menu ","N LARRABEE ST & W NORTH AVE&W BLACKHAWK ST & N MOHAWK ST","$61,080.84","2",2024,61080.84,NA
"28","Curb & Gutter Menu ","161 W BURTON PL","$4,174.37","2",2024,4174.37,NA
"29","Curb & Gutter Menu ","ON E HURON ST FROM N MCCLURG CT (400 E) TO N LAKE SHORE DR (500 E)","$58,975.44","2",2024,58975.44,NA
"30","In-Road State Law Stop For Pedestrians Signs","N HALSTED ST & W BLACKHAWK ST","$350.00","2",2024,350,NA
"31","Miscellaneous CDOT Projects ","530 N MCCLURG CT","$660.00","2",2024,660,NA
"32","Miscellaneous CDOT Projects ","E LAKE SHORE DR & N MICHIGAN AVE","$761.00","2",2024,761,NA
