"","program","description","costA","ward","year","cost","costB"
"1","Alley Resurfacing Menu (1-1) ","W ARMITAGE AVE & N LAWNDALE AVE&N MONTICELLO AVE & W CORTLAND ST","$46,772.18","1",2020,46772.18,NA
"2","Alley Resurfacing Menu ","$15,421.71","$15,421.71","1",2020,15421.71,NA
"3","Alley Resurfacing Menu ","N RICHMOND ST & W WABANSIA AVE&W BLOOMINGDALE AVE & N FRANCISCO AVE","$30,377.56","1",2020,30377.56,NA
"4","Alley Resurfacing Menu ","N WOOD ST & W AUGUSTA BLVD&W CORTEZ ST & N HERMITAGE AVE","$43,079.06","1",2020,43079.06,NA
"5","Alley Resurfacing Menu ","N WOOD ST & W GRAND AVE&W OHIO ST & N HARTLAND CT","$18,405.60","1",2020,18405.6,NA
"6","Alley Resurfacing Menu ","W CHICAGO AVE & N WOOD ST&N HERMITAGE AVE & W PEARSON ST","$29,975.41","1",2020,29975.41,NA
"7","Arterial Street Bump Outs Menu ","W ARMITAGE AVE & N WASHTENAW AVE","$50,000.00","1",2020,50000,NA
"8","In-Road State Law Stop For Pedestrians Signs","N CALIFORNIA AVE & W ALTGELD ST","$600.00","1",2020,600,NA
"9","Maplewood Park Field House","1640 N MAPLEWOOD AVE","$75,559.51","1",2020,75559.51,NA
"10","Pedestrian Refuge Island Menu ","N ASHLAND AVE & W CHESTNUT ST","$27,528.19","1",2020,27528.19,NA
"11","Sidewalk Menu ","1709 N FRANCISCO AVE","$5,304.04","1",2020,5304.04,NA
"12","Sidewalk Menu ","1713 N RICHMOND ST","$3,198.96","1",2020,3198.96,NA
"13","Sidewalk Menu ","2546 W HOMER ST","$28,940.47","1",2020,28940.47,NA
"14","Sidewalk Menu ","516 N HERMITAGE AVE","$6,046.76","1",2020,6046.76,NA
"15","Sidewalk Menu ","N BISHOP ST & W FRY ST","$25,953.18","1",2020,25953.18,NA
"16","Sidewalk Menu ","N CALIFORNIA AVE & W MEDILL AVE","$16,000.00","1",2020,16000,NA
"17","Sidewalk Menu ","W WABANSIA AVE & N MOZART ST","$14,490.00","1",2020,14490,NA
"18","Street Resurfacing Menu (1-5) ","ON N LEAVITT ST FROM W DIVISION ST (1200 N) TO W NORTH AVE (1600 N)","$71,680.94","1",2020,71680.94,NA
"19","Street Resurfacing Menu (1-5) ","ON W HURON ST FROM N PAULINA ST (1700 W) TO N WOOD ST (1800 W)","$71,245.84","1",2020,71245.84,NA
"20","Street Resurfacing Menu ","ON N ADA ST FROM W HURON ST (700 N) TO W CHICAGO AVE (800 N)","$51,349.92","1",2020,51349.92,NA
"21","Street Resurfacing Menu ","ON N FAIRFIELD AVE FROM 2416 N TO W ALTGELD ST (2500 N)","$55,178.50","1",2020,55178.5,NA
"22","Street Resurfacing Menu ","ON N HOYNE AVE FROM W PIERCE AVE (1540 N) TO W NORTH AVE (1600 N)","$32,783.80","1",2020,32783.8,NA
"23","Street Resurfacing Menu ","ON N WASHTENAW AVE FROM W BELDEN AVE (2300 N) TO N MILWAUKEE AVE (2260 N)","$45,356.94","1",2020,45356.94,NA
"24","Street Resurfacing Menu ","$55,973.36","$55,973.36","1",2020,55973.36,NA
"25","Street Resurfacing Menu ","ON W CHESTNUT ST FROM N NOBLE ST (1400 W) TO N GREENVIEW AVE (1500 W)","$25,036.19","1",2020,25036.19,NA
"26","Street Resurfacing Menu ","ON W CORTLAND ST FROM N KEDZIE AVE (3200 W) TO N SAWYER AVE (3232 W)","$34,112.22","1",2020,34112.22,NA
"27","Street Resurfacing Menu ","ON W DICKENS AVE FROM N CALIFORNIA AVE (2800 W) TO N MOZART ST (2840 W)","$29,875.62","1",2020,29875.62,NA
"28","Street Resurfacing Menu ","ON W ERIE ST FROM N WOOD ST (1800 W) TO N WOLCOTT AVE (1900 W)","$88,535.52","1",2020,88535.52,NA
"29","Street Resurfacing Menu ","ON W EVERGREEN AVE FROM N MILWAUKEE AVE (1800 W) TO W SCHILLER ST (1900 W)","$30,845.99","1",2020,30845.99,NA
"30","Street Resurfacing Menu ","ON W HURON ST FROM N ASHLAND AVE (1600 W) TO N PAULINA ST (1700 W)","$62,814.62","1",2020,62814.62,NA
"31","Street Resurfacing Menu ","ON W LE MOYNE DR FROM N CLAREMONT AVE (2330 W) TO N WESTERN AVE (2400 W)","$23,348.57","1",2020,23348.57,NA
"32","Street Resurfacing Menu ","ON W LYNDALE ST FROM N TALMAN AVE (2630 W) TO N WASHTENAW AVE (2700 W)","$36,419.01","1",2020,36419.01,NA
"33","Street Resurfacing Menu ","ON W MOFFAT ST FROM N CAMPBELL AVE (2500 W) TO N ROCKWELL ST (2600 W)","$51,920.37","1",2020,51920.37,NA
"34","Street Resurfacing Menu ","ON W MONTANA ST FROM N OAKLEY AVE (2300 W) TO N WESTERN AVE (2400 W)","$58,471.32","1",2020,58471.32,NA
"35","Street Resurfacing Menu ","ON W OHIO ST FROM N BISHOP ST (1440 W) TO N ARMOUR ST (1500 W)","$52,698.64","1",2020,52698.64,NA
"36","Street Speed Hump Menu ","$4,700.00","$4,700.00","1",2020,4700,NA
"37","1 POD Camera: N Dearborn & W Division","N DEARBORN ST & W DIVISION ST","$24,776.00","2",2020,24776,NA
"38","2 LPR on Existing Poles: Chicago & LSD, Chicago & LSD","N LAKE SHORE DR & E CHICAGO AVE","$21,942.00","2",2020,21942,NA
"39","360 POD Camera Retrofit - Fullerton & Lakewood","W FULLERTON AVE & N LAKEWOOD AVE","$5,549.20","2",2020,5549.2,NA
"40","Alley Apron Menu ","$50,096.49","$50,096.49","2",2020,50096.49,NA
"41","Alley Resurfacing Menu (1-1) ","$4,001.90","$4,001.90","2",2020,4001.9,NA
"42","Alley Resurfacing Menu ","W FULLERTON AVE & N LAKEWOOD AVE&N WAYNE AVE & W BELDEN AVE","$15,842.16","2",2020,15842.16,NA
"43","In-Road State Law Stop For Pedestrians Signs","176 E CHESTNUT ST","$700.00","2",2020,700,NA
"44","In-Road State Law Stop For Pedestrians Signs","W FULLERTON AVE & N LAKEWOOD AVE","$700.00","2",2020,700,NA
"45","Left-Turn Arrow Menu ","E CHICAGO AVE & N MIES VAN DER ROHE WAY","$60,412.22","2",2020,60412.22,NA
"46","Miscellaneous CDOT Projects ","N CLARK ST & W DELAWARE PL","$20,000.00","2",2020,20000,NA
"47","Seneca Park Playlot Improvement","220 E CHICAGO AVE","$197,000.00","2",2020,197000,NA
"48","Street Bump Outs Menu ","E DELAWARE PL & N MICHIGAN AVE","$22,000.00","2",2020,22000,NA
"49","Street Light Arterial Menu ","ON E PEARSON ST FROM N MICHIGAN AVE (150 E) TO N LAKE SHORE DR (300 E)","$345,000.00","2",2020,345000,NA
"50","Street Light Pole Painting Menu ","ON N MICHIGAN AVE FROM E SUPERIOR ST (730 N) TO E OAK ST (1000 N)","$12,625.00","2",2020,12625,NA
"51","Street Light Upgrade Menu ","1110 N STATE ST; 1030 N STATE ST","$1,000.00","2",2020,1000,NA
"52","Street Light Upgrade Menu ","2512 N SOUTHPORT AVE; 2506 N SOUTHPORT AVE","$1,000.00","2",2020,1000,NA
"53","Street Resurfacing Menu (1-5) ","$65,968.39","$65,968.39","2",2020,65968.39,NA
"54","Street Resurfacing Menu (1-5) ","ON N LEAVITT ST FROM W DIVISION ST (1200 N) TO W NORTH AVE (1600 N)","$117,648.02","2",2020,117648.02,NA
"55","Street Resurfacing Menu ","ON N BOSWORTH AVE FROM W LE MOYNE ST (1500 N) TO W BLACKHAWK ST (1400 N)","$7,245.00","2",2020,7245,NA
"56","Street Resurfacing Menu ","ON N GREENVIEW AVE FROM N CLYBOURN AVE (2250 N) TO W FULLERTON AVE (2400 N)","$80,255.57","2",2020,80255.57,NA
"57","Street Resurfacing Menu ","ON N NOBLE ST FROM W AUGUSTA BLVD (1000 N) TO N MILWAUKEE AVE (1060 N)","$5,600.00","2",2020,5600,NA
